Time,SC,SP,LC,LP,Credit,TP10,TP10_reason,TP10_exit_time,TP25,TP25_reason,TP25_exit_time,TP50,TP50_reason,TP50_exit_time
10:00,3.55,4.25,0.43,0.85,6.52,1,tp,10:15,0,close_loss,15:00,0,close_loss,15:00
10:01,3.45,4.25,0.38,0.82,6.5,1,tp,10:15,0,close_loss,15:00,0,close_loss,15:00
10:02,3.75,3.95,0.43,0.78,6.5,1,tp,10:15,0,close_loss,15:00,0,close_loss,15:00
10:03,3.65,3.9,0.43,0.75,6.38,1,tp,10:33,0,close_loss,15:00,0,close_loss,15:00
10:04,3.45,4.05,0.43,0.8,6.28,1,tp,10:44,0,close_loss,15:00,0,close_loss,15:00
10:05,3.7,3.75,0.43,0.72,6.3,1,tp,10:35,0,close_loss,15:00,0,close_loss,15:00
10:06,3.65,3.65,0.43,0.72,6.15,1,tp,10:44,0,close_loss,15:00,0,close_loss,15:00
10:07,3.85,3.45,0.43,0.68,6.2,1,tp,10:44,0,close_loss,15:00,0,close_loss,15:00
10:08,4.2,3.15,0.48,0.62,6.25,1,tp,10:44,0,close_loss,15:00,0,close_loss,15:00
10:09,4.35,2.9,0.48,0.52,6.25,1,tp,10:44,0,close_loss,15:00,0,close_loss,15:00
10:10,4.4,2.85,0.48,0.52,6.25,1,tp,10:44,0,close_loss,15:00,0,close_loss,15:00
10:11,4.15,2.9,0.43,0.52,6.1,1,tp,10:45,0,sl,13:50,0,sl,13:50
10:12,3.85,3.1,0.43,0.57,5.95,1,tp,10:50,0,sl,13:50,0,sl,13:50
10:13,3.25,3.7,0.35,0.7,5.9,1,tp,10:56,0,sl,13:50,0,sl,13:50
10:14,3.65,3.25,0.38,0.6,5.93,1,tp,10:56,0,sl,13:50,0,sl,13:50
10:15,3.4,3.45,0.35,0.68,5.82,1,tp,10:56,0,sl,13:50,0,sl,13:50
10:16,3.5,3.3,0.38,0.62,5.8,1,tp,10:56,0,sl,13:50,0,sl,13:50
10:17,3.4,3.45,0.38,0.62,5.85,1,tp,10:56,0,sl,13:50,0,sl,13:50
10:18,3.7,3.25,0.38,0.6,5.98,1,tp,10:45,0,sl,13:50,0,sl,13:50
10:19,3.65,3.35,0.38,0.6,6.02,1,tp,10:45,0,sl,13:50,0,sl,13:50
10:20,3.7,3.25,0.38,0.6,5.98,1,tp,10:45,0,sl,13:50,0,sl,13:50
10:21,3.85,3.05,0.4,0.55,5.95,1,tp,10:50,0,sl,13:50,0,sl,13:50
10:22,4.05,2.85,0.43,0.52,5.95,1,tp,10:50,0,sl,13:50,0,sl,13:50
10:23,4.15,2.75,0.43,0.48,6.0,1,tp,10:45,0,sl,13:50,0,sl,13:50
10:24,4.0,2.88,0.43,0.52,5.92,1,tp,10:56,0,sl,13:50,0,sl,13:50
10:25,4.0,2.82,0.43,0.5,5.9,1,tp,10:56,0,sl,13:50,0,sl,13:50
10:26,4.1,2.72,0.43,0.48,5.92,1,tp,10:56,0,sl,13:50,0,sl,13:50
10:27,4.05,2.75,0.43,0.5,5.88,1,tp,10:56,0,sl,13:50,0,sl,13:50
10:28,4.05,2.75,0.4,0.48,5.92,1,tp,10:56,0,sl,13:50,0,sl,13:50
10:29,4.05,2.65,0.4,0.48,5.82,1,tp,10:56,0,sl,13:50,0,sl,13:50
10:30,4.2,2.5,0.43,0.43,5.85,1,tp,10:56,0,sl,13:50,0,sl,13:50
10:31,4.15,2.48,0.43,0.43,5.78,1,tp,10:56,0,sl,13:49,0,sl,13:49
10:32,4.3,2.35,0.43,0.43,5.8,1,tp,10:56,0,sl,13:50,0,sl,13:50
10:33,4.25,2.25,0.43,0.38,5.7,1,tp,11:03,0,sl,13:49,0,sl,13:49
10:34,4.15,2.4,0.43,0.43,5.7,1,tp,11:03,0,sl,13:49,0,sl,13:49
10:35,3.75,2.75,0.38,0.48,5.65,0,sl,13:49,0,sl,13:49,0,sl,13:49
10:36,3.9,2.62,0.38,0.48,5.68,0,sl,13:49,0,sl,13:49,0,sl,13:49
10:37,4.35,2.25,0.43,0.38,5.8,1,tp,10:56,0,sl,13:50,0,sl,13:50
10:38,4.45,2.28,0.43,0.4,5.9,1,tp,10:56,0,sl,13:50,0,sl,13:50
10:39,4.35,2.38,0.43,0.43,5.88,1,tp,10:56,0,sl,13:50,0,sl,13:50
