sim_key,day,strategy,tp_level,entry_time,exit_time,exit_reason,credit,exit_debit,exit_slip,fees,pnl_per_share,qty,pnl_total,portfolio_after
S1_slip0.10_skip0.20,2025-09-26,IC_40d_25w,tp45,2025-09-26 10:00:00,2025-09-26 13:06:00,tp,12.9,6.925,0.1,0.052,5.823000000000001,4,2329.2000000000007,12329.2
S1_slip0.10_skip0.20,2025-09-26,IC_45d_25w,tp45,2025-09-26 13:06:00,2025-09-26 15:00:00,close_win,10.7,7.85,0.1,0.052,2.6979999999999995,4,1079.1999999999998,13408.400000000001
S1_slip0.10_skip0.20,2025-09-29,IC_40d_25w,tp30,2025-09-29 10:00:00,2025-09-29 14:23:00,tp,10.35,6.925,0.1,0.052,3.2729999999999997,5,1636.4999999999998,15044.900000000001
S1_slip0.10_skip0.20,2025-09-29,IC_10d_25w,tp50,2025-09-29 14:23:00,2025-09-29 15:00:00,close_win,0.75,0.5,0.1,0.052,0.098,6,58.800000000000004,15103.7
S1_slip0.10_skip0.20,2025-09-30,IC_10d_25w,tp15,2025-09-30 10:00:00,2025-09-30 10:16:00,tp,2.125,1.725,0.1,0.052,0.24799999999999994,6,148.79999999999995,15252.5
S1_slip0.10_skip0.20,2025-09-30,IC_10d_25w,tp15,2025-09-30 10:16:00,2025-09-30 10:45:00,tp,2.125,1.75,0.1,0.052,0.22300000000000003,6,133.8,15386.3
S1_slip0.10_skip0.20,2025-09-30,IC_10d_25w,tp15,2025-09-30 10:45:00,2025-09-30 11:23:00,tp,1.775,1.5,0.1,0.052,0.12299999999999991,6,73.79999999999995,15460.099999999999
S1_slip0.10_skip0.20,2025-09-30,IC_10d_25w,tp15,2025-09-30 11:23:00,2025-09-30 12:03:00,tp,1.675,1.4,0.1,0.052,0.12300000000000014,6,73.80000000000008,15533.899999999998
S1_slip0.10_skip0.20,2025-09-30,IC_10d_25w,tp15,2025-09-30 12:03:00,2025-09-30 12:49:00,tp,1.875,1.55,0.1,0.052,0.17299999999999996,6,103.79999999999998,15637.699999999997
S1_slip0.10_skip0.20,2025-09-30,IC_10d_25w,tp15,2025-09-30 12:49:00,2025-09-30 13:06:00,tp,1.825,1.55,0.1,0.052,0.12299999999999991,6,73.79999999999995,15711.499999999996
S1_slip0.10_skip0.20,2025-09-30,IC_10d_25w,tp15,2025-09-30 13:06:00,2025-09-30 13:36:00,tp,1.675,1.4,0.1,0.052,0.12300000000000014,6,73.80000000000008,15785.299999999996
S1_slip0.10_skip0.20,2025-09-30,IC_10d_25w,tp15,2025-09-30 13:36:00,2025-09-30 13:57:00,tp,1.9,1.55,0.1,0.052,0.19799999999999987,6,118.79999999999993,15904.099999999995
S1_slip0.10_skip0.20,2025-09-30,IC_10d_25w,tp10,2025-09-30 13:57:00,2025-09-30 14:01:00,tp,1.3,1.15,0.1,0.052,-0.00199999999999987,6,-1.199999999999922,15902.899999999994
S1_slip0.10_skip0.20,2025-09-30,IC_35d_25w,tp10,2025-09-30 14:06:00,2025-09-30 15:00:00,close_loss,6.875,11.4,0.1,0.052,-4.677,6,-2806.2,13096.699999999993
S1_slip0.10_skip0.20,2025-10-01,IC_10d_25w,tp35,2025-10-01 10:00:00,2025-10-01 11:37:00,sl,1.9,3.875,0.1,0.052,-2.1270000000000002,5,-1063.5,12033.199999999993
