Skip Rate,TP Model,Strategy,EV,WR
0.0,TP10,IC_05d_25w,0.024,0.9184
0.0,TP10,IC_10d_25w,0.0311,0.9097
0.0,TP10,IC_15d_25w,0.0347,0.9027
0.0,TP10,IC_20d_25w,0.0449,0.8979
0.0,TP10,IC_25d_25w,0.0386,0.8899
0.0,TP10,IC_30d_25w,0.0356,0.8794
0.0,TP10,IC_35d_25w,0.0483,0.8668
0.0,TP10,IC_40d_25w,-0.0061,0.84
0.0,TP10,IC_45d_25w,-0.0153,0.8039
0.05,TP10,IC_05d_25w,0.025,0.9264
0.05,TP10,IC_10d_25w,0.0361,0.9182
0.05,TP10,IC_15d_25w,0.0403,0.91
0.05,TP10,IC_20d_25w,0.0559,0.9061
0.05,TP10,IC_25d_25w,0.0623,0.8994
0.05,TP10,IC_30d_25w,0.0711,0.8901
0.05,TP10,IC_35d_25w,0.1016,0.8787
0.05,TP10,IC_40d_25w,0.1091,0.8582
0.05,TP10,IC_45d_25w,0.2645,0.8476
0.1,TP10,IC_05d_25w,0.0292,0.9311
0.1,TP10,IC_10d_25w,0.0434,0.9239
0.1,TP10,IC_15d_25w,0.0515,0.9159
0.1,TP10,IC_20d_25w,0.0773,0.9131
0.1,TP10,IC_25d_25w,0.0976,0.9073
0.1,TP10,IC_30d_25w,0.1267,0.8999
0.1,TP10,IC_35d_25w,0.1798,0.8907
0.1,TP10,IC_40d_25w,0.2015,0.8741
0.1,TP10,IC_45d_25w,0.3784,0.8672
0.15,TP10,IC_05d_25w,0.0306,0.9333
0.15,TP10,IC_10d_25w,0.0476,0.9266
0.15,TP10,IC_15d_25w,0.0621,0.9198
0.15,TP10,IC_20d_25w,0.0988,0.9182
0.15,TP10,IC_25d_25w,0.127,0.9134
0.15,TP10,IC_30d_25w,0.1646,0.9071
0.15,TP10,IC_35d_25w,0.2164,0.8976
0.15,TP10,IC_40d_25w,0.2588,0.8827
0.15,TP10,IC_45d_25w,0.4581,0.881
0.2,TP10,IC_05d_25w,0.031,0.9345
0.2,TP10,IC_10d_25w,0.0533,0.9293
0.2,TP10,IC_15d_25w,0.0749,0.9234
0.2,TP10,IC_20d_25w,0.1164,0.9223
0.2,TP10,IC_25d_25w,0.1442,0.9173
0.2,TP10,IC_30d_25w,0.1932,0.9117
0.2,TP10,IC_35d_25w,0.2505,0.9029
0.2,TP10,IC_40d_25w,0.3093,0.8909
0.2,TP10,IC_45d_25w,0.5385,0.8934
0.25,TP10,IC_05d_25w,0.0336,0.9375
0.25,TP10,IC_10d_25w,0.0652,0.9335
0.25,TP10,IC_15d_25w,0.0901,0.927
0.25,TP10,IC_20d_25w,0.1306,0.9255
0.25,TP10,IC_25d_25w,0.1634,0.9209
0.25,TP10,IC_30d_25w,0.2112,0.9155
0.25,TP10,IC_35d_25w,0.2817,0.9084
0.25,TP10,IC_40d_25w,0.3568,0.8982
0.25,TP10,IC_45d_25w,0.6168,0.9052
0.3,TP10,IC_05d_25w,0.0371,0.9403
0.3,TP10,IC_10d_25w,0.0741,0.937
0.3,TP10,IC_15d_25w,0.1027,0.9308
0.3,TP10,IC_20d_25w,0.1496,0.9299
0.3,TP10,IC_25d_25w,0.1973,0.927
0.3,TP10,IC_30d_25w,0.2513,0.9217
0.3,TP10,IC_35d_25w,0.3272,0.9151
0.3,TP10,IC_40d_25w,0.4296,0.9084
0.3,TP10,IC_45d_25w,0.6914,0.9152
0.0,TP15,IC_05d_25w,0.0272,0.8887
0.0,TP15,IC_10d_25w,0.0376,0.878
0.0,TP15,IC_15d_25w,0.0445,0.8684
0.0,TP15,IC_20d_25w,0.0755,0.8648
0.0,TP15,IC_25d_25w,0.0619,0.8528
0.0,TP15,IC_30d_25w,0.0379,0.836
0.0,TP15,IC_35d_25w,0.0032,0.8149
0.0,TP15,IC_40d_25w,-0.0188,0.7843
0.0,TP15,IC_45d_25w,-0.0042,0.7416
0.05,TP15,IC_05d_25w,0.0292,0.8969
0.05,TP15,IC_10d_25w,0.0409,0.8852
0.05,TP15,IC_15d_25w,0.05,0.8753
0.05,TP15,IC_20d_25w,0.0853,0.872
0.05,TP15,IC_25d_25w,0.0764,0.8601
0.05,TP15,IC_30d_25w,0.0632,0.8449
0.05,TP15,IC_35d_25w,0.0409,0.8242
0.05,TP15,IC_40d_25w,0.1152,0.8026
0.05,TP15,IC_45d_25w,0.3863,0.7895
0.1,TP15,IC_05d_25w,0.0332,0.901
0.1,TP15,IC_10d_25w,0.049,0.8894
0.1,TP15,IC_15d_25w,0.0576,0.8788
0.1,TP15,IC_20d_25w,0.0967,0.8762
0.1,TP15,IC_25d_25w,0.092,0.8643
0.1,TP15,IC_30d_25w,0.1004,0.8513
0.1,TP15,IC_35d_25w,0.1066,0.8341
0.1,TP15,IC_40d_25w,0.2864,0.8252
0.1,TP15,IC_45d_25w,0.5656,0.8165
0.15,TP15,IC_05d_25w,0.035,0.904
0.15,TP15,IC_10d_25w,0.0533,0.8924
0.15,TP15,IC_15d_25w,0.0643,0.8824
0.15,TP15,IC_20d_25w,0.1178,0.8814
0.15,TP15,IC_25d_25w,0.1404,0.8721
0.15,TP15,IC_30d_25w,0.1861,0.8624
0.15,TP15,IC_35d_25w,0.2395,0.8501
0.15,TP15,IC_40d_25w,0.3663,0.8382
0.15,TP15,IC_45d_25w,0.7502,0.8382
0.2,TP15,IC_05d_25w,0.037,0.9064
0.2,TP15,IC_10d_25w,0.0607,0.8957
0.2,TP15,IC_15d_25w,0.081,0.8869
0.2,TP15,IC_20d_25w,0.1568,0.8888
0.2,TP15,IC_25d_25w,0.1958,0.8817
0.2,TP15,IC_30d_25w,0.2563,0.8728
0.2,TP15,IC_35d_25w,0.3137,0.8603
0.2,TP15,IC_40d_25w,0.469,0.8518
0.2,TP15,IC_45d_25w,0.9036,0.8577
0.25,TP15,IC_05d_25w,0.0413,0.9099
0.25,TP15,IC_10d_25w,0.076,0.9017
0.25,TP15,IC_15d_25w,0.1086,0.8941
0.25,TP15,IC_20d_25w,0.1889,0.8962
0.25,TP15,IC_25d_25w,0.2367,0.8891
0.25,TP15,IC_30d_25w,0.2964,0.8789
0.25,TP15,IC_35d_25w,0.3511,0.8666
0.25,TP15,IC_40d_25w,0.5785,0.8639
0.25,TP15,IC_45d_25w,1.0022,0.8711
0.3,TP15,IC_05d_25w,0.0463,0.9136
0.3,TP15,IC_10d_25w,0.0883,0.9059
0.3,TP15,IC_15d_25w,0.1289,0.8997
0.3,TP15,IC_20d_25w,0.2196,0.9027
0.3,TP15,IC_25d_25w,0.2723,0.8957
0.3,TP15,IC_30d_25w,0.3462,0.8858
0.3,TP15,IC_35d_25w,0.4174,0.8755
0.3,TP15,IC_40d_25w,0.6952,0.8767
0.3,TP15,IC_45d_25w,1.036,0.8758
0.0,TP20,IC_05d_25w,0.0299,0.8638
0.0,TP20,IC_10d_25w,0.0452,0.8511
0.0,TP20,IC_15d_25w,0.0563,0.8401
0.0,TP20,IC_20d_25w,0.0824,0.8322
0.0,TP20,IC_25d_25w,0.0462,0.8161
0.0,TP20,IC_30d_25w,0.0249,0.796
0.0,TP20,IC_35d_25w,-0.0155,0.7708
0.0,TP20,IC_40d_25w,-0.0281,0.7367
0.0,TP20,IC_45d_25w,0.018,0.6931
0.05,TP20,IC_05d_25w,0.0321,0.8692
0.05,TP20,IC_10d_25w,0.0515,0.8563
0.05,TP20,IC_15d_25w,0.0654,0.8442
0.05,TP20,IC_20d_25w,0.1027,0.8379
0.05,TP20,IC_25d_25w,0.0881,0.8234
0.05,TP20,IC_30d_25w,0.0936,0.8051
0.05,TP20,IC_35d_25w,0.1739,0.7904
0.05,TP20,IC_40d_25w,0.3427,0.7731
0.05,TP20,IC_45d_25w,0.5968,0.7567
0.1,TP20,IC_05d_25w,0.0363,0.8742
0.1,TP20,IC_10d_25w,0.0592,0.8614
0.1,TP20,IC_15d_25w,0.0785,0.8502
0.1,TP20,IC_20d_25w,0.1258,0.8446
0.1,TP20,IC_25d_25w,0.1375,0.8323
0.1,TP20,IC_30d_25w,0.194,0.8184
0.1,TP20,IC_35d_25w,0.3214,0.8076
0.1,TP20,IC_40d_25w,0.5063,0.7917
0.1,TP20,IC_45d_25w,0.7954,0.7794
0.15,TP20,IC_05d_25w,0.0389,0.878
0.15,TP20,IC_10d_25w,0.0675,0.8657
0.15,TP20,IC_15d_25w,0.0909,0.855
0.15,TP20,IC_20d_25w,0.1585,0.8512
0.15,TP20,IC_25d_25w,0.2206,0.8431
0.15,TP20,IC_30d_25w,0.3113,0.8316
0.15,TP20,IC_35d_25w,0.4142,0.818
0.15,TP20,IC_40d_25w,0.6316,0.8076
0.15,TP20,IC_45d_25w,1.0122,0.8032
0.2,TP20,IC_05d_25w,0.0419,0.8818
0.2,TP20,IC_10d_25w,0.0769,0.8696
0.2,TP20,IC_15d_25w,0.113,0.8605
0.2,TP20,IC_20d_25w,0.2134,0.8615
0.2,TP20,IC_25d_25w,0.2781,0.8517
0.2,TP20,IC_30d_25w,0.3709,0.8394
0.2,TP20,IC_35d_25w,0.4719,0.8253
0.2,TP20,IC_40d_25w,0.7636,0.8223
0.2,TP20,IC_45d_25w,1.1843,0.8228
0.25,TP20,IC_05d_25w,0.0453,0.8848
0.25,TP20,IC_10d_25w,0.0946,0.877
0.25,TP20,IC_15d_25w,0.1462,0.8688
0.25,TP20,IC_20d_25w,0.2488,0.8683
0.25,TP20,IC_25d_25w,0.3075,0.8583
0.25,TP20,IC_30d_25w,0.4222,0.847
0.25,TP20,IC_35d_25w,0.5711,0.8376
0.25,TP20,IC_40d_25w,0.9037,0.8366
0.25,TP20,IC_45d_25w,1.342,0.8396
0.3,TP20,IC_05d_25w,0.0496,0.8894
0.3,TP20,IC_10d_25w,0.1073,0.882
0.3,TP20,IC_15d_25w,0.1719,0.8759
0.3,TP20,IC_20d_25w,0.2769,0.8752
0.3,TP20,IC_25d_25w,0.3484,0.8662
0.3,TP20,IC_30d_25w,0.503,0.8578
0.3,TP20,IC_35d_25w,0.6977,0.8512
0.3,TP20,IC_40d_25w,1.0323,0.8504
0.3,TP20,IC_45d_25w,1.447,0.8514
0.0,TP25,IC_05d_25w,0.0352,0.84
0.0,TP25,IC_10d_25w,0.0561,0.8265
0.0,TP25,IC_15d_25w,0.0669,0.8131
0.0,TP25,IC_20d_25w,0.0729,0.8008
0.0,TP25,IC_25d_25w,0.0434,0.7848
0.0,TP25,IC_30d_25w,0.0267,0.7627
0.0,TP25,IC_35d_25w,-0.0315,0.7317
0.0,TP25,IC_40d_25w,-0.0134,0.6995
0.0,TP25,IC_45d_25w,0.0421,0.6586
0.05,TP25,IC_05d_25w,0.039,0.8465
0.05,TP25,IC_10d_25w,0.0656,0.8308
0.05,TP25,IC_15d_25w,0.0814,0.8175
0.05,TP25,IC_20d_25w,0.0993,0.8056
0.05,TP25,IC_25d_25w,0.0993,0.7921
0.05,TP25,IC_30d_25w,0.1577,0.7758
0.05,TP25,IC_35d_25w,0.2257,0.7533
0.05,TP25,IC_40d_25w,0.4112,0.7356
0.05,TP25,IC_45d_25w,0.632,0.7141
0.1,TP25,IC_05d_25w,0.0434,0.8515
0.1,TP25,IC_10d_25w,0.0746,0.8346
0.1,TP25,IC_15d_25w,0.0964,0.8218
0.1,TP25,IC_20d_25w,0.1291,0.8116
0.1,TP25,IC_25d_25w,0.1976,0.8052
0.1,TP25,IC_30d_25w,0.3055,0.7918
0.1,TP25,IC_35d_25w,0.3726,0.7676
0.1,TP25,IC_40d_25w,0.5972,0.752
0.1,TP25,IC_45d_25w,0.8324,0.7334
0.15,TP25,IC_05d_25w,0.0491,0.8571
0.15,TP25,IC_10d_25w,0.0831,0.8393
0.15,TP25,IC_15d_25w,0.1112,0.8265
0.15,TP25,IC_20d_25w,0.1735,0.8189
0.15,TP25,IC_25d_25w,0.2614,0.8131
0.15,TP25,IC_30d_25w,0.4075,0.8024
0.15,TP25,IC_35d_25w,0.5213,0.7824
0.15,TP25,IC_40d_25w,0.7531,0.7689
0.15,TP25,IC_45d_25w,1.0446,0.7514
0.2,TP25,IC_05d_25w,0.0527,0.8618
0.2,TP25,IC_10d_25w,0.0976,0.8463
0.2,TP25,IC_15d_25w,0.1481,0.8364
0.2,TP25,IC_20d_25w,0.2325,0.8304
0.2,TP25,IC_25d_25w,0.3314,0.8242
0.2,TP25,IC_30d_25w,0.5162,0.8158
0.2,TP25,IC_35d_25w,0.6459,0.7971
0.2,TP25,IC_40d_25w,0.9017,0.7832
0.2,TP25,IC_45d_25w,1.2174,0.7688
0.25,TP25,IC_05d_25w,0.0578,0.8678
0.25,TP25,IC_10d_25w,0.1179,0.8555
0.25,TP25,IC_15d_25w,0.1777,0.8449
0.25,TP25,IC_20d_25w,0.2756,0.8395
0.25,TP25,IC_25d_25w,0.4039,0.8342
0.25,TP25,IC_30d_25w,0.6108,0.8268
0.25,TP25,IC_35d_25w,0.7783,0.8112
0.25,TP25,IC_40d_25w,1.074,0.7999
0.25,TP25,IC_45d_25w,1.3336,0.7813
0.3,TP25,IC_05d_25w,0.0631,0.8723
0.3,TP25,IC_10d_25w,0.133,0.862
0.3,TP25,IC_15d_25w,0.2022,0.851
0.3,TP25,IC_20d_25w,0.3226,0.848
0.3,TP25,IC_25d_25w,0.4676,0.8436
0.3,TP25,IC_30d_25w,0.6941,0.8368
0.3,TP25,IC_35d_25w,0.8608,0.821
0.3,TP25,IC_40d_25w,1.1849,0.8093
0.3,TP25,IC_45d_25w,1.4771,0.7935
0.0,TP30,IC_05d_25w,0.038,0.8154
0.0,TP30,IC_10d_25w,0.059,0.8008
0.0,TP30,IC_15d_25w,0.0697,0.7867
0.0,TP30,IC_20d_25w,0.0714,0.7732
0.0,TP30,IC_25d_25w,0.0407,0.7556
0.0,TP30,IC_30d_25w,0.023,0.732
0.0,TP30,IC_35d_25w,-0.0042,0.7033
0.0,TP30,IC_40d_25w,0.0271,0.6716
0.0,TP30,IC_45d_25w,0.0517,0.6305
0.05,TP30,IC_05d_25w,0.0429,0.8223
0.05,TP30,IC_10d_25w,0.071,0.8059
0.05,TP30,IC_15d_25w,0.0919,0.7919
0.05,TP30,IC_20d_25w,0.1113,0.7795
0.05,TP30,IC_25d_25w,0.1178,0.7646
0.05,TP30,IC_30d_25w,0.1898,0.7479
0.05,TP30,IC_35d_25w,0.319,0.7294
0.05,TP30,IC_40d_25w,0.5415,0.7141
0.05,TP30,IC_45d_25w,0.6483,0.6853
0.1,TP30,IC_05d_25w,0.0477,0.8272
0.1,TP30,IC_10d_25w,0.0817,0.8104
0.1,TP30,IC_15d_25w,0.1133,0.7972
0.1,TP30,IC_20d_25w,0.1616,0.7877
0.1,TP30,IC_25d_25w,0.224,0.7776
0.1,TP30,IC_30d_25w,0.3454,0.7642
0.1,TP30,IC_35d_25w,0.5054,0.7474
0.1,TP30,IC_40d_25w,0.6869,0.7277
0.1,TP30,IC_45d_25w,0.8217,0.7016
0.15,TP30,IC_05d_25w,0.0497,0.8301
0.15,TP30,IC_10d_25w,0.0954,0.8158
0.15,TP30,IC_15d_25w,0.149,0.8056
0.15,TP30,IC_20d_25w,0.2305,0.799
0.15,TP30,IC_25d_25w,0.3029,0.7881
0.15,TP30,IC_30d_25w,0.451,0.7744
0.15,TP30,IC_35d_25w,0.6015,0.7567
0.15,TP30,IC_40d_25w,0.8085,0.7382
0.15,TP30,IC_45d_25w,0.9508,0.7132
0.2,TP30,IC_05d_25w,0.0544,0.8345
0.2,TP30,IC_10d_25w,0.1138,0.8231
0.2,TP30,IC_15d_25w,0.1784,0.8134
0.2,TP30,IC_20d_25w,0.2704,0.8065
0.2,TP30,IC_25d_25w,0.3689,0.7983
0.2,TP30,IC_30d_25w,0.5355,0.7851
0.2,TP30,IC_35d_25w,0.7262,0.7686
0.2,TP30,IC_40d_25w,0.8951,0.7465
0.2,TP30,IC_45d_25w,1.0707,0.722
0.25,TP30,IC_05d_25w,0.0607,0.8399
0.25,TP30,IC_10d_25w,0.1295,0.8301
0.25,TP30,IC_15d_25w,0.2068,0.8215
0.25,TP30,IC_20d_25w,0.3204,0.8166
0.25,TP30,IC_25d_25w,0.4372,0.8089
0.25,TP30,IC_30d_25w,0.637,0.7968
0.25,TP30,IC_35d_25w,0.8368,0.7794
0.25,TP30,IC_40d_25w,1.013,0.7569
0.25,TP30,IC_45d_25w,1.2193,0.7348
0.3,TP30,IC_05d_25w,0.0681,0.8457
0.3,TP30,IC_10d_25w,0.1441,0.8369
0.3,TP30,IC_15d_25w,0.2378,0.8293
0.3,TP30,IC_20d_25w,0.3715,0.8257
0.3,TP30,IC_25d_25w,0.4969,0.8167
0.3,TP30,IC_30d_25w,0.7379,0.8073
0.3,TP30,IC_35d_25w,0.9548,0.7915
0.3,TP30,IC_40d_25w,1.1845,0.7721
0.3,TP30,IC_45d_25w,1.3581,0.7435
0.0,TP35,IC_05d_25w,0.0406,0.7948
0.0,TP35,IC_10d_25w,0.059,0.7776
0.0,TP35,IC_15d_25w,0.0621,0.7622
0.0,TP35,IC_20d_25w,0.0494,0.7463
0.0,TP35,IC_25d_25w,0.0154,0.7278
0.0,TP35,IC_30d_25w,0.0324,0.7067
0.0,TP35,IC_35d_25w,0.0443,0.6834
0.0,TP35,IC_40d_25w,0.0305,0.6492
0.0,TP35,IC_45d_25w,0.0507,0.612
0.05,TP35,IC_05d_25w,0.0448,0.7997
0.05,TP35,IC_10d_25w,0.0776,0.7841
0.05,TP35,IC_15d_25w,0.0961,0.7693
0.05,TP35,IC_20d_25w,0.1206,0.7562
0.05,TP35,IC_25d_25w,0.1674,0.744
0.05,TP35,IC_30d_25w,0.2976,0.7299
0.05,TP35,IC_35d_25w,0.4301,0.7135
0.05,TP35,IC_40d_25w,0.5635,0.6904
0.05,TP35,IC_45d_25w,0.6377,0.6604
0.1,TP35,IC_05d_25w,0.0525,0.8071
0.1,TP35,IC_10d_25w,0.0916,0.7892
0.1,TP35,IC_15d_25w,0.1264,0.7752
0.1,TP35,IC_20d_25w,0.1913,0.7662
0.1,TP35,IC_25d_25w,0.2757,0.7557
0.1,TP35,IC_30d_25w,0.4479,0.7434
0.1,TP35,IC_35d_25w,0.6197,0.7292
0.1,TP35,IC_40d_25w,0.806,0.7116
0.1,TP35,IC_45d_25w,0.9102,0.6867
0.15,TP35,IC_05d_25w,0.0572,0.8115
0.15,TP35,IC_10d_25w,0.1062,0.7948
0.15,TP35,IC_15d_25w,0.1616,0.7833
0.15,TP35,IC_20d_25w,0.258,0.7772
0.15,TP35,IC_25d_25w,0.3653,0.7661
0.15,TP35,IC_30d_25w,0.5672,0.7555
0.15,TP35,IC_35d_25w,0.7605,0.743
0.15,TP35,IC_40d_25w,0.9545,0.7253
0.15,TP35,IC_45d_25w,1.0226,0.6981
0.2,TP35,IC_05d_25w,0.0609,0.8151
0.2,TP35,IC_10d_25w,0.1281,0.8033
0.2,TP35,IC_15d_25w,0.211,0.7943
0.2,TP35,IC_20d_25w,0.3149,0.7865
0.2,TP35,IC_25d_25w,0.4516,0.7782
0.2,TP35,IC_30d_25w,0.6896,0.7708
0.2,TP35,IC_35d_25w,0.8922,0.7567
0.2,TP35,IC_40d_25w,1.0359,0.7324
0.2,TP35,IC_45d_25w,1.1084,0.7051
0.25,TP35,IC_05d_25w,0.0669,0.821
0.25,TP35,IC_10d_25w,0.1502,0.8125
0.25,TP35,IC_15d_25w,0.2461,0.8044
0.25,TP35,IC_20d_25w,0.3738,0.7981
0.25,TP35,IC_25d_25w,0.5369,0.7918
0.25,TP35,IC_30d_25w,0.7857,0.7827
0.25,TP35,IC_35d_25w,0.9628,0.7632
0.25,TP35,IC_40d_25w,1.1559,0.7419
0.25,TP35,IC_45d_25w,1.193,0.7112
0.3,TP35,IC_05d_25w,0.0727,0.826
0.3,TP35,IC_10d_25w,0.1693,0.8207
0.3,TP35,IC_15d_25w,0.273,0.8115
0.3,TP35,IC_20d_25w,0.4435,0.8094
0.3,TP35,IC_25d_25w,0.6229,0.8034
0.3,TP35,IC_30d_25w,0.8625,0.7905
0.3,TP35,IC_35d_25w,1.0607,0.7742
0.3,TP35,IC_40d_25w,1.2905,0.7529
0.3,TP35,IC_45d_25w,1.2894,0.7178
0.0,TP40,IC_05d_25w,0.0404,0.7756
0.0,TP40,IC_10d_25w,0.0486,0.7543
0.0,TP40,IC_15d_25w,0.0446,0.7388
0.0,TP40,IC_20d_25w,0.0331,0.7221
0.0,TP40,IC_25d_25w,0.0253,0.7067
0.0,TP40,IC_30d_25w,0.0687,0.6884
0.0,TP40,IC_35d_25w,0.0643,0.6637
0.0,TP40,IC_40d_25w,0.0233,0.6313
0.0,TP40,IC_45d_25w,0.0502,0.5987
0.05,TP40,IC_05d_25w,0.047,0.7784
0.05,TP40,IC_10d_25w,0.0646,0.7588
0.05,TP40,IC_15d_25w,0.0916,0.7469
0.05,TP40,IC_20d_25w,0.1563,0.7368
0.05,TP40,IC_25d_25w,0.2351,0.7266
0.05,TP40,IC_30d_25w,0.3466,0.711
0.05,TP40,IC_35d_25w,0.3811,0.6876
0.05,TP40,IC_40d_25w,0.5,0.6682
0.05,TP40,IC_45d_25w,0.6699,0.6503
0.1,TP40,IC_05d_25w,0.0493,0.781
0.1,TP40,IC_10d_25w,0.0872,0.7652
0.1,TP40,IC_15d_25w,0.1418,0.7561
0.1,TP40,IC_20d_25w,0.2607,0.7509
0.1,TP40,IC_25d_25w,0.3571,0.74
0.1,TP40,IC_30d_25w,0.4954,0.7242
0.1,TP40,IC_35d_25w,0.5978,0.7048
0.1,TP40,IC_40d_25w,0.7139,0.6842
0.1,TP40,IC_45d_25w,0.8611,0.665
0.15,TP40,IC_05d_25w,0.0565,0.7864
0.15,TP40,IC_10d_25w,0.1172,0.7735
0.15,TP40,IC_15d_25w,0.1873,0.7645
0.15,TP40,IC_20d_25w,0.3019,0.7569
0.15,TP40,IC_25d_25w,0.4105,0.7457
0.15,TP40,IC_30d_25w,0.6047,0.7341
0.15,TP40,IC_35d_25w,0.7258,0.7161
0.15,TP40,IC_40d_25w,0.8225,0.6957
0.15,TP40,IC_45d_25w,0.9158,0.6701
0.2,TP40,IC_05d_25w,0.0653,0.7917
0.2,TP40,IC_10d_25w,0.1466,0.7834
0.2,TP40,IC_15d_25w,0.2332,0.7747
0.2,TP40,IC_20d_25w,0.3472,0.7653
0.2,TP40,IC_25d_25w,0.4877,0.7564
0.2,TP40,IC_30d_25w,0.6693,0.7426
0.2,TP40,IC_35d_25w,0.7868,0.7245
0.2,TP40,IC_40d_25w,0.9137,0.7045
0.2,TP40,IC_45d_25w,1.0585,0.6808
0.25,TP40,IC_05d_25w,0.0745,0.798
