Model,Target,Algorithm,Test AUC,Holdout AUC,Baseline WR,Baseline EV
tp10_target_lgbm,tp10_target,LGBM,0.7048,0.702,0.8795,0.0267
tp10_target_xgb,tp10_target,XGB,0.7137,0.7297,0.8795,0.0267
tp15_target_lgbm,tp15_target,LGBM,0.6986,0.7092,0.8376,0.0298
tp15_target_xgb,tp15_target,XGB,0.7015,0.7083,0.8376,0.0298
tp20_target_lgbm,tp20_target,LGBM,0.703,0.719,0.8011,0.0289
tp20_target_xgb,tp20_target,XGB,0.6977,0.7124,0.8011,0.0289
tp25_target_lgbm,tp25_target,LGBM,0.6816,0.6907,0.7698,0.033
tp25_target_xgb,tp25_target,XGB,0.7021,0.7034,0.7698,0.033
tp30_target_lgbm,tp30_target,LGBM,0.6954,0.6974,0.7422,0.0417
tp30_target_xgb,tp30_target,XGB,0.6865,0.6954,0.7422,0.0417
tp35_target_lgbm,tp35_target,LGBM,0.6932,0.6991,0.7189,0.0426
tp35_target_xgb,tp35_target,XGB,0.6809,0.6966,0.7189,0.0426
tp40_target_lgbm,tp40_target,LGBM,0.6827,0.6794,0.6987,0.0442
tp40_target_xgb,tp40_target,XGB,0.6883,0.6844,0.6987,0.0442
tp45_target_lgbm,tp45_target,LGBM,0.6933,0.6916,0.6817,0.0436
tp45_target_xgb,tp45_target,XGB,0.6983,0.6983,0.6817,0.0436
tp50_target_lgbm,tp50_target,LGBM,0.6789,0.6892,0.6679,0.0419
tp50_target_xgb,tp50_target,XGB,0.6993,0.6945,0.6679,0.0419
