skip_rate,trades,shadow_skips,wins,win_rate,total_return_pct,max_dd_pct,sharpe,final_portfolio,avg_pnl
0.2,677,78,511,0.7548,-222.75,229.38,-1.7,-12275.4,-32.9
0.21,672,70,517,0.7693,-230.97,237.95,-1.44,-13096.9,-34.37
0.22,670,64,511,0.7627,-230.84,237.82,-1.59,-13084.0,-34.45
0.23,670,57,510,0.7612,-229.82,236.8,-1.63,-12981.5,-34.3
0.24,668,64,508,0.7605,-237.69,244.64,-1.42,-13768.6,-35.58
0.25,669,47,504,0.7534,-231.91,239.13,-1.9,-13191.3,-34.67
0.26,654,58,499,0.763,-229.41,236.63,-1.96,-12940.8,-35.08
0.27,647,53,492,0.7604,-231.34,238.64,-2.04,-13134.4,-35.76
0.28,641,72,489,0.7629,-232.68,239.94,-1.96,-13268.2,-36.3
0.29,638,74,488,0.7649,-224.38,231.61,-1.63,-12437.6,-35.17
0.3,628,85,487,0.7755,-226.33,233.79,-1.62,-12633.1,-36.04
0.31,628,76,485,0.7723,-232.28,239.74,-1.64,-13228.1,-36.99
0.32,620,75,480,0.7742,-237.02,244.48,-0.11,-13701.5,-38.23
0.33,623,71,482,0.7737,-239.87,247.33,-1.25,-13987.1,-38.5
0.34,621,86,489,0.7874,-243.52,250.98,-1.37,-14351.7,-39.21
0.35,621,86,488,0.7858,-240.52,247.78,-1.82,-14051.7,-38.73
0.36,623,93,490,0.7865,-233.75,241.01,-1.73,-13374.6,-37.52
0.37,625,113,500,0.8,-238.7,245.96,-0.87,-13870.0,-38.19
0.38,618,109,490,0.7929,-234.94,242.2,-0.92,-13493.6,-38.02
0.39,612,122,485,0.7925,-234.4,241.66,-1.47,-13439.9,-38.3
0.4,614,132,487,0.7932,-234.23,241.49,-1.54,-13422.8,-38.15
