date,entry_time,exit_time,strategy,action,credit,exit_debit,exit_reason,prob,rank_score,pnl_per_share,pnl_total,portfolio_after
2025-06-12,2025-06-12 10:00:00,2025-06-12 15:00:00,IC_45d_25w,TRADE,14.45,19.125,close_loss,0.56033915,8.096900758147239,-4.827,-482.7,9517.3
2025-06-13,2025-06-13 10:00:00,2025-06-13 10:46:00,IC_45d_25w,TRADE,17.05,15.2,tp,0.56765,9.678432843089103,1.6980000000000013,169.80000000000013,9687.099999999999
2025-06-13,2025-06-13 10:46:00,2025-06-13 14:06:00,IC_45d_25w,TRADE,15.2,13.475,tp,0.5824422,8.853121805191039,1.5729999999999995,157.29999999999995,9844.399999999998
2025-06-13,2025-06-13 14:06:00,2025-06-13 15:00:00,IC_45d_25w,TRADE,11.275,15.55,close_loss,0.49893963,5.625544366240502,-4.427,-442.69999999999993,9401.699999999997
2025-06-16,2025-06-16 10:00:00,2025-06-16 11:54:00,IC_45d_25w,TRADE,13.2,11.85,tp,0.43622732,5.758200645446777,1.1979999999999995,119.79999999999995,9521.499999999996
2025-06-16,2025-06-16 11:54:00,2025-06-16 13:21:00,IC_45d_25w,TRADE,11.875,10.475,tp,0.44069555,5.233259703963995,1.2480000000000002,124.80000000000003,9646.299999999996
2025-06-16,2025-06-16 13:21:00,2025-06-16 13:41:00,IC_25d_25w,TRADE,4.775,4.275,tp,0.48482,2.3150155395269394,0.34800000000000003,34.800000000000004,9681.099999999995
2025-06-16,2025-06-16 13:46:00,2025-06-16 14:05:00,IC_10d_25w,TRADE,1.375,1.2,tp,0.478659,0.6581561304628849,0.02300000000000004,2.3000000000000043,9683.399999999994
2025-06-17,2025-06-17 10:00:00,2025-06-17 10:56:00,IC_45d_25w,TRADE,12.825,11.525,tp,0.52118605,6.684211139380931,1.1479999999999988,114.79999999999988,9798.199999999993
2025-06-17,2025-06-17 10:56:00,2025-06-17 11:44:00,IC_45d_25w,TRADE,11.525,10.325,tp,0.5051493,5.821845738589764,1.048000000000001,104.8000000000001,9902.999999999993
2025-06-17,2025-06-17 11:44:00,2025-06-17 15:00:00,IC_45d_25w,TRADE,11.65,20.4,close_loss,0.50003046,5.825354835391045,-8.901999999999997,-890.1999999999997,9012.799999999994
2025-06-18,2025-06-18 10:00:00,2025-06-18 14:10:00,IC_45d_25w,TRADE,16.85,15.1,tp,0.44527745,7.502925074100495,1.5980000000000016,159.80000000000015,9172.599999999993
2025-06-18,2025-06-18 14:10:00,2025-06-18 14:48:00,IC_45d_25w,TRADE,15.1,13.575,tp,0.42329362,6.391733667254448,1.3730000000000002,137.3,9309.899999999992
