strategy,skip_rate,max_sl_pct,total_return_pct,max_drawdown_pct,sharpe,win_rate,n_trades,n_shadow,trades_per_day,final_portfolio,avg_pnl,period,config
3,0.05,0.1,-4.52,5.57,-2.05,52.6,19,579,0.26,9548.23,-23.78,test,S3_sl10pct_skip05
3,0.06,0.1,-4.52,5.57,-2.05,52.6,19,577,0.26,9548.23,-23.78,test,S3_sl10pct_skip06
3,0.07,0.1,-4.52,5.57,-2.05,52.6,19,574,0.26,9548.23,-23.78,test,S3_sl10pct_skip07
3,0.08,0.1,-4.52,5.57,-2.05,52.6,19,574,0.26,9548.23,-23.78,test,S3_sl10pct_skip08
3,0.09,0.1,-4.52,5.57,-2.05,52.6,19,572,0.26,9548.23,-23.78,test,S3_sl10pct_skip09
3,0.1,0.1,-4.34,5.31,-2.23,47.4,19,571,0.26,9565.68,-22.86,test,S3_sl10pct_skip10
3,0.11,0.1,-4.34,5.31,-2.23,47.4,19,571,0.26,9565.68,-22.86,test,S3_sl10pct_skip11
3,0.12,0.1,-4.34,5.31,-2.23,47.4,19,562,0.26,9565.68,-22.86,test,S3_sl10pct_skip12
3,0.13,0.1,-4.34,5.31,-2.23,47.4,19,562,0.26,9565.68,-22.86,test,S3_sl10pct_skip13
3,0.14,0.1,-4.34,5.31,-2.23,47.4,19,561,0.26,9565.68,-22.86,test,S3_sl10pct_skip14
3,0.15,0.1,-3.14,5.43,-1.35,57.1,21,558,0.28,9685.63,-14.97,test,S3_sl10pct_skip15
3,0.16,0.1,-4.34,5.31,-2.23,47.4,19,556,0.26,9565.68,-22.86,test,S3_sl10pct_skip16
3,0.17,0.1,-4.34,5.31,-2.23,47.4,19,553,0.26,9565.68,-22.86,test,S3_sl10pct_skip17
3,0.18,0.1,-4.34,5.31,-2.23,47.4,19,553,0.26,9565.68,-22.86,test,S3_sl10pct_skip18
3,0.19,0.1,-2.37,6.29,-0.82,55.0,20,551,0.27,9762.97,-11.85,test,S3_sl10pct_skip19
3,0.2,0.1,-0.62,4.78,-0.19,55.0,20,543,0.27,9937.87,-3.11,test,S3_sl10pct_skip20
3,0.21,0.1,-0.62,4.78,-0.19,55.0,20,541,0.27,9937.87,-3.11,test,S3_sl10pct_skip21
3,0.22,0.1,-0.62,4.78,-0.19,55.0,20,539,0.27,9937.87,-3.11,test,S3_sl10pct_skip22
3,0.23,0.1,-0.62,4.78,-0.19,55.0,20,540,0.27,9937.87,-3.11,test,S3_sl10pct_skip23
3,0.24,0.1,-0.62,4.78,-0.19,55.0,20,540,0.27,9937.87,-3.11,test,S3_sl10pct_skip24
3,0.25,0.1,-0.62,4.78,-0.19,55.0,20,539,0.27,9937.87,-3.11,test,S3_sl10pct_skip25
3,0.26,0.1,1.43,4.69,0.48,59.1,22,538,0.3,10142.82,6.49,test,S3_sl10pct_skip26
3,0.27,0.1,4.63,4.69,1.31,66.7,24,534,0.32,10462.61,19.28,test,S3_sl10pct_skip27
3,0.28,0.1,4.63,4.69,1.31,66.7,24,533,0.32,10462.61,19.28,test,S3_sl10pct_skip28
3,0.29,0.1,4.63,4.69,1.31,66.7,24,531,0.32,10462.61,19.28,test,S3_sl10pct_skip28
3,0.3,0.1,4.63,4.69,1.31,66.7,24,530,0.32,10462.61,19.28,test,S3_sl10pct_skip30
3,0.31,0.1,4.63,4.69,1.31,66.7,24,529,0.32,10462.61,19.28,test,S3_sl10pct_skip31
3,0.32,0.1,-0.21,5.88,0.03,55.9,34,510,0.46,9979.48,-0.6,test,S3_sl10pct_skip32
3,0.33,0.1,-0.21,5.88,0.03,55.9,34,515,0.46,9979.48,-0.6,test,S3_sl10pct_skip33
3,0.34,0.1,11.87,5.59,2.36,64.7,34,501,0.46,11186.67,34.9,test,S3_sl10pct_skip34
3,0.35,0.1,-1.78,13.08,-0.13,66.7,39,492,0.53,9821.83,-4.57,test,S3_sl10pct_skip35
3,0.05,0.15,-1.9,5.13,-0.62,50.0,14,576,0.19,9810.42,-13.54,test,S3_sl15pct_skip05
3,0.06,0.15,-1.9,5.13,-0.62,50.0,14,574,0.19,9810.42,-13.54,test,S3_sl15pct_skip06
3,0.07,0.15,-1.9,5.13,-0.62,50.0,14,571,0.19,9810.42,-13.54,test,S3_sl15pct_skip07
3,0.08,0.15,-1.9,5.13,-0.62,50.0,14,571,0.19,9810.42,-13.54,test,S3_sl15pct_skip08
3,0.09,0.15,-1.9,5.13,-0.62,50.0,14,569,0.19,9810.42,-13.54,test,S3_sl15pct_skip09
3,0.1,0.15,-2.42,5.16,-0.8,46.7,15,566,0.2,9757.76,-16.15,test,S3_sl15pct_skip10
3,0.11,0.15,-2.42,5.16,-0.8,46.7,15,566,0.2,9757.76,-16.15,test,S3_sl15pct_skip11
3,0.12,0.15,-2.42,5.16,-0.8,46.7,15,557,0.2,9757.76,-16.15,test,S3_sl15pct_skip12
3,0.13,0.15,-2.42,5.16,-0.8,46.7,15,557,0.2,9757.76,-16.15,test,S3_sl15pct_skip13
3,0.14,0.15,-2.42,5.16,-0.8,46.7,15,556,0.2,9757.76,-16.15,test,S3_sl15pct_skip14
3,0.15,0.15,-0.6,5.52,-0.15,53.3,15,555,0.2,9940.21,-3.99,test,S3_sl15pct_skip15
3,0.16,0.15,-2.42,5.16,-0.8,46.7,15,551,0.2,9757.76,-16.15,test,S3_sl15pct_skip16
3,0.17,0.15,-2.42,5.16,-0.8,46.7,15,548,0.2,9757.76,-16.15,test,S3_sl15pct_skip17
3,0.18,0.15,-2.42,5.16,-0.8,46.7,15,548,0.2,9757.76,-16.15,test,S3_sl15pct_skip18
3,0.19,0.15,0.4,7.3,0.17,55.6,18,547,0.24,10039.85,2.21,test,S3_sl15pct_skip19
3,0.2,0.15,3.07,5.37,0.86,55.6,18,539,0.24,10307.19,17.07,test,S3_sl15pct_skip20
3,0.21,0.15,3.07,5.37,0.86,55.6,18,537,0.24,10307.19,17.07,test,S3_sl15pct_skip21
3,0.22,0.15,3.07,5.37,0.86,55.6,18,535,0.24,10307.19,17.07,test,S3_sl15pct_skip22
3,0.23,0.15,3.07,5.37,0.86,55.6,18,536,0.24,10307.19,17.07,test,S3_sl15pct_skip23
3,0.24,0.15,3.07,5.37,0.86,55.6,18,536,0.24,10307.19,17.07,test,S3_sl15pct_skip24
3,0.25,0.15,3.07,5.37,0.86,55.6,18,535,0.24,10307.19,17.07,test,S3_sl15pct_skip25
3,0.26,0.15,5.25,5.26,1.18,55.6,18,534,0.24,10524.69,29.15,test,S3_sl15pct_skip26
3,0.27,0.15,9.44,5.26,1.89,63.2,19,528,0.26,10944.48,49.71,test,S3_sl15pct_skip27
3,0.28,0.15,9.44,5.26,1.89,63.2,19,527,0.26,10944.48,49.71,test,S3_sl15pct_skip28
3,0.29,0.15,9.44,5.26,1.89,63.2,19,525,0.26,10944.48,49.71,test,S3_sl15pct_skip28
3,0.3,0.15,9.44,5.26,1.89,63.2,19,524,0.26,10944.48,49.71,test,S3_sl15pct_skip30
3,0.31,0.15,9.44,5.26,1.89,63.2,19,523,0.26,10944.48,49.71,test,S3_sl15pct_skip31
3,0.32,0.15,3.56,6.95,0.69,53.6,28,505,0.38,10356.0,12.71,test,S3_sl15pct_skip32
3,0.33,0.15,3.56,6.95,0.69,53.6,28,510,0.38,10356.0,12.71,test,S3_sl15pct_skip33
3,0.34,0.15,20.73,6.48,2.82,64.7,34,497,0.46,12072.77,60.96,test,S3_sl15pct_skip34
3,0.35,0.15,-3.72,17.37,-0.21,64.1,39,486,0.53,9628.08,-9.54,test,S3_sl15pct_skip35
3,0.05,0.2,-1.3,5.26,-0.38,50.0,12,572,0.16,9870.21,-10.82,test,S3_sl20pct_skip05
3,0.06,0.2,-1.3,5.26,-0.38,50.0,12,570,0.16,9870.21,-10.82,test,S3_sl20pct_skip06
3,0.07,0.2,-1.3,5.26,-0.38,50.0,12,567,0.16,9870.21,-10.82,test,S3_sl20pct_skip07
3,0.08,0.2,-1.3,5.26,-0.38,50.0,12,567,0.16,9870.21,-10.82,test,S3_sl20pct_skip08
