feature,importance
daily_prior_close_ratio_sma_20day,0.024592606
sp_delta,0.018389234
daily_prior_xlf_spy_ret_spread_1day,0.017320072
sc_delta,0.016647885
daily_prior_macd_hist,0.015752016
daily_prior_close_ratio_ema_20day,0.015326208
intraday_spx_vs_sma_20day,0.014867582
days_to_next_fomc,0.014788754
daily_prior_hv_iv_ratio_5day,0.014542408
daily_prior_vvix_close,0.014509324
daily_prior_regime_prob_highvol,0.014339741
daily_prior_atm_iv_21day_std,0.014079799
prior_day_oi_concentration,0.013844129
daily_prior_dxy_trend,0.013827286
daily_prior_vix1d_vs_sma_5day,0.013743809
entry_hour,0.013661629
daily_prior_xle_spy_ret_spread_1day,0.013309217
daily_prior_max_pain_strike,0.013141187
minutes_since_open,0.013020177
daily_prior_hv_iv_ratio_10day,0.01300859
daily_prior_vix1d_vs_sma_5,0.012962586
daily_prior_ts_iv_14dte,0.012717774
daily_prior_oil_chg_20day,0.012489793
daily_prior_close_ratio_sma_50day,0.012161429
daily_prior_total_put_volume,0.0119654
daily_prior_close_ratio_sma_100day,0.011915644
daily_prior_yield_10y_chg_5day,0.011783315
daily_prior_rsi_14day,0.0115373405
prior_day_pc_oi_ratio,0.011488049
daily_prior_iv_10d_put,0.011428364
daily_prior_yield_10y_chg_63day,0.011383943
daily_prior_vix_ratio_sma_10day,0.011257397
daily_prior_vix1d_zscore_21day,0.011211257
daily_prior_efficiency_ratio,0.011141041
daily_prior_pc_oi_ratio,0.011073641
daily_prior_gold_chg_20day,0.011035653
daily_prior_qqq_spx_ratio_chg_20day,0.011025338
daily_prior_hv_iv_ratio_30day,0.010868663
daily_prior_ts_iv_7dte,0.010833382
intraday_max_pain_distance_pts,0.010816301
daily_prior_iv_25d_put,0.010801048
daily_spx_open_vs_prev_close_gap_pct,0.010755738
is_monday,0.0106889475
intraday_spx_vs_sma_50day,0.010628677
daily_prior_oil_chg_5day,0.010552003
daily_prior_rv_iv_spread_10day,0.010399743
daily_prior_close_ratio_ema_5day,0.0103086205
daily_prior_vvix_vs_vix_ratio,0.010255049
daily_prior_atm_iv_zscore_21day,0.010134022
time_sin,0.010029789
daily_prior_iv_rv_ratio,0.0099847
daily_prior_iv_smile_curve,0.009537565
daily_prior_dxy_chg_5day,0.009531657
daily_prior_ts_iv_slope_7dte_14dte,0.00937053
daily_prior_iv_rank_30day,0.009221415
daily_prior_oi_concentration,0.009218258
intraday_iv_25d_put,0.009203592
daily_prior_ts_0dte_atm_mid,0.009201389
daily_prior_skew_25d_zscore_21day,0.009136194
daily_prior_tlt_spx_ratio_chg_5day,0.009026927
daily_prior_hv_iv_ratio_20day,0.008823049
daily_prior_choppiness_14day,0.00868014
intraday_ts_slope_0dte_30dte,0.008608964
daily_prior_vix1d_vs_sma_20day,0.008540146
intraday_ts_slope_0dte_7dte,0.008517052
day_of_month,0.00851573
daily_prior_rv_iv_spread_20day,0.0083583575
daily_prior_open_to_close_pct,0.00834437
daily_prior_yield_2y_chg_5day,0.008052939
intraday_atm_straddle_mid,0.00793823
daily_prior_yield_spread_2y10y_chg_63day,0.007920935
daily_prior_vix_vxv_zscore_21day,0.007860004
daily_prior_rsp_spy_ratio_5day_chg,0.00767004
daily_prior_ts_7dte_atm_mid,0.007389646
daily_prior_range_pct,0.007373266
daily_prior_eem_spx_ratio_chg_20day,0.007125879
intraday_ma15_vs_sma_7day,0.0068475488
intraday_range_exhaustion,0.0067272736
daily_prior_iwm_spx_ratio_chg_5day,0.0065982207
daily_prior_ts_slope_0_30,0.0065594134
daily_prior_atm_iv,0.006487972
daily_prior_vvix_zscore_21day,0.0064455727
daily_prior_dxy_broad,0.00624169
day_of_week,0.0059922044
daily_prior_skew_25d,0.0057393513
daily_prior_spx_ret_60day,0.0055889296
daily_prior_gold_fix_am,0.005578342
open_drive_strength,0.0052556237
daily_prior_spx_iwm_ratio,0.0048388247
spx_intraday_atm_strike,0.004812316
daily_prior_tlt_ret_20day,0.0046928893
daily_prior_bb_bandwidth,0.0043897424
daily_prior_bb_bandwidth_pctile,0.0042002513
daily_prior_xlk_spy_ret_spread_1day,0.0038894936
daily_prior_vvix_ma20,0.0034527218
intraday_max_pain_distance_pct,0.003355726
daily_prior_vix_vxv_ratio,0.0033306675
intraday_rvol_30m,0.0030600072
daily_prior_rsp_spy_ratio_20day_chg,0.003000444
daily_prior_iwm_spx_ratio,0.002803357
intraday_ic_credit_50pt,0.002674965
intraday_spx_vs_sma_7day,0.0023510193
time_cos,0.0022718415
daily_prior_skew_25d_21day_std,0.0021410028
intraday_iv_ts_slope_0dte_14dte,0.0018730818
intraday_iv_ts_slope_0dte_7dte,0.0018645088
daily_prior_total_put_oi,0.0013327358
intraday_ic_credit_100pt,0.001031891
daily_prior_skew_25d_5day_std,0.00091722875
intraday_skew_10d,0.00087756466
intraday_iv_10d_call,0.00076088274
prev_close_gap_reversal,0.00050209666
daily_prior_skew_25d_21day_mean,0.0
triple_witching,0.0
thanksgiving_week,0.0
sell_in_may,0.0
daily_prior_vix1d_vs_vix,0.0
quarter,0.0
q4_rally,0.0
party_dem,0.0
pre_election_year,0.0
week_of_year,0.0
opex_week,0.0
intraday_atm_call_mid,0.0
intraday_atm_put_mid,0.0
opex_day,0.0
intraday_atm_iv,0.0
intraday_iv_25d_call,0.0
daily_prior_skew_25d_5day_mean,0.0
daily_prior_oil_trend,0.0
entry_minute,0.0
near_qtr_end,0.0
daily_prior_yz_hv_30day,0.0
daily_prior_vix_close,0.0
is_friday,0.0
daily_prior_vix_ratio_sma_20day,0.0
daily_prior_vix1d_close,0.0
strat_IC_45d_25w,0.0
strat_IC_40d_25w,0.0
strat_IC_35d_25w,0.0
strat_IC_30d_25w,0.0
strat_IC_25d_25w,0.0
daily_prior_iv_25d_call,0.0
strat_IC_20d_25w,0.0
strat_IC_15d_25w,0.0
daily_prior_iv_10d_call,0.0
strat_IC_10d_25w,0.0
daily_prior_skew_10d,0.0
strat_IC_05d_25w,0.0
daily_prior_atm_iv_5day_mean,0.0
daily_prior_atm_iv_5day_std,0.0
daily_prior_atm_iv_21day_mean,0.0
intraday_iv_10d_put,0.0
intraday_skew_25d,0.0
days_to_next_any_econ,0.0
is_gdp_day,0.0
is_nfp_day,0.0
is_ppi_day,0.0
days_to_next_cpi,0.0
days_to_next_gdp,0.0
days_to_next_nfp,0.0
days_to_next_ppi,0.0
sc_iv,0.0
is_earnings_aapl,0.0
daily_prior_regime_switch,0.0
is_earnings_amzn,0.0
is_earnings_googl,0.0
is_earnings_meta,0.0
is_earnings_msft,0.0
is_earnings_nvda,0.0
is_earnings_tsla,0.0
mag7_earnings_count,0.0
is_mag7_earnings_day,0.0
is_cpi_day,0.0
daily_prior_regime_duration,0.0
daily_prior_yz_hv_10day,0.0
days_into_quarter,0.0
intraday_iv_smile_curve,0.0
near_month_end,0.0
intraday_ic_credit_150pt,0.0
month,0.0
midterm_year,0.0
january_effect,0.0
first_year,0.0
election_year,0.0
cycle_year,0.0
sp_iv,0.0
daily_prior_ts_iv_inverted_7dte_14dte,0.0
daily_prior_total_call_volume,0.0
cycle_month,0.0
daily_prior_pc_volume_ratio,0.0
christmas_week,0.0
iv_crush_post_fomc,0.0
credit,0.0
daily_prior_regime_state,0.0
daily_prior_yz_hv_20day,0.0
daily_prior_yz_hv_5day,0.0
daily_prior_qqq_spx_ratio_chg_5day,0.0
is_month_end,0.0
daily_prior_yield_spread_2y10y_chg_21day,0.0
daily_prior_breadth_thrust_cumulative_5day,0.0
prior_day_total_call_oi,0.0
prior_day_total_put_oi,0.0
daily_prior_vol_regime_persistence,0.0
daily_prior_vix_term_structure_slope,0.0
