feature,importance
intraday_range_exhaustion,1204
minutes_since_open,1072
intraday_spx_vs_vwap,969
intraday_ts_slope_0dte_7dte,878
intraday_ts_slope_0dte_30dte,710
time_cos,535
intraday_spx_vs_sma_7day,528
intraday_max_pain_distance_pct,505
intraday_ma15_vs_sma_7day,500
intraday_atm_straddle_mid,461
intraday_max_pain_distance_pts,455
intraday_iv_ts_slope_0dte_7dte,441
time_sin,396
intraday_spx_vs_sma_50day,367
intraday_spx_vs_sma_180day,359
intraday_iv_ts_slope_0dte_14dte,355
intraday_spx_vs_sma_20day,349
intraday_ic_credit_50pt,342
spx_intraday_atm_strike,333
intraday_garman_klass_rv_30m,324
daily_prior_ts_0dte_atm_mid,312
intraday_ma15_vs_sma_20day,309
intraday_rvol_vs_daily_5day,307
sc_delta,298
intraday_pctB,291
daily_prior_hv_iv_ratio_5day,287
intraday_orb_range_pct,273
vix_intraday_prior_min_close,260
daily_spx_open_vs_prev_close_gap_pct,257
intraday_rvol_vs_daily_20day,236
intraday_iv_10d_call,236
daily_prior_vix1d_vs_sma_5,235
daily_prior_tlt_spx_ratio_chg_5day,225
daily_prior_dxy_chg_5day,197
day_of_month,186
daily_prior_xlf_spy_ret_spread_1day,181
intraday_rvol_30m,178
daily_prior_vix1d_vs_sma_20day,176
daily_prior_ts_iv_slope_7dte_14dte,175
daily_prior_pc_oi_ratio,175
daily_prior_xle_spy_ret_spread_1day,174
daily_prior_oi_concentration,173
first_15m_return_pct,171
daily_prior_xlk_spy_ret_spread_1day,171
daily_prior_total_call_volume,167
sp_iv,166
daily_prior_vix1d_zscore_21day,165
intraday_ic_credit_100pt,162
daily_prior_gold_chg_5day,161
intraday_range_vs_atr,161
daily_prior_vvix_zscore_21day,158
intraday_iv_10d_put,156
intraday_atm_iv,154
daily_prior_oil_chg_5day,151
open_drive_strength,151
daily_prior_rv_iv_spread_10day,151
daily_prior_total_put_volume,148
daily_prior_range_pct,148
intraday_skew_10d,147
daily_prior_yield_spread_2y10y_chg_5day,147
daily_prior_total_call_oi,143
daily_prior_skew_25d_zscore_21day,140
daily_prior_tlt_ret_5day,140
credit,140
daily_prior_oil_trend,139
daily_prior_eem_spx_ratio_chg_5day,138
daily_prior_yield_2y_chg_5day,137
daily_prior_iv_smile_curve,135
daily_prior_hv_iv_ratio_10day,131
daily_prior_iwm_spx_ratio_chg_5day,130
