feature,importance
minutes_since_open,328
intraday_range_exhaustion,240
intraday_spx_vs_vwap,226
daily_prior_range_pct,222
intraday_garman_klass_rv_30m,133
time_cos,127
credit,82
intraday_spx_ret_30m,74
gap_pct,70
intraday_rvol_vs_daily_5d,69
intraday_spx_vs_sma_7d,65
intraday_rvol_30m,60
intraday_ma15_vs_sma_7d,57
time_sin,57
intraday_spx_vs_sma_180d,53
intraday_spx_vs_sma_50d,51
intraday_pctB,48
prior_day_oi_concentration,45
daily_prior_eem_spx_ratio_chg_5d,43
daily_prior_vix1d_vs_sma_5,42
daily_prior_atm_iv_zscore_21day,41
intraday_iv_10d_call,38
intraday_rvol_vs_daily_20d,37
intraday_atm_put_mid,34
daily_prior_skew_25d_5day_std,34
daily_prior_yield_spread_2y10y_chg_5d,33
strat_IC_45d_25w,32
intraday_iv_25d_put,32
intraday_skew_25d,32
intraday_iv_ts_slope_0dte_7dte,32
daily_prior_skew_25d_21day_mean,31
intraday_skew_10d,30
daily_prior_skew_25d_zscore_21day,30
daily_prior_skew_25d_5day_mean,30
intraday_iv_10d_put,29
intraday_ts_slope_0dte_7dte,28
intraday_spx_vs_sma_20d,28
intraday_atm_call_mid,27
prior_day_pc_oi_ratio,26
intraday_ts_slope_0dte_30dte,26
intraday_range_vs_atr,26
daily_prior_xlf_spy_ret_spread_1d,26
daily_prior_xle_spy_ret_spread_1d,26
intraday_spx_vs_ma30,26
days_to_next_gdp,26
daily_prior_tlt_spx_ratio_chg_5d,25
daily_prior_pc_volume_ratio,25
intraday_iv_smile_curve,25
daily_prior_dxy_chg_5d,25
daily_prior_wti_crude,25
intraday_ma15_vs_sma_20d,25
daily_prior_spx_iwm_ratio_chg_5d,25
daily_prior_oil_chg_5d,25
daily_prior_rsp_spy_ratio_20d_chg,25
days_to_next_fomc,24
intraday_iv_ts_slope_0dte_14dte,24
strat_IC_40d_25w,24
daily_prior_efficiency_ratio,23
daily_prior_choppiness_14day,23
daily_prior_yield_2y_chg_5d,23
prior_day_total_put_oi,23
intraday_atm_iv,22
daily_prior_ts_iv_7dte,22
daily_prior_vix_vxv_zscore_21d,21
daily_prior_tlt_spx_corr_20d,21
daily_prior_bb_bandwidth,20
daily_prior_gold_chg_5d,20
open_drive_strength,20
daily_prior_ts_iv_14dte,20
daily_prior_yz_hv_10day,20
daily_prior_vix1d_vs_vix,19
daily_prior_yield_spread_2y10y_chg_21d,19
intraday_orb_range_pct,19
prior_day_total_call_oi,19
prior_day_max_pain_strike,19
days_to_next_cpi,19
daily_prior_tlt_ret_20d,19
daily_prior_vvix_zscore_21d,19
daily_prior_skew_25d_21day_std,18
daily_prior_breadth_thrust_cumulative_5d,18
daily_prior_oil_trend,18
daily_prior_iv_rv_ratio,18
daily_prior_close_ratio_sma_200day,18
daily_prior_ts_iv_slope_7dte_14dte,18
daily_prior_atm_iv_5day_std,18
daily_prior_iwm_spy_ret_spread_20d,17
days_into_quarter,17
daily_prior_yz_hv_5day,17
daily_prior_qqq_spx_ratio_chg_5d,17
daily_prior_vvix_vs_vix_ratio,17
daily_prior_eem_spx_ratio_chg_20d,16
daily_prior_vix_ratio_sma_20day,16
daily_prior_vol_regime_persistence,16
daily_prior_spx_ret_5d,16
intraday_max_pain_distance_pts,16
