feature,importance
daily_prior_atm_iv_5day_mean,0.020107314
intraday_iv_25d_call,0.014059033
daily_prior_range_pct,0.012959304
daily_prior_regime_duration,0.012441515
daily_prior_spx_ret_5d,0.011329931
first_30m_range_pct,0.011272199
daily_prior_vix1d_vs_sma_5,0.011230057
daily_prior_hv_iv_ratio_30day,0.011086969
intraday_ic_credit_50pt,0.011000379
daily_prior_yield_10y_chg_63d,0.010597057
daily_prior_ig_spread,0.010442687
daily_prior_tlt_spx_ratio_chg_5d,0.010287352
daily_prior_gold_chg_5d,0.010165401
intraday_atm_straddle_mid,0.009370996
daily_prior_spx_iwm_ratio_chg_5d,0.009304996
intraday_iv_25d_put,0.009123279
daily_prior_dxy_chg_5d,0.008885434
daily_prior_vix1d_zscore_21d,0.008752281
daily_prior_bb_bandwidth_pctile,0.008658296
daily_prior_regime_prob_highvol,0.008369307
credit,0.008203063
intraday_iv_ts_slope_0dte_7dte,0.008088872
daily_prior_credit_stress,0.008046173
daily_prior_yz_hv_20day,0.0079837935
vix_intraday_running_low,0.0078003365
prior_day_pc_oi_ratio,0.007632155
daily_prior_atm_iv_5day_std,0.0076194657
daily_prior_yz_hv_10day,0.0074481266
daily_prior_oil_chg_5d,0.007130348
daily_prior_total_put_volume,0.007030122
days_to_next_any_econ,0.0070217163
daily_prior_rsp_spy_ratio_20d_chg,0.007005652
daily_prior_vix_ratio_sma_20day,0.0068444465
vix_intraday_running_high,0.006640936
daily_prior_vix1d_vs_vix,0.006557723
daily_prior_yield_10y_chg_5d,0.0064587616
daily_prior_iwm_spy_ret_spread_20d,0.0064416905
daily_prior_vix1d_vs_sma_20,0.0064410213
daily_prior_rv_iv_spread_20d,0.006398445
daily_prior_yield_10y_chg_21d,0.0063877692
daily_prior_vix_vxv_zscore_21d,0.006380885
daily_prior_yield_2y_chg_5d,0.006311
intraday_atm_iv,0.006293614
daily_prior_oil_chg_20d,0.006292324
daily_prior_spx_iwm_ratio_chg_20d,0.006287171
daily_prior_eem_spx_ratio_chg_5d,0.0061943773
daily_prior_xlf_spy_ret_spread_1d,0.006156162
daily_prior_vvix_ma20,0.006116391
daily_prior_bb_bandwidth,0.0060463864
intraday_iv_10d_put,0.005985656
intraday_range_vs_atr,0.0059501114
daily_prior_close_ratio_sma_5day,0.005949165
daily_prior_iwm_spx_ratio_chg_20d,0.005915634
open_drive_strength,0.00588541
daily_prior_yield_10y,0.005884868
daily_prior_qqq_spx_ratio_chg_20d,0.0057803374
daily_prior_iwm_spx_ratio_chg_5d,0.0057572764
daily_prior_dxy_chg_20d,0.005702759
daily_prior_pc_volume_ratio,0.005626884
intraday_iv_ts_slope_0dte_14dte,0.0056034685
daily_prior_close_ratio_sma_200day,0.005539363
daily_prior_yield_2y_chg_63d,0.0055220863
daily_prior_tlt_spx_corr_20d,0.0055183456
daily_prior_skew_25d_5day_std,0.0054760417
daily_prior_rsp_spy_ratio,0.0054753665
intraday_skew_10d,0.005464485
daily_prior_ts_iv_7dte,0.005456634
intraday_orb_containment,0.005390925
cycle_month,0.005375972
spx_intraday_first_bar_open,0.0053657894
daily_prior_qqq_spx_ratio,0.005226805
is_cpi_day,0.0052233133
