feature,importance
minutes_since_open,2239
range_exhaustion,1370
spx_vs_vwap,1293
credit,1237
garman_klass_rv_30m,849
intraday_range_pct,773
time_cos,769
spx_vs_sma_180d,557
spx_vs_sma_7d,549
intraday_ma15_vs_sma_7d,528
rvol_intraday_vs_5d,494
intraday_pctB,432
rvol_30m,414
spx_ret_30m,400
time_sin,391
spx_vs_sma_50d,338
total_put_volume,310
entry_minute,286
spx_vs_sma_20d,252
total_call_volume,250
intraday_ma15_vs_sma_20d,242
atm_call_close,229
open_to_close_pct,206
gap_pct,195
spx_iwm_ratio_chg_5d,189
put_wall_distance,178
orb_range_pct,172
rvol_intraday_vs_20d,169
skew_25d,166
orb_breakout_dir,164
skew_25d_5d_std,163
xlf_spy_ret_spread_1d,161
oi_concentration,158
vanna_charm_ratio,156
pc_volume_ratio,153
vix_vs_sma_10,150
skew_25d_5d_mean,146
pc_oi_ratio,137
skew_10d,135
spx_vs_intraday_ma30,130
iv_10d_call,128
call_wall_distance,124
max_pain_distance_pts,122
ts_slope_0_7,118
ts_slope_0_30,112
net_vanna_exposure,109
vix1d_vs_sma_5,108
spx_vs_intraday_ma5,108
rvol_15m,107
first_15m_return_pct,106
eem_spx_ratio_chg_5d,106
iv_25d_put,105
strat_IC_45d_25w,104
intraday_range_vs_atr,99
iv_10d_put,99
atm_call_open,99
oil_chg_5d,99
total_put_oi,98
orb_containment,97
spx_ret_15m,96
day_of_month,95
efficiency_ratio,93
gold_chg_5d,93
skew_25d_zscore_21d,92
gold_chg_20d,92
rsp_spy_ratio_zscore_21d,91
days_to_next_cpi,90
iv_smile_curve,89
rsi_14,89
zero_gamma_level,89
yield_spread_2y10y_chg_5d,89
open_drive_strength,88
vvix_zscore_21d,88
atm_put_open,87
vix1d_vs_vix,86
rv_iv_spread_20d,86
first_30m_return_pct,86
tlt_spx_ratio_chg_5d,84
gex_regime_prob_trans,83
iv_ts_slope_0_7,83
atm_iv,83
choppiness_14,82
total_call_oi,82
call_wall,81
vix1d_close,81
iv_ts_slope_0_14,80
breadth_thrust_cumulative_5d,79
xlk_spy_ret_spread_1d,79
ts_slope_7_14,78
vix_vxv_zscore_21d,78
vix1d_vs_sma_20,77
hv_iv_ratio_10d,77
iv_25d_call,77
atr_pct,77
skew_25d_21d_mean,76
qqq_spx_ratio_chg_20d,74
close_vs_sma_5,74
vol_regime_persistence,74
net_gex,74
qqq_spx_ratio_chg_5d,74
strat_IC_40d_25w,74
ic_credit_100,74
rsp_spy_ratio_5d_chg,74
net_charm_exposure,73
gex_regime_prob_pos,73
regime_prob_highvol,73
max_pain_strike,73
gold_trend,73
atm_iv_5d_mean,72
close_vs_sma_100,71
close_vs_sma_200,71
oil_trend,71
atm_iv_zscore_21d,70
iwm_spy_ret_spread_20d,70
