Model,AUC,Skip Rate,Win Rate,Avg Credit,EV Gross ($/contract),Fees,EV Net ($/contract),EV Gross (%),EV Net (%),Median Time (min),Trades/Day,Daily Net ($),Daily Net (%),Annual Net ($),Annual Net (%)
tp10_target_xgb,0.7297,0.0,0.8795,5.91,2.67,6.43,-3.76,0.45,-0.64,19.0,10.0,-37.62,-6.36,-9480.66,-1603.6
tp10_target_xgb,0.7297,0.05,0.894,5.81,8.07,6.43,1.64,1.39,0.28,20.0,10.0,16.37,2.82,4124.93,709.5
tp10_target_xgb,0.7297,0.1,0.9041,5.69,12.29,6.43,5.86,2.16,1.03,20.0,10.0,58.58,10.3,14762.02,2594.7
tp10_target_xgb,0.7297,0.15,0.9104,5.6,14.99,6.43,8.56,2.68,1.53,19.0,10.0,85.56,15.29,21560.82,3853.1
tp10_target_xgb,0.7297,0.2,0.9154,5.53,17.29,6.43,10.86,3.12,1.96,19.0,10.0,108.6,19.63,27366.37,4946.0
tp10_target_xgb,0.7297,0.25,0.9203,5.49,19.53,6.43,13.1,3.55,2.38,19.0,10.0,130.98,23.84,33006.28,6007.1
tp10_target_xgb,0.7297,0.3,0.9261,5.46,22.51,6.43,16.08,4.12,2.94,19.0,10.0,160.77,29.44,40513.94,7418.3
tp10_target_lgbm,0.702,0.0,0.8795,5.91,2.67,6.43,-3.76,0.45,-0.64,19.0,10.0,-37.62,-6.36,-9480.66,-1603.6
tp10_target_lgbm,0.702,0.05,0.892,5.92,5.11,6.43,-1.32,0.86,-0.22,20.0,10.0,-13.24,-2.23,-3336.6,-563.1
tp10_target_lgbm,0.702,0.1,0.8986,5.87,7.61,6.43,1.18,1.3,0.2,20.0,10.0,11.84,2.02,2984.27,508.0
tp10_target_lgbm,0.702,0.15,0.9046,5.83,10.48,6.43,4.05,1.8,0.69,20.0,10.0,40.49,6.94,10202.25,1748.5
tp10_target_lgbm,0.702,0.2,0.91,5.8,13.55,6.43,7.12,2.34,1.23,20.0,10.0,71.16,12.27,17932.06,3091.8
tp10_target_lgbm,0.702,0.25,0.9155,5.77,16.55,6.43,10.12,2.87,1.75,20.0,10.0,101.18,17.55,25498.14,4421.5
tp10_target_lgbm,0.702,0.3,0.9209,5.74,19.61,6.43,13.18,3.42,2.3,20.0,10.0,131.82,22.97,33219.31,5789.4
tp15_target_xgb,0.7083,0.0,0.8376,5.91,2.98,6.43,-3.45,0.5,-0.58,29.0,10.0,-34.48,-5.83,-8688.3,-1469.5
tp15_target_xgb,0.7083,0.05,0.8526,5.79,10.98,6.43,4.55,1.9,0.79,29.0,10.0,45.52,7.86,11469.81,1980.0
tp15_target_xgb,0.7083,0.1,0.863,5.68,15.71,6.43,9.28,2.77,1.63,29.0,10.0,92.81,16.33,23388.99,4116.2
tp15_target_xgb,0.7083,0.15,0.8707,5.59,19.56,6.43,13.13,3.5,2.35,29.0,10.0,131.3,23.48,33087.98,5918.0
tp15_target_xgb,0.7083,0.2,0.8772,5.52,22.92,6.43,16.49,4.15,2.99,30.0,10.0,164.88,29.87,41549.64,7527.7
tp15_target_xgb,0.7083,0.25,0.8836,5.47,26.47,6.43,20.04,4.84,3.67,30.0,10.0,200.42,36.67,50504.63,9239.9
tp15_target_xgb,0.7083,0.3,0.8911,5.42,30.51,6.43,24.08,5.63,4.45,29.0,10.0,240.8,44.46,60680.38,11203.5
tp15_target_lgbm,0.7092,0.0,0.8376,5.91,2.98,6.43,-3.45,0.5,-0.58,29.0,10.0,-34.48,-5.83,-8688.3,-1469.5
