Time,SC,SP,LC,LP,Credit,IC_Debit,TP10,TP10_reason,TP10_exit_time,TP15,TP15_reason,TP15_exit_time,TP20,TP20_reason,TP20_exit_time,TP25,TP25_reason,TP25_exit_time,TP30,TP30_reason,TP30_exit_time,TP35,TP35_reason,TP35_exit_time,TP40,TP40_reason,TP40_exit_time,TP45,TP45_reason,TP45_exit_time,TP50,TP50_reason,TP50_exit_time
10:00,0.95,1.45,0.12,0.53,1.75,1.75,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:01,0.75,1.73,0.12,0.57,1.75,1.78,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:02,0.72,1.80,0.12,0.57,1.75,1.82,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:03,0.82,1.62,0.12,0.53,1.75,1.80,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:04,0.95,1.38,0.12,0.47,1.75,1.73,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:05,0.95,1.40,0.12,0.47,1.75,1.75,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:06,0.80,1.42,0.12,0.47,1.75,1.62,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:07,0.85,1.33,0.12,0.47,1.75,1.58,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:08,1.10,1.08,0.12,0.38,1.75,1.68,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:09,1.33,0.90,0.17,0.32,1.75,1.73,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:10,1.25,0.93,0.17,0.32,1.75,1.67,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:11,1.30,0.95,0.17,0.35,1.75,1.73,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:12,1.20,0.97,0.17,0.35,1.75,1.65,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:13,1.40,0.97,0.17,0.38,1.75,1.82,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:14,1.38,1.00,0.17,0.38,1.75,1.82,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:15,1.48,0.93,0.17,0.38,1.75,1.85,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:16,1.38,0.88,0.15,0.32,1.75,1.77,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:17,1.50,0.88,0.17,0.35,1.75,1.85,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:18,1.73,0.78,0.17,0.32,1.75,2.00,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:19,1.95,0.75,0.23,0.32,1.75,2.15,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:20,1.85,0.78,0.23,0.32,1.75,2.08,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:21,1.62,0.82,0.17,0.32,1.75,1.95,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:22,1.62,0.85,0.17,0.32,1.75,1.98,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:23,1.50,0.88,0.17,0.38,1.75,1.82,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:24,1.62,0.82,0.17,0.32,1.75,1.95,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:25,1.85,0.80,0.23,0.32,1.75,2.10,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:26,1.65,0.82,0.17,0.32,1.75,1.97,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:27,1.75,0.80,0.20,0.32,1.75,2.02,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:28,1.70,0.80,0.17,0.32,1.75,2.00,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:29,1.67,0.82,0.20,0.32,1.75,1.98,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:30,1.55,0.85,0.17,0.32,1.75,1.90,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:31,1.75,0.82,0.17,0.32,1.75,2.08,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:32,1.85,0.75,0.20,0.30,1.75,2.10,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:33,1.90,0.78,0.23,0.28,1.75,2.17,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:34,1.75,0.80,0.17,0.32,1.75,2.05,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:35,1.75,0.78,0.17,0.28,1.75,2.07,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:36,1.67,0.78,0.17,0.28,1.75,2.00,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:37,1.70,0.82,0.17,0.32,1.75,2.02,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:38,1.77,0.75,0.17,0.28,1.75,2.07,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:39,1.80,0.72,0.17,0.28,1.75,2.07,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:40,1.75,0.75,0.17,0.28,1.75,2.05,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:41,1.70,0.72,0.17,0.28,1.75,1.97,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:42,1.92,0.70,0.17,0.28,1.75,2.17,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:43,2.02,0.68,0.20,0.28,1.75,2.23,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:44,2.15,0.62,0.23,0.28,1.75,2.28,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:45,2.65,0.60,0.23,0.28,1.75,2.75,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:46,2.55,0.62,0.25,0.23,1.75,2.70,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:47,2.45,0.62,0.23,0.25,1.75,2.60,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:48,2.12,0.62,0.20,0.25,1.75,2.30,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:49,1.85,0.72,0.17,0.28,1.75,2.12,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:50,2.10,0.65,0.23,0.28,1.75,2.25,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:51,2.10,0.65,0.23,0.23,1.75,2.30,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:52,1.75,0.68,0.17,0.23,1.75,2.02,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:53,1.77,0.68,0.17,0.23,1.75,2.05,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:54,1.80,0.62,0.17,0.23,1.75,2.02,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:55,1.92,0.57,0.17,0.23,1.75,2.10,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:56,1.90,0.57,0.17,0.23,1.75,2.07,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:57,1.58,0.65,0.17,0.23,1.75,1.83,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:58,1.85,0.57,0.17,0.23,1.75,2.02,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
10:59,1.65,0.65,0.17,0.23,1.75,1.90,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:00,1.60,0.68,0.17,0.23,1.75,1.88,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:01,1.50,0.68,0.17,0.28,1.75,1.72,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:02,1.50,0.65,0.17,0.25,1.75,1.72,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:03,1.75,0.57,0.17,0.23,1.75,1.93,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:04,1.70,0.60,0.17,0.23,1.75,1.90,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:05,1.73,0.57,0.17,0.23,1.75,1.90,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:06,1.83,0.55,0.17,0.23,1.75,1.98,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:07,1.83,0.55,0.20,0.23,1.75,1.95,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:08,1.85,0.53,0.17,0.23,1.75,1.98,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:09,1.90,0.50,0.17,0.20,1.75,2.02,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:10,1.80,0.53,0.17,0.23,1.75,1.93,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:11,2.00,0.53,0.17,0.23,1.75,2.12,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:12,1.95,0.53,0.17,0.23,1.75,2.08,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:13,1.62,0.53,0.17,0.23,1.75,1.75,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:14,1.77,0.53,0.17,0.23,1.75,1.90,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:15,1.95,0.50,0.17,0.20,1.75,2.08,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:16,1.80,0.53,0.17,0.23,1.75,1.93,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:17,1.85,0.47,0.17,0.20,1.75,1.95,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:18,1.90,0.47,0.17,0.20,1.75,2.00,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:19,2.25,0.43,0.20,0.17,1.75,2.30,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:20,2.10,0.47,0.17,0.17,1.75,2.22,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:21,1.80,0.47,0.17,0.17,1.75,1.92,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:22,1.75,0.50,0.17,0.23,1.75,1.85,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:23,1.60,0.53,0.15,0.23,1.75,1.75,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:24,1.35,0.57,0.12,0.23,1.75,1.58,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:25,1.40,0.53,0.12,0.23,1.75,1.57,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:26,1.42,0.53,0.15,0.23,1.75,1.57,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:27,1.23,0.60,0.12,0.23,1.75,1.48,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:28,1.12,0.62,0.12,0.23,1.75,1.40,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:29,1.08,0.62,0.12,0.23,1.75,1.35,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:30,1.10,0.57,0.12,0.23,1.75,1.33,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:31,1.10,0.57,0.12,0.23,1.75,1.33,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:32,1.02,0.57,0.12,0.23,1.75,1.25,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:33,1.02,0.62,0.10,0.23,1.75,1.32,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
11:34,1.05,0.57,0.12,0.17,1.75,1.32,1,tp,11:25,1,tp,11:27,1,tp,11:28,1,tp,11:32,1,tp,11:46,1,tp,11:48,1,tp,11:49,1,tp,11:52,1,tp,12:25
