feature,importance
minutes_since_open,510
daily_prior_range_pct,395
intraday_spx_vs_vwap,368
intraday_range_exhaustion,353
intraday_garman_klass_rv_30m,185
time_cos,166
credit,156
time_sin,146
intraday_spx_vs_sma_7d,139
intraday_spx_ret_30m,121
intraday_ma15_vs_sma_7d,117
intraday_rvol_30m,114
intraday_rvol_vs_daily_5d,113
intraday_spx_vs_sma_180d,102
intraday_pctB,88
intraday_spx_vs_sma_20d,77
gap_pct,68
intraday_spx_vs_sma_50d,65
intraday_iv_25d_put,63
daily_prior_skew_25d_5day_std,59
daily_prior_yield_spread_2y10y_chg_5d,57
prior_day_oi_concentration,56
entry_hour,55
daily_prior_atm_iv_zscore_21day,55
intraday_skew_25d,50
intraday_rvol_vs_daily_20d,50
days_to_next_fomc,50
strat_IC_45d_25w,50
daily_prior_tlt_spx_ratio_chg_5d,49
intraday_ts_slope_0dte_7dte,47
intraday_spx_vs_ma30,47
daily_prior_vix1d_vs_sma_5,46
daily_prior_eem_spx_ratio_chg_5d,46
intraday_ma15_vs_sma_20d,44
intraday_ts_slope_0dte_30dte,43
intraday_orb_containment,43
intraday_atm_put_mid,42
prior_day_total_put_oi,42
intraday_iv_10d_put,42
intraday_skew_10d,41
daily_prior_skew_25d_zscore_21day,40
days_to_next_cpi,40
entry_minute,40
intraday_iv_10d_call,40
daily_prior_wti_crude,39
daily_prior_tlt_ret_20d,38
daily_prior_dxy_chg_5d,38
daily_prior_skew_25d_5day_mean,38
intraday_atm_iv,38
daily_prior_skew_25d_21day_mean,38
open_drive_strength,37
daily_prior_xle_spy_ret_spread_1d,37
daily_prior_xlf_spy_ret_spread_1d,36
intraday_iv_ts_slope_0dte_7dte,36
prior_day_total_call_oi,36
strat_IC_40d_25w,35
daily_prior_yield_2y_chg_5d,35
daily_prior_vix_ratio_sma_10day,34
intraday_iv_smile_curve,34
intraday_orb_range_pct,34
prior_day_pc_oi_ratio,34
intraday_iv_ts_slope_0dte_14dte,33
daily_prior_bb_bandwidth,32
daily_prior_iv_rv_ratio,32
intraday_range_vs_atr,31
daily_prior_gold_chg_5d,31
daily_prior_spx_iwm_ratio_chg_5d,31
daily_prior_vix1d_vs_vix,30
daily_prior_qqq_spx_ratio_chg_20d,29
daily_prior_ts_iv_slope_7dte_14dte,29
days_to_next_gdp,29
daily_prior_yield_10y_chg_63d,29
daily_prior_vvix_zscore_21d,28
prior_day_max_pain_strike,28
daily_prior_yz_hv_10day,28
daily_prior_pc_volume_ratio,28
daily_prior_vix_vxv_zscore_21d,27
daily_prior_hv_iv_ratio_5day,27
intraday_spx_vs_ma15,27
daily_prior_ts_iv_14dte,27
intraday_rvol_15m,27
daily_prior_vix1d_vs_sma_20,27
days_into_quarter,26
daily_prior_dxy_chg_20d,26
daily_prior_rsp_spy_ratio_zscore_21d,26
daily_prior_yield_10y_chg_21d,25
daily_prior_rsi_14day,25
daily_prior_iwm_spy_ret_spread_20d,25
daily_prior_xlk_spy_ret_spread_1d,24
daily_prior_rsp_spy_ratio_20d_chg,24
daily_prior_spx_ret_20d,24
daily_prior_yz_hv_5day,24
daily_prior_gold_trend,24
daily_prior_tlt_spx_ratio_chg_20d,24
daily_prior_oil_chg_5d,24
daily_prior_oil_trend,24
intraday_atm_call_mid,24
daily_prior_open_to_close_pct,23
daily_prior_atm_iv_5day_mean,23
first_30m_return_pct,23
daily_prior_ts_iv_7dte,23
intraday_iv_25d_call,22
daily_prior_yield_2y_chg_21d,22
daily_prior_total_put_volume,22
intraday_max_pain_distance_pts,22
daily_prior_atr_pct,22
daily_prior_hv_iv_ratio_10day,22
daily_prior_tlt_spx_corr_20d,21
daily_prior_vvix_close,21
daily_prior_breadth_thrust_cumulative_5d,21
first_15m_return_pct,21
intraday_ic_credit_50pt,20
strat_IC_05d_25w,20
daily_prior_rv_iv_spread_10d,20
daily_prior_choppiness_14day,20
first_30m_range_pct,19
daily_prior_spx_ret_60d,19
days_to_next_any_econ,19
daily_prior_vol_regime_persistence,19
daily_prior_ts_7dte_atm_mid,19
daily_prior_rv_iv_spread_20d,19
daily_prior_oil_chg_20d,18
daily_prior_tlt_ret_5d,18
day_of_month,18
daily_prior_vix_ratio_sma_20day,17
daily_prior_efficiency_ratio,17
daily_prior_spx_iwm_ratio,17
daily_prior_close_ratio_sma_100day,17
intraday_rvol_10m,17
daily_prior_vix1d_zscore_21d,17
daily_prior_atm_iv_5day_std,17
daily_prior_vvix_vs_vix_ratio,16
daily_prior_spx_iwm_ratio_chg_20d,16
daily_prior_total_call_volume,16
daily_prior_yield_10y,16
daily_prior_eem_spx_ratio_chg_20d,16
daily_prior_yield_spread_2y10y_chg_63d,16
days_to_next_ppi,16
strat_IC_35d_25w,15
daily_prior_vvix_ma20,15
intraday_ic_credit_100pt,15
daily_prior_ts_30dte_atm_mid,15
daily_prior_close_ratio_sma_10day,15
daily_prior_hv_iv_ratio_30day,15
daily_prior_bb_pct_b,14
daily_prior_yield_10y_chg_5d,14
daily_prior_gold_fix_am,14
daily_prior_gold_chg_20d,14
daily_prior_dxy_trend,14
daily_prior_iwm_spx_ratio_chg_5d,14
daily_prior_atm_iv_21day_mean,14
daily_prior_spx_ret_5d,14
daily_prior_close_ratio_sma_5day,14
vix_intraday_running_low,14
daily_prior_qqq_spx_ratio_chg_5d,13
daily_prior_dxy_broad,13
daily_prior_atm_iv_21day_std,13
daily_prior_close_ratio_sma_50day,13
intraday_spx_ret_15m,13
daily_prior_rsp_spy_ratio_5d_chg,12
daily_prior_credit_stress_chg_20d,12
intraday_orb_breakout_dir,12
intraday_spx_ret_10m,12
daily_prior_yield_spread_2y10y,12
intraday_spx_ret_5m,11
days_to_next_nfp,11
daily_prior_yield_2y,11
daily_prior_eem_spx_ratio,11
intraday_ic_credit_150pt,11
daily_prior_dxy_ma20,10
daily_prior_skew_25d_21day_std,10
intraday_max_pain_distance_pct,10
intraday_atm_straddle_mid,9
daily_prior_yz_hv_30day,9
daily_prior_qqq_spx_ratio,9
daily_prior_vix_term_structure_slope,9
daily_prior_vix1d_close,9
daily_prior_vix_vxv_ratio,9
daily_prior_credit_stress,9
daily_prior_ig_spread,9
cycle_month,8
week_of_year,8
is_month_end,8
is_cpi_day,7
daily_prior_yield_spread_2y10y_chg_21d,7
daily_prior_close_ratio_sma_20day,7
daily_prior_yz_hv_20day,7
daily_prior_close_ratio_ema_5day,7
daily_prior_regime_duration,7
spx_intraday_first_bar_open,7
mag7_earnings_count,7
month,6
intraday_rvol_5m,6
daily_prior_regime_prob_highvol,6
daily_prior_close_ratio_sma_200day,5
vix_intraday_running_high,5
daily_prior_macd_hist,5
daily_prior_hy_spread,5
prev_close_gap_reversal,5
daily_prior_yield_2y_chg_63d,5
spx_intraday_atm_strike,5
daily_prior_iv_rank_30d,5
daily_prior_bb_bandwidth_pctile,4
daily_prior_oil_ma20,4
daily_prior_iwm_spx_ratio_chg_20d,3
daily_prior_hv_iv_ratio_20day,3
day_of_week,3
intraday_spx_vs_ma5,3
daily_prior_fed_policy_direction,3
is_nfp_day,3
daily_prior_close_ratio_ema_20day,3
daily_prior_rsp_spy_ratio,3
intraday_ttm_squeeze,2
is_earnings_tsla,2
near_month_end,2
cycle_quarter,1
daily_prior_fed_funds_chg_21d,1
strat_IC_10d_25w,1
intraday_bb_squeeze_duration,1
daily_prior_sector_divergence_count,1
thanksgiving_week,1
strat_IC_30d_25w,1
is_earnings_aapl,1
first_30m_direction,1
is_gdp_day,1
strat_IC_25d_25w,1
strat_IC_20d_25w,0
daily_prior_yield_curve_inverted,0
is_earnings_msft,0
daily_prior_gold_ma20,0
is_earnings_meta,0
is_earnings_googl,0
is_earnings_amzn,0
is_mag7_earnings_day,0
is_earnings_nvda,0
is_ppi_day,0
election_year,0
daily_prior_fed_funds_rate,0
iv_crush_post_fomc,0
first_year,0
daily_prior_sector_divergence_flag,0
christmas_week,0
january_effect,0
midterm_year,0
near_qtr_end,0
opex_day,0
daily_prior_ts_iv_inverted_7dte_14dte,0
opex_week,0
daily_prior_regime_switch,0
strat_IC_15d_25w,0
vix_intraday_prior_min_close,0
daily_prior_regime_state,0
party_dem,0
pre_election_year,0
is_quarter_end,0
q4_rally,0
is_friday,0
is_monday,0
sell_in_may,0
cycle_year,0
triple_witching,0
