feature,importance
daily_prior_range_pct,0.027456412
daily_prior_spx_ret_5d,0.017475514
credit,0.015585438
daily_prior_atm_iv_5day_mean,0.013982834
daily_prior_vix1d_vs_vix,0.011472746
daily_prior_atm_iv_21day_mean,0.011082073
intraday_iv_25d_put,0.010708
intraday_iv_10d_call,0.010545985
daily_prior_qqq_spx_ratio,0.01051232
daily_prior_yield_10y_chg_21d,0.010319019
days_to_next_any_econ,0.010302205
intraday_iv_25d_call,0.010237978
daily_prior_tlt_spx_ratio_chg_5d,0.010164005
intraday_atm_iv,0.010145709
daily_prior_xle_spy_ret_spread_1d,0.010142848
daily_prior_atr_pct,0.009529228
daily_prior_dxy_chg_5d,0.00931256
intraday_atm_call_mid,0.009304886
intraday_orb_containment,0.009297823
daily_prior_atm_iv_zscore_21day,0.009233088
daily_prior_hv_iv_ratio_30day,0.008896919
daily_prior_eem_spx_ratio_chg_5d,0.008821022
intraday_iv_10d_put,0.008763281
intraday_iv_ts_slope_0dte_7dte,0.008729621
spx_intraday_first_bar_open,0.008703554
daily_prior_rsp_spy_ratio_20d_chg,0.00867959
daily_prior_yield_2y_chg_5d,0.008677092
daily_prior_total_call_volume,0.008641769
daily_prior_hv_iv_ratio_10day,0.008576806
intraday_iv_ts_slope_0dte_14dte,0.008523914
daily_prior_qqq_spx_ratio_chg_5d,0.008451133
daily_prior_ts_iv_14dte,0.008436234
intraday_ic_credit_100pt,0.008428132
daily_prior_close_ratio_sma_100day,0.008405181
daily_prior_rsp_spy_ratio,0.008275752
daily_prior_yield_10y_chg_63d,0.008234978
daily_prior_vix1d_vs_sma_20,0.008219336
daily_prior_vvix_vs_vix_ratio,0.008163473
intraday_range_exhaustion,0.00810317
minutes_since_open,0.008081693
daily_prior_wti_crude,0.007903964
daily_prior_close_ratio_sma_50day,0.007898207
daily_prior_vvix_ma20,0.007847444
daily_prior_ts_iv_slope_7dte_14dte,0.007763108
daily_prior_spx_iwm_ratio_chg_5d,0.0076656695
daily_prior_yz_hv_10day,0.0076330504
daily_prior_vix1d_vs_sma_5,0.0074496246
daily_prior_rsp_spy_ratio_zscore_21d,0.0073396056
daily_prior_iv_rank_30d,0.007326702
daily_prior_ig_spread,0.007219147
intraday_spx_vs_vwap,0.007209007
daily_prior_total_put_volume,0.007172042
entry_hour,0.0071394388
intraday_orb_range_pct,0.0071360436
first_30m_range_pct,0.0070391307
daily_prior_close_ratio_sma_200day,0.0069653713
daily_prior_xlf_spy_ret_spread_1d,0.006913221
daily_prior_dxy_ma20,0.006807333
daily_prior_gold_chg_5d,0.0067930305
daily_prior_oil_chg_20d,0.0067928014
daily_prior_ts_iv_7dte,0.0067642783
daily_prior_yield_spread_2y10y_chg_5d,0.0067564542
daily_prior_xlk_spy_ret_spread_1d,0.006677728
days_to_next_gdp,0.0066179936
daily_prior_breadth_thrust_cumulative_5d,0.006607409
daily_prior_vix_vxv_zscore_21d,0.006604908
intraday_max_pain_distance_pct,0.006542073
daily_prior_skew_25d_5day_std,0.0064892354
daily_prior_yield_2y_chg_63d,0.0063026077
daily_prior_iwm_spx_ratio_chg_5d,0.0062891403
strat_IC_05d_25w,0.0062614116
daily_prior_dxy_trend,0.006164334
daily_prior_open_to_close_pct,0.006129132
prev_close_gap_reversal,0.006121658
daily_prior_tlt_ret_5d,0.0060721934
prior_day_total_call_oi,0.0059359223
daily_prior_gold_chg_20d,0.0059203813
time_sin,0.0059126527
prior_day_pc_oi_ratio,0.005869157
daily_prior_vvix_zscore_21d,0.0058650863
