feature,importance
minutes_since_open,533
range_exhaustion,448
spx_vs_vwap,396
intraday_range_pct,343
credit,229
garman_klass_rv_30m,226
time_cos,202
time_sin,189
intraday_ma15_vs_sma_7d,186
spx_vs_sma_7d,181
spx_vs_sma_180d,143
total_call_volume,140
spx_ret_30m,139
total_put_volume,126
rvol_intraday_vs_5d,122
open_to_close_pct,101
intraday_pctB,101
rvol_30m,100
spx_vs_sma_50d,95
entry_hour,81
put_wall_distance,80
atm_call_close,78
intraday_ma15_vs_sma_20d,72
pc_volume_ratio,70
vanna_charm_ratio,68
spx_iwm_ratio_chg_5d,67
xlf_spy_ret_spread_1d,61
call_wall_distance,60
gap_pct,60
vix_vs_sma_10,58
ts_slope_0_7,57
skew_25d,57
gold_chg_5d,56
atm_call_open,56
atm_iv,56
iv_25d_put,55
net_vanna_normalized,53
orb_breakout_dir,52
rvol_intraday_vs_20d,50
orb_range_pct,49
spx_vs_sma_20d,49
skew_25d_5d_std,48
pc_oi_ratio,48
iv_10d_call,47
xlk_spy_ret_spread_1d,47
ts_slope_0_30,47
atm_put_close,46
max_pain_distance_pts,46
iv_ts_slope_0_14,45
first_15m_return_pct,45
oil_chg_5d,44
oi_concentration,43
atm_put_open,42
zero_gamma_level,40
vvix_zscore_21d,40
vix1d_vs_sma_20,40
orb_containment,39
gold_chg_20d,39
iv_ts_slope_0_7,39
first_30m_return_pct,39
atm_iv_zscore_21d,38
vol_regime_persistence,36
days_to_next_fomc,36
breadth_thrust_cumulative_5d,36
rv_iv_spread_20d,36
ic_credit_100,35
net_vanna_exposure,35
vix_vxv_zscore_21d,35
iv_rv_ratio,35
hv_iv_ratio_10d,34
skew_25d_5d_mean,34
xle_spy_ret_spread_1d,34
close_vs_sma_5,34
vix1d_vs_vix,33
open_drive_strength,33
vix1d_close,33
hv_iv_ratio_5d,33
choppiness_14,32
iv_smile_curve,32
strat_IC_45d_25w,32
rsi_14,31
atm_iv_5d_std,31
day_of_month,31
vix1d_zscore_21d,30
iwm_spx_ratio_chg_5d,30
iv_10d_put,30
skew_25d_zscore_21d,30
vix1d_vs_sma_5,30
iv_25d_call,29
entry_minute,29
credit_stress_chg_20d,29
total_put_oi,29
rsp_spy_ratio_5d_chg,28
total_call_oi,28
yield_spread_2y10y_chg_5d,28
close_vs_sma_100,28
yield_2y_chg_63d,28
tlt_spx_ratio_chg_5d,28
spx_vs_intraday_ma30,28
gold_trend,27
close_vs_sma_50,27
skew_25d_21d_mean,27
oil_trend,27
call_wall,26
put_wall,26
spx_ret_60d,25
spx_vs_intraday_ma5,25
ts_7dte_atm_mid,25
oil_chg_20d,25
max_pain_distance_pct,25
vix_vs_sma_20,25
efficiency_ratio,25
strat_IC_40d_25w,25
gex_regime_prob_trans,25
rsp_spy_ratio_20d_chg,25
vvix_close,24
net_charm_exposure,24
skew_25d_21d_std,24
tlt_ret_20d,24
intraday_range_vs_atr,24
spx_ret_15m,24
dxy_trend,24
yield_10y_chg_5d,24
strat_IC_05d_25w,24
regime_prob_highvol,24
close_vs_sma_10,23
regime_duration,23
spx_ret_20d,23
rsp_spy_ratio_zscore_21d,23
yield_10y_chg_63d,23
yield_2y,23
net_charm_normalized,23
net_gex,23
gex_imbalance,23
yield_spread_2y10y,22
close_vs_sma_20,22
atm_iv_5d_mean,22
rvol_15m,22
ts_slope_7_14,22
yz_hv_10d,22
eem_spx_ratio_chg_5d,22
skew_10d,21
qqq_spx_ratio_chg_20d,21
days_to_next_cpi,21
atr_pct,21
vix_term_structure_slope,20
iwm_spy_ret_spread_20d,20
dxy_broad,20
vix_open,20
max_pain_strike,19
days_into_quarter,19
ic_credit_50,19
macd_hist,19
qqq_spx_ratio_chg_5d,19
gex_regime_prob_pos,19
dxy_ma20,19
close_vs_sma_200,19
hv_iv_ratio_20d,18
iv_rank_30d,18
gex_regime_duration,18
atm_iv_21d_mean,18
rvol_10m,18
ts_30dte_atm_mid,18
qqq_spx_ratio,18
bb_pct_b,18
yield_10y_chg_21d,18
yield_spread_2y10y_chg_21d,18
yz_hv_5d,17
days_to_next_nfp,17
atm_iv_21d_std,17
tlt_spx_corr_20d,17
ts_iv_7dte,17
vix_vxv_ratio,16
dxy_chg_5d,16
ts_0dte_atm_mid,16
days_to_next_ppi,16
ts_iv_14dte,16
eem_spx_ratio,16
rv_iv_spread_10d,16
vvix_vs_vix_ratio,16
atm_straddle_open,15
yield_10y,15
eem_spx_ratio_chg_20d,15
yield_2y_chg_21d,15
vvix_ma20,15
vix_high,14
wti_crude,14
bb_bandwidth,14
gold_fix_am,14
gex_regime_prob_neg,14
spx_open,13
ic_credit_150,13
first_30m_range_pct,13
days_to_next_gdp,13
tlt_ret_5d,13
spx_ret_5d,13
oil_ma20,13
yield_2y_chg_5d,12
close_vs_ema_5,12
spx_ret_10m,11
yz_hv_20d,11
dxy_chg_20d,11
vanna_imbalance,11
credit_stress,11
bb_bandwidth_pctile,10
prev_close_gap_reversal,10
rsp_spy_ratio,10
ig_spread,10
days_to_next_any_econ,10
strat_IC_35d_25w,10
day_of_week,10
hv_iv_ratio_30d,8
spx_iwm_ratio_chg_20d,8
vix_low,8
close_vs_ema_20,8
yield_spread_2y10y_chg_63d,8
is_month_end,8
mag7_earnings_count,8
atm_strike,7
tlt_spx_ratio_chg_20d,7
spx_vs_intraday_ma15,7
charm_imbalance,6
spx_iwm_ratio,5
is_earnings_tsla,5
rvol_5m,5
gex_regime_switch,5
iwm_spx_ratio_chg_20d,4
sector_divergence_count,4
cycle_month,4
hy_spread,4
vix_close,4
yz_hv_30d,4
spx_ret_5m,3
week_of_year,3
is_gdp_day,3
is_nfp_day,2
gold_ma20,2
sector_divergence_flag,2
month,2
is_ppi_day,2
ts_inverted_7_14,2
iv_crush_post_fomc,2
near_month_end,2
regime_switch,1
bb_squeeze_duration,1
fed_funds_chg_21d,1
fed_funds_rate,1
cycle_quarter,1
first_30m_direction,1
is_cpi_day,1
strat_IC_10d_25w,0
strat_IC_15d_25w,0
strat_IC_25d_25w,0
is_quarter_end,0
strat_IC_30d_25w,0
ttm_squeeze,0
strat_IC_20d_25w,0
yield_curve_inverted,0
regime_state,0
is_mag7_earnings_day,0
christmas_week,0
cycle_year,0
is_friday,0
election_year,0
first_year,0
january_effect,0
midterm_year,0
near_qtr_end,0
opex_day,0
opex_week,0
party_dem,0
pre_election_year,0
q4_rally,0
sell_in_may,0
thanksgiving_week,0
triple_witching,0
is_earnings_nvda,0
is_earnings_msft,0
is_earnings_meta,0
is_earnings_googl,0
fed_policy_direction,0
is_earnings_amzn,0
is_earnings_aapl,0
is_monday,0
