day,strategy,tp_level,entry_time,exit_time,exit_reason,credit,exit_debit,exit_slip,fees,pnl_per_share,qty,pnl_total,portfolio_after
2025-09-26,IC_30d_25w,tp35,2025-09-26 10:00:00,2025-09-26 12:26:00,tp,8.025,5.2,0.0,0.052,2.773,4,1109.2,11109.2
2025-09-26,IC_30d_25w,tp45,2025-09-26 12:26:00,2025-09-26 13:48:00,tp,6.65,3.625,0.0,0.052,2.9730000000000003,4,1189.2,12298.400000000001
2025-09-26,IC_30d_25w,tp45,2025-09-26 13:48:00,2025-09-26 15:00:00,close_win,4.975,4.225,0.0,0.052,0.698,4,279.2,12577.600000000002
2025-09-29,IC_30d_25w,tp30,2025-09-29 10:00:00,2025-09-29 12:15:00,tp,7.475,5.1,0.0,0.052,2.323,5,1161.5,13739.100000000002
2025-09-29,IC_10d_25w,tp30,2025-09-29 12:15:00,2025-09-29 13:48:00,tp,1.075,0.725,0.0,0.052,0.298,5,149.0,13888.100000000002
2025-09-29,IC_10d_25w,tp30,2025-09-29 13:48:00,2025-09-29 14:20:00,tp,1.075,0.75,0.0,0.052,0.27299999999999996,5,136.5,14024.600000000002
2025-09-30,IC_10d_25w,tp15,2025-09-30 10:00:00,2025-09-30 10:16:00,tp,2.125,1.725,0.0,0.052,0.3479999999999999,5,173.99999999999994,14198.600000000002
2025-09-30,IC_10d_25w,tp15,2025-09-30 10:16:00,2025-09-30 10:45:00,tp,2.125,1.75,0.0,0.052,0.323,5,161.50000000000003,14360.100000000002
2025-09-30,IC_10d_25w,tp15,2025-09-30 10:45:00,2025-09-30 11:23:00,tp,1.775,1.5,0.0,0.052,0.22299999999999992,5,111.49999999999997,14471.600000000002
2025-09-30,IC_10d_25w,tp15,2025-09-30 11:27:00,2025-09-30 12:14:00,tp,1.9,1.6,0.0,0.052,0.24799999999999983,5,123.99999999999991,14595.600000000002
2025-09-30,IC_10d_25w,tp15,2025-09-30 12:14:00,2025-09-30 12:58:00,tp,1.5,1.275,0.0,0.052,0.1730000000000001,5,86.50000000000006,14682.100000000002
2025-09-30,IC_30d_25w,tp50,2025-09-30 14:44:00,2025-09-30 15:00:00,close_win,6.45,5.55,0.0,0.052,0.8480000000000003,5,424.0000000000001,15106.100000000002
2025-10-01,IC_10d_25w,tp35,2025-10-01 10:00:00,2025-10-01 11:37:00,sl,1.9,3.875,0.0,0.052,-2.027,6,-1216.2,13889.900000000001
2025-10-02,IC_30d_25w,tp35,2025-10-02 10:00:00,2025-10-02 12:53:00,tp,7.6,4.525,0.0,0.052,3.0229999999999992,5,1511.4999999999995,15401.400000000001
2025-10-02,IC_10d_25w,tp15,2025-10-02 12:53:00,2025-10-02 13:02:00,tp,1.3,1.025,0.0,0.052,0.22300000000000014,6,133.8000000000001,15535.2
2025-10-02,IC_10d_25w,tp15,2025-10-02 13:02:00,2025-10-02 13:27:00,tp,1.025,0.8,0.0,0.052,0.17299999999999988,6,103.79999999999993,15639.0
2025-10-02,IC_10d_25w,tp10,2025-10-02 13:27:00,2025-10-02 13:31:00,tp,0.95,0.85,0.0,0.052,0.04799999999999998,6,28.79999999999999,15667.8
2025-10-02,IC_10d_25w,tp10,2025-10-02 13:31:00,2025-10-02 13:47:00,tp,0.85,0.75,0.0,0.052,0.04799999999999998,6,28.79999999999999,15696.599999999999
2025-10-02,IC_10d_25w,tp10,2025-10-02 13:47:00,2025-10-02 14:02:00,tp,0.9,0.8,0.0,0.052,0.04799999999999998,6,28.79999999999999,15725.399999999998
2025-10-02,IC_10d_25w,tp10,2025-10-02 14:02:00,2025-10-02 14:48:00,tp,1.0,0.875,0.0,0.052,0.07300000000000001,6,43.800000000000004,15769.199999999997
2025-10-06,IC_30d_25w,tp35,2025-10-06 10:00:00,2025-10-06 14:33:00,sl,6.775,13.85,0.0,0.052,-7.126999999999999,6,-4276.2,11492.999999999996
2025-10-07,IC_15d_25w,tp35,2025-10-07 10:00:00,2025-10-07 11:07:00,sl,2.95,7.35,0.0,0.052,-4.451999999999999,4,-1780.7999999999997,9712.199999999997
2025-10-08,IC_30d_25w,tp35,2025-10-08 10:00:00,2025-10-08 12:18:00,sl,7.45,14.925,0.0,0.052,-7.527,3,-2258.1000000000004,7454.099999999997
2025-10-10,IC_10d_25w,tp30,2025-10-10 10:59:00,2025-10-10 11:01:00,sl,2.225,5.05,0.0,0.052,-2.877,2,-575.4,6878.699999999997
2025-10-13,IC_30d_25w,tp35,2025-10-13 10:00:00,2025-10-13 11:49:00,tp,9.6,6.2,0.0,0.052,3.3479999999999994,2,669.5999999999999,7548.299999999997
2025-10-13,IC_30d_25w,tp35,2025-10-13 11:49:00,2025-10-13 13:33:00,tp,7.975,5.175,0.0,0.052,2.7479999999999998,3,824.3999999999999,8372.699999999997
2025-10-13,IC_30d_25w,tp35,2025-10-13 13:33:00,2025-10-13 14:05:00,tp,6.4,4.15,0.0,0.052,2.198,3,659.4,9032.099999999997
2025-10-13,IC_30d_25w,tp35,2025-10-13 14:05:00,2025-10-13 15:00:00,close_loss,4.85,6.825,0.0,0.052,-2.0270000000000006,3,-608.1000000000001,8423.999999999996
2025-10-15,IC_10d_25w,tp15,2025-10-15 10:00:00,2025-10-15 10:34:00,tp,2.1,1.7,0.0,0.052,0.34800000000000014,3,104.40000000000003,8528.399999999996
2025-10-15,IC_10d_25w,tp35,2025-10-15 10:34:00,2025-10-15 11:09:00,tp,2.05,1.325,0.0,0.052,0.6729999999999998,3,201.89999999999995,8730.299999999996
2025-10-15,IC_10d_25w,tp25,2025-10-15 11:35:00,2025-10-15 12:28:00,tp,2.3,1.65,0.0,0.052,0.5979999999999999,3,179.39999999999995,8909.699999999995
2025-10-15,IC_10d_25w,tp50,2025-10-15 12:29:00,2025-10-15 13:01:00,sl,2.05,4.375,0.0,0.052,-2.3770000000000002,3,-713.1,8196.599999999995
2025-10-16,IC_10d_25w,tp15,2025-10-16 10:44:00,2025-10-16 10:55:00,tp,2.375,2.0,0.0,0.052,0.323,3,96.9,8293.499999999995
2025-10-16,IC_10d_25w,tp30,2025-10-16 12:02:00,2025-10-16 12:47:00,sl,2.625,5.425,0.0,0.052,-2.852,3,-855.5999999999999,7437.899999999994
2025-10-17,IC_10d_25w,tp35,2025-10-17 10:00:00,2025-10-17 11:09:00,tp,3.6,2.325,0.0,0.052,1.2229999999999999,2,244.59999999999997,7682.4999999999945
2025-10-17,IC_10d_25w,tp35,2025-10-17 11:09:00,2025-10-17 12:00:00,tp,3.05,1.975,0.0,0.052,1.0229999999999997,3,306.8999999999999,7989.399999999994
2025-10-17,IC_10d_25w,tp35,2025-10-17 12:00:00,2025-10-17 12:46:00,tp,2.825,1.7,0.0,0.052,1.0730000000000002,3,321.90000000000003,8311.299999999994
2025-10-17,IC_10d_25w,tp35,2025-10-17 12:46:00,2025-10-17 13:28:00,tp,2.325,1.475,0.0,0.052,0.798,3,239.40000000000003,8550.699999999993
2025-10-17,IC_10d_25w,tp35,2025-10-17 13:28:00,2025-10-17 14:21:00,sl,2.4,5.825,0.0,0.052,-3.4770000000000003,3,-1043.1000000000001,7507.599999999993
2025-10-20,IC_15d_25w,tp35,2025-10-20 10:00:00,2025-10-20 10:56:00,sl,3.275,6.925,0.0,0.052,-3.702,3,-1110.6,6396.999999999993
2025-10-21,IC_30d_25w,tp30,2025-10-21 10:00:00,2025-10-21 13:01:00,tp,7.75,5.175,0.0,0.052,2.523,2,504.6,6901.599999999993
2025-10-21,IC_30d_25w,tp30,2025-10-21 13:01:00,2025-10-21 13:36:00,tp,6.6,4.55,0.0,0.052,1.9979999999999998,2,399.59999999999997,7301.199999999993
2025-10-21,IC_30d_25w,tp45,2025-10-21 13:36:00,2025-10-21 14:54:00,tp,4.55,2.5,0.0,0.052,1.9979999999999998,2,399.59999999999997,7700.799999999994
2025-10-21,IC_10d_25w,tp50,2025-10-21 14:54:00,2025-10-21 15:00:00,close_win,0.7,0.6,0.0,0.052,0.04799999999999998,3,14.399999999999995,7715.199999999993
2025-10-23,IC_15d_25w,tp35,2025-10-23 10:00:00,2025-10-23 11:09:00,tp,3.075,1.975,0.0,0.052,1.048,3,314.40000000000003,8029.599999999993
2025-10-23,IC_10d_25w,tp35,2025-10-23 11:09:00,2025-10-23 11:59:00,tp,1.85,1.2,0.0,0.052,0.5980000000000001,3,179.40000000000003,8208.999999999993
2025-10-23,IC_10d_25w,tp35,2025-10-23 11:59:00,2025-10-23 13:06:00,tp,1.925,1.25,0.0,0.052,0.623,3,186.89999999999998,8395.899999999992
2025-10-23,IC_10d_25w,tp35,2025-10-23 13:06:00,2025-10-23 15:00:00,close_loss,1.05,1.15,0.0,0.052,-0.15199999999999986,3,-45.59999999999995,8350.299999999992
2025-10-24,IC_30d_25w,tp35,2025-10-24 10:00:00,2025-10-24 12:26:00,tp,7.175,4.525,0.0,0.052,2.5979999999999994,3,779.3999999999999,9129.699999999992
2025-10-24,IC_20d_25w,tp30,2025-10-24 12:26:00,2025-10-24 13:01:00,tp,3.3,2.2,0.0,0.052,1.0479999999999996,3,314.39999999999986,9444.099999999991
2025-10-24,IC_30d_25w,tp50,2025-10-24 13:01:00,2025-10-24 14:22:00,tp,4.325,2.075,0.0,0.052,2.198,3,659.4,10103.49999999999
2025-10-24,IC_10d_25w,tp50,2025-10-24 14:22:00,2025-10-24 15:00:00,close_win,0.9,0.475,0.0,0.052,0.37300000000000005,4,149.20000000000002,10252.699999999992
2025-10-27,IC_30d_25w,tp35,2025-10-27 10:00:00,2025-10-27 11:15:00,tp,6.125,3.925,0.0,0.052,2.148,4,859.2,11111.899999999992
2025-10-27,IC_30d_25w,tp35,2025-10-27 11:15:00,2025-10-27 13:22:00,tp,5.35,3.35,0.0,0.052,1.9479999999999995,4,779.1999999999998,11891.099999999991
