strategy,exit_slip,skip_rate,optimization,total_return_pct,max_drawdown_pct,sharpe,win_rate,n_trades,n_shadow,trades_per_day,final_portfolio,avg_pnl
1,0.0,0.1,joint,97.89,20.31,3.81,78.5,79,164,0.75,19789.2,123.91
1,0.0,0.11,joint,91.96,21.26,3.4,78.8,80,163,0.75,19196.5,114.96
1,0.0,0.12,joint,102.02,19.69,4.06,79.5,78,163,0.74,20201.9,130.79
1,0.0,0.13,joint,101.6,19.76,4.03,79.2,77,165,0.73,20159.6,131.94
1,0.0,0.14,joint,97.97,19.76,3.9,79.5,78,162,0.74,19796.9,125.6
1,0.0,0.15,joint,97.46,19.75,3.88,77.5,80,158,0.75,19746.5,121.83
1,0.0,0.16,joint,97.81,19.75,3.89,78.8,80,158,0.75,19781.5,122.27
1,0.0,0.17,joint,102.34,19.61,4.05,81.2,80,157,0.75,20234.0,127.93
1,0.0,0.18,joint,100.46,19.48,4.01,80.2,81,159,0.76,20046.3,124.03
1,0.0,0.19,joint,105.01,19.45,4.16,82.5,80,151,0.75,20501.5,131.27
1,0.0,0.2,joint,103.26,19.4,4.02,81.9,83,147,0.78,20325.9,124.41
1,0.0,0.21,joint,107.56,19.45,4.23,81.5,81,147,0.76,20756.3,132.79
1,0.0,0.22,joint,104.01,19.47,4.1,80.5,82,149,0.77,20401.1,126.84
1,0.0,0.23,joint,101.26,19.44,4.03,79.5,83,148,0.78,20125.9,122.0
1,0.0,0.24,joint,100.93,19.43,4.01,79.5,83,146,0.78,20093.4,121.61
1,0.0,0.25,joint,99.83,19.23,3.99,79.8,84,145,0.79,19983.2,118.85
1,0.0,0.26,joint,95.35,19.23,3.77,78.8,85,142,0.8,19535.5,112.18
1,0.0,0.27,joint,107.33,19.09,4.26,81.0,84,144,0.79,20733.2,127.78
1,0.0,0.28,joint,102.58,19.09,4.05,78.6,84,143,0.79,20258.2,122.12
1,0.0,0.29,joint,109.56,19.09,4.33,80.7,83,144,0.78,20955.9,132.0
1,0.0,0.3,joint,115.18,19.09,4.47,84.7,85,143,0.8,21518.0,135.51
1,0.0,0.31,joint,112.58,19.09,4.41,81.6,87,140,0.82,21257.6,129.4
1,0.0,0.32,joint,106.73,19.09,4.1,81.4,86,135,0.81,20672.8,124.1
1,0.0,0.33,joint,104.97,19.69,4.04,79.8,89,133,0.84,20497.2,117.95
1,0.0,0.34,joint,101.04,19.86,3.82,78.0,91,137,0.86,20104.3,111.04
1,0.0,0.35,joint,100.97,19.42,3.92,78.3,92,139,0.87,20096.6,109.75
1,0.0,0.36,joint,99.81,22.38,3.49,80.2,96,137,0.91,19980.8,103.97
1,0.0,0.37,joint,108.03,19.4,4.1,78.8,99,130,0.93,20802.7,109.12
1,0.0,0.38,joint,101.21,23.57,3.8,78.1,96,127,0.91,20120.8,105.42
1,0.0,0.39,joint,101.21,24.91,3.49,78.9,95,125,0.9,20121.0,106.54
1,0.0,0.4,joint,93.01,28.84,3.31,78.4,97,125,0.92,19300.6,95.88
1,0.05,0.1,joint,93.94,21.12,3.68,77.2,79,164,0.75,19394.2,118.91
1,0.05,0.11,joint,87.96,22.12,3.28,77.5,80,163,0.75,18796.5,109.96
1,0.05,0.12,joint,98.12,20.47,3.93,78.2,78,163,0.74,19811.9,125.79
1,0.05,0.13,joint,97.75,20.52,3.91,77.9,77,165,0.73,19774.6,126.94
1,0.05,0.14,joint,94.07,20.52,3.78,78.2,78,162,0.74,19406.9,120.6
1,0.05,0.15,joint,93.46,20.51,3.75,76.2,80,158,0.75,19346.5,116.83
1,0.05,0.16,joint,93.81,20.5,3.76,77.5,80,158,0.75,19381.5,117.27
1,0.05,0.17,joint,98.34,20.38,3.92,80.0,80,157,0.75,19834.0,122.93
1,0.05,0.18,joint,96.41,20.23,3.88,79.0,81,159,0.76,19641.3,119.03
1,0.05,0.19,joint,101.01,20.21,4.04,82.5,80,151,0.75,20101.5,126.27
