Time,SC,SP,LC,LP,Credit,IC_Debit,TP10,TP10_reason,TP10_exit_time,TP15,TP15_reason,TP15_exit_time,TP20,TP20_reason,TP20_exit_time,TP25,TP25_reason,TP25_exit_time,TP30,TP30_reason,TP30_exit_time,TP35,TP35_reason,TP35_exit_time,TP40,TP40_reason,TP40_exit_time,TP45,TP45_reason,TP45_exit_time,TP50,TP50_reason,TP50_exit_time
10:00,1.02,1.12,0.12,0.28,1.75,1.75,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:01,1.05,1.17,0.12,0.28,1.75,1.82,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:02,0.97,1.27,0.12,0.28,1.75,1.85,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:03,0.93,1.45,0.12,0.30,1.75,1.95,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:04,0.93,1.70,0.12,0.32,1.75,2.17,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:05,0.95,2.48,0.12,0.47,1.75,2.82,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:06,0.97,1.55,0.12,0.28,1.75,2.12,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:07,0.93,1.65,0.12,0.28,1.75,2.18,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:08,0.97,1.65,0.12,0.28,1.75,2.23,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:09,1.00,1.75,0.12,0.32,1.75,2.30,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:10,1.02,1.55,0.12,0.28,1.75,2.18,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:11,0.93,1.70,0.12,0.30,1.75,2.20,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:12,0.90,2.00,0.12,0.35,1.75,2.42,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:13,0.93,1.85,0.12,0.32,1.75,2.33,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:14,0.97,1.67,0.12,0.30,1.75,2.23,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:15,0.88,1.88,0.12,0.32,1.75,2.30,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:16,0.93,1.75,0.12,0.30,1.75,2.25,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:17,0.97,1.65,0.12,0.28,1.75,2.23,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:18,0.95,1.70,0.12,0.30,1.75,2.23,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:19,0.85,1.77,0.12,0.30,1.75,2.20,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:20,0.85,1.73,0.12,0.30,1.75,2.15,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:21,0.88,1.62,0.12,0.28,1.75,2.10,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:22,0.93,1.48,0.12,0.25,1.75,2.03,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:23,0.82,1.60,0.12,0.28,1.75,2.02,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:24,0.82,1.52,0.12,0.25,1.75,1.97,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:25,0.72,1.67,0.10,0.28,1.75,2.02,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:26,0.55,2.73,0.08,0.43,1.75,2.78,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:27,0.43,3.05,0.08,0.47,1.75,2.92,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:28,0.43,2.75,0.08,0.43,1.75,2.67,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:29,0.38,3.35,0.08,0.53,1.75,3.12,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:30,0.35,2.85,0.08,0.43,1.75,2.70,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:31,0.32,4.70,0.08,0.80,1.75,4.15,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:32,0.32,3.95,0.08,0.62,1.75,3.58,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:33,0.32,3.85,0.08,0.57,1.75,3.52,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:34,0.32,3.50,0.08,0.50,1.75,3.25,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:35,0.32,4.05,0.08,0.60,1.75,3.70,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:36,0.32,3.85,0.08,0.55,1.75,3.55,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:37,0.32,3.30,0.08,0.47,1.75,3.08,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:38,0.32,3.20,0.08,0.45,1.75,3.00,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:39,0.32,3.35,0.08,0.47,1.75,3.12,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:40,0.32,3.15,0.08,0.43,1.75,2.98,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:41,0.35,2.77,0.08,0.38,1.75,2.67,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:42,0.35,2.67,0.08,0.38,1.75,2.57,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:43,0.35,2.23,0.08,0.28,1.75,2.23,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:44,0.35,2.42,0.08,0.32,1.75,2.38,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:45,0.35,2.15,0.08,0.28,1.75,2.15,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:46,0.38,2.17,0.08,0.28,1.75,2.20,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:47,0.32,2.40,0.08,0.32,1.75,2.33,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:48,0.32,2.58,0.08,0.32,1.75,2.50,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:49,0.32,2.48,0.08,0.32,1.75,2.40,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:50,0.28,2.77,0.08,0.38,1.75,2.60,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:51,0.28,3.35,0.08,0.40,1.75,3.15,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:52,0.28,2.50,0.08,0.30,1.75,2.40,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:53,0.30,2.48,0.08,0.30,1.75,2.40,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:54,0.28,3.15,0.08,0.40,1.75,2.95,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:55,0.28,2.85,0.08,0.35,1.75,2.70,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:56,0.23,3.20,0.08,0.40,1.75,2.95,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:57,0.28,2.85,0.08,0.35,1.75,2.70,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:58,0.28,2.70,0.08,0.32,1.75,2.58,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
10:59,0.28,2.83,0.08,0.35,1.75,2.68,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:00,0.28,2.80,0.08,0.35,1.75,2.65,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:01,0.30,2.12,0.08,0.28,1.75,2.07,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:02,0.28,2.35,0.08,0.28,1.75,2.27,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:03,0.30,2.15,0.08,0.28,1.75,2.10,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:04,0.28,2.40,0.08,0.28,1.75,2.33,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:05,0.28,2.58,0.08,0.32,1.75,2.45,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:06,0.28,2.25,0.08,0.28,1.75,2.17,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:07,0.30,2.05,0.08,0.28,1.75,2.00,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:08,0.28,2.42,0.08,0.30,1.75,2.32,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:09,0.23,2.92,0.08,0.35,1.75,2.73,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:10,0.25,2.65,0.08,0.32,1.75,2.50,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:11,0.23,3.20,0.08,0.38,1.75,2.98,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:12,0.25,2.17,0.05,0.28,1.75,2.10,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:13,0.25,2.50,0.03,0.30,1.75,2.42,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:14,0.25,2.52,0.03,0.28,1.75,2.47,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:15,0.23,2.65,0.05,0.30,1.75,2.53,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:16,0.23,2.88,0.03,0.32,1.75,2.75,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:17,0.23,2.52,0.03,0.28,1.75,2.45,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:18,0.28,2.27,0.03,0.28,1.75,2.25,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:19,0.23,2.75,0.03,0.28,1.75,2.67,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:20,0.23,2.60,0.03,0.28,1.75,2.52,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:21,0.23,2.70,0.03,0.28,1.75,2.62,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:22,0.23,2.75,0.03,0.30,1.75,2.65,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:23,0.23,3.10,0.03,0.32,1.75,2.98,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:24,0.20,2.92,0.03,0.32,1.75,2.77,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:25,0.17,3.15,0.03,0.35,1.75,2.95,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:26,0.20,2.80,0.03,0.30,1.75,2.67,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:27,0.20,2.85,0.03,0.30,1.75,2.72,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:28,0.23,2.38,0.03,0.25,1.75,2.33,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:29,0.23,2.45,0.08,0.28,1.75,2.33,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:30,0.23,2.05,0.03,0.25,1.75,2.00,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:31,0.23,1.88,0.08,0.23,1.75,1.80,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:32,0.25,1.70,0.05,0.17,1.75,1.73,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:33,0.25,1.73,0.05,0.20,1.75,1.73,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:34,0.25,1.65,0.05,0.20,1.75,1.65,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:35,0.23,1.83,0.08,0.23,1.75,1.75,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
11:36,0.28,1.65,0.08,0.17,1.75,1.67,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31,0,sl,10:31
