feature,importance
cycle_year,0.020134728
daily_prior_range_pct,0.01664739
daily_prior_vix1d_vs_sma_20,0.011394768
q4_rally,0.011031661
cycle_quarter,0.0091334265
strat_IC_45d_25w,0.008585905
intraday_iv_25d_call,0.008144692
daily_prior_spx_ret_5d,0.008134742
daily_prior_hv_iv_ratio_30day,0.00811539
credit,0.007982143
intraday_iv_25d_put,0.007613595
daily_prior_vvix_vs_vix_ratio,0.0074949847
daily_prior_bb_bandwidth_pctile,0.0073425574
daily_prior_vix_term_structure_slope,0.007302833
daily_prior_vix_vxv_zscore_21d,0.0070468946
daily_prior_vix1d_close,0.0068916786
daily_prior_vix1d_vs_sma_5,0.006767781
daily_prior_tlt_spx_ratio_chg_5d,0.006690557
daily_prior_close_ratio_sma_200day,0.0066809296
strat_IC_40d_25w,0.0066584917
intraday_iv_10d_put,0.006432316
daily_prior_dxy_chg_5d,0.006421612
daily_prior_hy_spread,0.006412977
intraday_ic_credit_100pt,0.00638897
daily_prior_vix1d_vs_vix,0.006357533
daily_prior_atm_iv_zscore_21day,0.006265734
daily_prior_yz_hv_10day,0.0062481384
daily_prior_total_call_volume,0.0062221237
days_to_next_any_econ,0.006165046
daily_prior_atm_iv_5day_mean,0.00604863
prior_day_pc_oi_ratio,0.006030047
daily_prior_yield_spread_2y10y_chg_63d,0.0060104383
daily_prior_dxy_chg_20d,0.005945072
entry_hour,0.005855926
intraday_atm_iv,0.005801014
daily_prior_close_ratio_sma_100day,0.00578446
daily_prior_vix1d_zscore_21d,0.005776926
daily_prior_yz_hv_20day,0.0057183416
daily_prior_yield_10y,0.0056318473
daily_prior_spx_iwm_ratio_chg_5d,0.0055721826
daily_prior_xlf_spy_ret_spread_1d,0.005465604
intraday_orb_containment,0.005442745
daily_prior_ts_iv_7dte,0.0054118033
intraday_iv_ts_slope_0dte_14dte,0.0053815776
daily_prior_yield_2y_chg_5d,0.005373993
daily_prior_dxy_broad,0.0053629703
daily_prior_close_ratio_sma_50day,0.005355699
intraday_ic_credit_50pt,0.005352524
daily_prior_rv_iv_spread_20d,0.005327446
daily_prior_ig_spread,0.0053174715
intraday_atm_call_mid,0.0052382164
intraday_iv_ts_slope_0dte_7dte,0.005223216
daily_prior_spx_iwm_ratio,0.005219102
daily_prior_vix_vxv_ratio,0.005156936
daily_prior_ts_iv_inverted_7dte_14dte,0.0051291888
daily_prior_rsp_spy_ratio_20d_chg,0.005116637
daily_prior_oil_chg_5d,0.005114069
daily_prior_tlt_spx_ratio_chg_20d,0.0050965347
daily_prior_ts_30dte_atm_mid,0.0050795907
daily_prior_qqq_spx_ratio_chg_5d,0.00505755
is_gdp_day,0.005037091
daily_prior_qqq_spx_ratio,0.0050363773
daily_prior_yield_10y_chg_63d,0.004996785
daily_prior_gold_chg_5d,0.0049933535
daily_prior_rsp_spy_ratio_5d_chg,0.0049659614
daily_prior_bb_bandwidth,0.0049602813
daily_prior_iwm_spx_ratio_chg_5d,0.0049227965
intraday_iv_smile_curve,0.0049176295
daily_prior_yz_hv_5day,0.004889602
daily_prior_gold_fix_am,0.004888953
daily_prior_skew_25d_21day_mean,0.004876373
daily_prior_spx_ret_60d,0.004850567
daily_prior_oil_trend,0.0048451726
daily_prior_vvix_ma20,0.004831275
daily_prior_close_ratio_ema_20day,0.0048224595
daily_prior_tlt_spx_corr_20d,0.004812025
daily_prior_credit_stress_chg_20d,0.004789887
daily_prior_dxy_trend,0.0047599357
daily_prior_atm_iv_21day_mean,0.0047423146
iv_crush_post_fomc,0.0047257827
intraday_atm_straddle_mid,0.00472311
minutes_since_open,0.004697128
daily_prior_open_to_close_pct,0.004694973
daily_prior_bb_pct_b,0.0046926714
daily_prior_spx_ret_20d,0.0046865963
daily_prior_credit_stress,0.0046809507
daily_prior_eem_spx_ratio_chg_5d,0.0046511427
daily_prior_wti_crude,0.0046492484
time_sin,0.0046387636
daily_prior_atr_pct,0.0046027484
month,0.0045597977
