feature,importance
minutes_since_open,517
intraday_spx_vs_vwap,419
intraday_range_exhaustion,376
daily_prior_range_pct,359
time_cos,247
intraday_spx_vs_sma_7d,221
credit,217
intraday_garman_klass_rv_30m,191
intraday_spx_vs_sma_180d,163
intraday_rvol_vs_daily_5d,142
intraday_spx_vs_sma_50d,138
intraday_pctB,130
time_sin,124
intraday_spx_ret_30m,120
intraday_ma15_vs_sma_7d,113
intraday_rvol_30m,107
intraday_spx_vs_sma_20d,100
intraday_orb_range_pct,68
gap_pct,64
daily_prior_vix1d_vs_sma_5,62
intraday_ma15_vs_sma_20d,62
intraday_ts_slope_0dte_7dte,62
intraday_skew_25d,59
prior_day_oi_concentration,59
prior_day_pc_oi_ratio,54
daily_prior_tlt_spx_ratio_chg_5d,53
daily_prior_xlf_spy_ret_spread_1d,53
intraday_iv_25d_put,53
daily_prior_ts_iv_slope_7dte_14dte,52
intraday_iv_ts_slope_0dte_7dte,52
intraday_atm_put_mid,52
intraday_skew_10d,50
daily_prior_choppiness_14day,49
daily_prior_skew_25d_5day_std,49
intraday_rvol_vs_daily_20d,48
entry_hour,48
daily_prior_yield_spread_2y10y_chg_5d,48
daily_prior_eem_spx_ratio_chg_5d,47
intraday_iv_ts_slope_0dte_14dte,47
intraday_spx_vs_ma30,46
daily_prior_pc_volume_ratio,45
daily_prior_atm_iv_zscore_21day,45
intraday_ts_slope_0dte_30dte,45
daily_prior_xle_spy_ret_spread_1d,44
day_of_month,44
daily_prior_gold_chg_5d,44
intraday_iv_10d_put,43
intraday_iv_smile_curve,43
intraday_orb_containment,42
daily_prior_skew_25d_zscore_21day,41
daily_prior_vix_ratio_sma_10day,41
days_to_next_cpi,41
intraday_iv_25d_call,40
intraday_range_vs_atr,40
prior_day_total_call_oi,39
daily_prior_dxy_chg_5d,38
daily_prior_tlt_spx_corr_20d,37
days_to_next_fomc,37
daily_prior_yield_2y_chg_5d,37
intraday_iv_10d_call,37
daily_prior_spx_iwm_ratio_chg_5d,36
daily_prior_wti_crude,35
daily_prior_vix_ratio_sma_20day,35
entry_minute,35
prior_day_total_put_oi,34
intraday_rvol_15m,34
intraday_max_pain_distance_pts,34
open_drive_strength,33
first_15m_return_pct,33
daily_prior_qqq_spx_ratio_chg_20d,33
intraday_atm_call_mid,33
daily_prior_vvix_zscore_21d,32
daily_prior_skew_25d_5day_mean,32
intraday_atm_iv,32
daily_prior_dxy_chg_20d,32
daily_prior_ts_iv_14dte,31
daily_prior_oil_chg_5d,31
daily_prior_yield_10y_chg_63d,30
daily_prior_atm_iv_21day_std,30
first_30m_range_pct,30
daily_prior_spx_ret_5d,30
intraday_ic_credit_100pt,29
daily_prior_tlt_ret_5d,28
daily_prior_vix_vxv_zscore_21d,27
daily_prior_open_to_close_pct,27
intraday_spx_ret_15m,27
daily_prior_yz_hv_10day,27
daily_prior_yield_10y_chg_21d,27
first_30m_return_pct,27
daily_prior_tlt_ret_20d,26
daily_prior_vix1d_vs_vix,26
daily_prior_rsi_14day,26
daily_prior_spx_ret_60d,26
daily_prior_qqq_spx_ratio_chg_5d,26
daily_prior_yz_hv_5day,25
days_to_next_gdp,25
daily_prior_eem_spx_ratio_chg_20d,25
daily_prior_efficiency_ratio,25
daily_prior_spx_ret_20d,24
daily_prior_iwm_spy_ret_spread_20d,24
daily_prior_skew_25d_21day_mean,24
daily_prior_hv_iv_ratio_10day,24
daily_prior_yield_2y_chg_21d,23
daily_prior_atr_pct,23
daily_prior_dxy_trend,23
daily_prior_vol_regime_persistence,23
daily_prior_hv_iv_ratio_5day,23
daily_prior_oil_trend,23
daily_prior_vix1d_close,22
daily_prior_yield_10y_chg_5d,22
daily_prior_yield_spread_2y10y_chg_21d,22
daily_prior_spx_iwm_ratio,22
daily_prior_gold_trend,22
daily_prior_ts_iv_7dte,22
daily_prior_close_ratio_sma_50day,22
prior_day_max_pain_strike,22
daily_prior_iv_rv_ratio,21
intraday_max_pain_distance_pct,21
intraday_orb_breakout_dir,21
daily_prior_ts_30dte_atm_mid,21
daily_prior_vvix_ma20,21
daily_prior_atm_iv_21day_mean,21
daily_prior_rsp_spy_ratio_20d_chg,20
daily_prior_bb_bandwidth,20
daily_prior_total_call_volume,20
daily_prior_rsp_spy_ratio_zscore_21d,20
intraday_ic_credit_50pt,20
daily_prior_tlt_spx_ratio_chg_20d,19
daily_prior_spx_iwm_ratio_chg_20d,19
daily_prior_atm_iv_5day_std,19
daily_prior_iv_rank_30d,19
daily_prior_vvix_vs_vix_ratio,19
daily_prior_total_put_volume,18
daily_prior_atm_iv_5day_mean,18
daily_prior_vvix_close,18
daily_prior_xlk_spy_ret_spread_1d,18
days_into_quarter,18
daily_prior_macd_hist,18
day_of_week,18
daily_prior_ts_7dte_atm_mid,18
intraday_rvol_10m,18
daily_prior_rv_iv_spread_20d,18
days_to_next_ppi,17
daily_prior_rv_iv_spread_10d,17
intraday_ic_credit_150pt,17
days_to_next_nfp,16
daily_prior_regime_duration,16
days_to_next_any_econ,16
daily_prior_oil_ma20,16
daily_prior_rsp_spy_ratio_5d_chg,16
intraday_atm_straddle_mid,16
daily_prior_qqq_spx_ratio,16
intraday_spx_vs_ma15,15
daily_prior_yield_spread_2y10y,15
daily_prior_skew_25d_21day_std,15
vix_intraday_running_low,15
daily_prior_vix1d_vs_sma_20,15
daily_prior_vix1d_zscore_21d,15
daily_prior_gold_chg_20d,15
daily_prior_credit_stress_chg_20d,14
daily_prior_yield_spread_2y10y_chg_63d,14
daily_prior_bb_bandwidth_pctile,14
strat_IC_05d_25w,14
daily_prior_close_ratio_sma_100day,14
vix_intraday_running_high,13
strat_IC_45d_25w,13
daily_prior_yz_hv_30day,12
daily_prior_dxy_ma20,12
daily_prior_hv_iv_ratio_30day,12
daily_prior_close_ratio_ema_5day,12
daily_prior_regime_prob_highvol,12
daily_prior_yield_10y,12
daily_prior_vix_vxv_ratio,12
daily_prior_oil_chg_20d,11
daily_prior_gold_fix_am,11
daily_prior_close_ratio_sma_10day,11
daily_prior_close_ratio_sma_20day,11
daily_prior_breadth_thrust_cumulative_5d,11
daily_prior_dxy_broad,10
daily_prior_close_ratio_sma_5day,10
daily_prior_close_ratio_sma_200day,10
intraday_spx_ret_5m,10
daily_prior_vix_term_structure_slope,9
week_of_year,9
daily_prior_iwm_spx_ratio_chg_5d,9
intraday_spx_ret_10m,9
daily_prior_close_ratio_ema_20day,9
