feature,importance
minutes_since_open,502
range_exhaustion,376
spx_vs_vwap,356
intraday_range_pct,274
time_cos,227
garman_klass_rv_30m,211
intraday_ma15_vs_sma_7d,194
credit,189
spx_vs_sma_7d,162
time_sin,160
spx_vs_sma_180d,139
rvol_intraday_vs_5d,137
spx_ret_30m,134
intraday_pctB,131
total_call_volume,114
rvol_30m,113
spx_vs_sma_50d,103
total_put_volume,102
open_to_close_pct,96
intraday_ma15_vs_sma_20d,88
spx_vs_sma_20d,87
atm_call_close,83
entry_hour,75
put_wall_distance,73
pc_volume_ratio,64
skew_25d_5d_std,60
vanna_charm_ratio,60
call_wall_distance,59
xlf_spy_ret_spread_1d,59
iv_25d_put,59
gap_pct,59
vix_vs_sma_10,58
orb_breakout_dir,58
atm_iv,57
gold_chg_5d,57
skew_25d,56
atm_put_open,52
orb_range_pct,52
net_vanna_normalized,51
max_pain_distance_pts,49
oi_concentration,49
rvol_intraday_vs_20d,49
iv_ts_slope_0_7,48
iv_10d_call,48
pc_oi_ratio,47
zero_gamma_level,45
first_30m_return_pct,45
spx_iwm_ratio_chg_5d,45
total_put_oi,42
orb_containment,42
iv_10d_put,42
net_vanna_exposure,41
iwm_spx_ratio_chg_5d,41
close_vs_sma_5,40
hv_iv_ratio_10d,40
skew_10d,40
atm_call_open,39
vvix_zscore_21d,39
day_of_month,39
atm_put_close,38
vix1d_vs_sma_5,38
xlk_spy_ret_spread_1d,38
ts_slope_0_30,37
first_15m_return_pct,37
gex_regime_prob_trans,37
skew_25d_zscore_21d,37
ts_slope_0_7,35
intraday_range_vs_atr,35
iv_25d_call,35
iv_smile_curve,35
open_drive_strength,35
net_charm_exposure,35
gold_trend,34
vix1d_zscore_21d,34
net_gex,34
iv_ts_slope_0_14,34
rv_iv_spread_20d,33
rv_iv_spread_10d,33
vol_regime_persistence,33
vix1d_close,33
oil_chg_5d,33
vix_vxv_zscore_21d,32
eem_spx_ratio_chg_5d,32
qqq_spx_ratio_chg_5d,32
atr_pct,32
ts_slope_7_14,32
total_call_oi,32
rsi_14,32
regime_prob_highvol,32
hv_iv_ratio_5d,32
choppiness_14,31
call_wall,31
skew_25d_5d_mean,30
ic_credit_50,30
atm_iv_zscore_21d,30
gex_imbalance,30
yield_10y_chg_63d,29
iv_rv_ratio,29
days_to_next_cpi,29
efficiency_ratio,29
spx_vs_intraday_ma30,28
vix_vs_sma_20,28
atm_iv_5d_mean,28
tlt_spx_corr_20d,28
vix1d_vs_vix,28
gold_chg_20d,28
breadth_thrust_cumulative_5d,28
max_pain_distance_pct,28
credit_stress_chg_20d,28
vix1d_vs_sma_20,28
xle_spy_ret_spread_1d,27
