feature,importance
iwm_spx_ratio_chg_20d,0.023904808
ic_credit_50,0.01988829
ts_inverted_7_14,0.01802052
atm_put_close,0.014016668
intraday_range_pct,0.0131169185
total_call_volume,0.012655742
spx_ret_5d,0.011837758
vix1d_close,0.01100047
net_charm_exposure,0.010464159
ts_7dte_atm_mid,0.009814608
hv_iv_ratio_5d,0.009591653
skew_25d_zscore_21d,0.009257958
atm_strike,0.0092427125
max_pain_distance_pts,0.009100279
total_put_volume,0.009053884
spx_ret_20d,0.009028349
max_pain_distance_pct,0.008991998
iv_25d_call,0.008919914
vix1d_zscore_21d,0.00868887
atm_straddle_open,0.008292918
vix1d_vs_sma_5,0.008236013
bb_bandwidth_pctile,0.008197839
eem_spx_ratio_chg_20d,0.008120425
net_charm_normalized,0.008028307
open_to_close_pct,0.007923991
yield_2y,0.007882775
intraday_range_vs_atr,0.0077231587
dxy_broad,0.007697636
qqq_spx_ratio,0.007381194
atr_pct,0.0070177624
hv_iv_ratio_10d,0.0068769283
spx_open,0.0067795115
iv_25d_put,0.0067702373
ts_slope_0_7,0.0066353506
atm_call_close,0.0065815733
ic_credit_100,0.0065311706
xle_spy_ret_spread_1d,0.0062116836
orb_containment,0.006192582
ig_spread,0.006081523
ts_iv_7dte,0.0059273047
iv_ts_slope_0_14,0.005875507
yield_spread_2y10y_chg_21d,0.005830305
iwm_spy_ret_spread_20d,0.005740164
vvix_ma20,0.0057079555
bb_pct_b,0.0056748525
atm_iv_21d_std,0.005549552
gold_trend,0.00545566
spx_iwm_ratio_chg_5d,0.005431096
ts_0dte_atm_mid,0.0054264045
atm_iv_zscore_21d,0.0054140873
close_vs_sma_200,0.0053924103
rsp_spy_ratio_20d_chg,0.0052686282
zero_gamma_level,0.0052562584
pc_volume_ratio,0.005220921
net_gex,0.005209648
total_call_oi,0.0051938347
net_vanna_exposure,0.0051898863
gold_chg_5d,0.005173537
close_vs_ema_20,0.005100813
first_30m_direction,0.0050014853
gold_fix_am,0.004947719
orb_breakout_dir,0.0049307435
call_wall_distance,0.00492848
hv_iv_ratio_20d,0.0048996857
iv_ts_slope_0_7,0.004899086
rsp_spy_ratio_5d_chg,0.004842307
vix_vs_sma_20,0.004838546
days_to_next_nfp,0.00476636
oil_chg_5d,0.0047625457
iv_smile_curve,0.004722143
skew_25d,0.004715261
close_vs_sma_10,0.004702703
credit_stress,0.0046974323
gex_regime_duration,0.004671442
close_vs_sma_50,0.004655232
yield_2y_chg_21d,0.004645782
open_drive_strength,0.0046071825
vix1d_vs_vix,0.004590972
xlf_spy_ret_spread_1d,0.0045707617
net_vanna_normalized,0.004524986
ts_slope_0_30,0.004499159
close_vs_sma_100,0.0044908198
yz_hv_5d,0.0044893166
skew_10d,0.00448483
put_wall,0.0044643595
wti_crude,0.0044562505
dxy_trend,0.0044334447
range_exhaustion,0.004400765
first_30m_return_pct,0.0043913396
yield_10y_chg_5d,0.004373163
vol_regime_persistence,0.0043441565
ts_slope_7_14,0.004327761
xlk_spy_ret_spread_1d,0.004316138
yield_10y,0.0043129036
vvix_vs_vix_ratio,0.004229246
vix_vs_sma_10,0.0042285495
close_vs_sma_20,0.004201767
put_wall_distance,0.004070792
iv_10d_call,0.004036956
eem_spx_ratio,0.0040205102
spx_vs_vwap,0.0040109647
yz_hv_10d,0.0040028533
skew_25d_5d_mean,0.0039955787
spx_ret_60d,0.0039891424
bb_bandwidth,0.003987041
credit_stress_chg_20d,0.003985976
breadth_thrust_cumulative_5d,0.00397378
dxy_chg_20d,0.0039467267
pc_oi_ratio,0.003939347
atm_iv_5d_std,0.003915927
iv_rv_ratio,0.0038278005
regime_duration,0.0038213315
is_earnings_nvda,0.0038198556
first_15m_return_pct,0.0038108143
vanna_charm_ratio,0.0038032478
atm_iv,0.0037517482
month,0.0037156923
atm_call_open,0.0037003527
yield_10y_chg_21d,0.0036786166
total_put_oi,0.0036583915
qqq_spx_ratio_chg_20d,0.0036575084
oil_ma20,0.0036287983
days_into_quarter,0.0036181516
vix_vxv_zscore_21d,0.0035401494
rsi_14,0.0035249805
rv_iv_spread_10d,0.0034986492
vix_vxv_ratio,0.0034360166
yield_spread_2y10y_chg_63d,0.0033950813
intraday_pctB,0.0033629453
iv_10d_put,0.0033547084
tlt_ret_20d,0.003339282
max_pain_strike,0.0032489817
atm_iv_21d_mean,0.0032229875
iv_crush_post_fomc,0.0032086866
vvix_zscore_21d,0.0031879242
gex_imbalance,0.003151791
skew_25d_5d_std,0.0031050534
credit,0.0030994173
time_sin,0.0030956892
close_vs_sma_5,0.003080254
iv_rank_30d,0.003070833
rv_iv_spread_20d,0.0030641614
strat_IC_45d_25w,0.003060194
iwm_spx_ratio_chg_5d,0.0030535085
spx_iwm_ratio_chg_20d,0.0030497722
sector_divergence_count,0.0029942137
atm_iv_5d_mean,0.002990511
minutes_since_open,0.0029902162
regime_prob_highvol,0.0029854076
ts_30dte_atm_mid,0.0029779512
rsp_spy_ratio_zscore_21d,0.0029713926
rvol_30m,0.0029548192
