strategy,exit_slip,skip_rate,optimization,total_return_pct,max_drawdown_pct,sharpe,win_rate,n_trades,trades_per_day,final_portfolio,avg_pnl
1,0.0,0.05,joint,-11.46,74.32,0.8,76.1,285,2.69,8854.0,-4.02
1,0.0,0.1,joint,-5.82,76.8,0.84,75.8,281,2.65,9417.6,-2.07
1,0.0,0.2,joint,-11.74,80.79,0.77,76.1,276,2.6,8826.0,-4.25
1,0.0,0.3,joint,-19.58,78.36,0.71,75.1,265,2.5,8042.4,-7.39
1,0.0,0.4,joint,-4.68,82.03,0.91,74.2,248,2.34,9532.1,-1.89
1,0.1,0.05,joint,-53.25,77.47,-0.28,65.3,285,2.69,4675.0,-18.68
1,0.1,0.1,joint,-54.21,76.9,-0.27,64.8,281,2.65,4579.4,-19.29
1,0.1,0.2,joint,-77.41,84.1,-1.66,66.7,135,1.27,2259.3,-57.34
1,0.1,0.3,joint,-54.49,80.07,-0.2,66.4,265,2.5,4551.3,-20.56
1,0.1,0.4,joint,-78.38,86.09,-1.83,66.4,122,1.15,2162.3,-64.24
1,0.2,0.05,joint,-75.16,81.14,-2.16,62.7,110,1.04,2483.8,-68.33
1,0.2,0.1,joint,-76.98,82.52,-1.95,60.9,138,1.3,2302.3,-55.78
1,0.2,0.2,joint,-75.13,81.3,-2.15,62.1,95,0.9,2486.5,-79.09
1,0.2,0.3,joint,-75.7,82.6,-1.77,62.0,129,1.22,2430.4,-58.68
1,0.2,0.4,joint,-75.69,82.33,-1.92,62.6,91,0.86,2431.3,-83.17
1,0.3,0.05,joint,-75.4,80.8,-2.65,46.4,97,0.92,2459.6,-77.74
1,0.3,0.1,joint,-77.77,82.65,-2.93,49.5,93,0.88,2222.8,-83.63
1,0.3,0.2,joint,-75.32,80.99,-2.52,49.5,93,0.88,2468.1,-80.99
1,0.3,0.3,joint,-75.15,81.32,-2.21,54.7,86,0.81,2484.7,-87.39
1,0.3,0.4,joint,-80.43,85.17,-2.59,56.0,91,0.86,1957.3,-88.38
2,0.0,0.05,joint,-8.85,67.17,0.67,80.3,660,6.23,9114.9,-1.34
2,0.0,0.1,joint,20.92,64.37,1.08,81.5,775,7.31,12092.2,2.7
2,0.0,0.2,joint,38.37,64.73,1.28,81.8,710,6.7,13837.1,5.4
2,0.0,0.3,joint,19.37,67.73,1.08,80.7,647,6.1,11936.9,2.99
2,0.0,0.4,joint,-7.88,73.31,0.72,80.1,577,5.44,9212.5,-1.36
2,0.1,0.05,joint,-56.32,72.18,-0.55,70.5,447,4.22,4368.4,-12.6
2,0.1,0.1,joint,-43.82,72.82,-0.16,72.3,501,4.73,5618.3,-8.75
2,0.1,0.2,joint,-33.56,77.23,0.18,73.1,487,4.59,6644.5,-6.89
2,0.1,0.3,joint,-46.6,76.98,-0.18,72.6,434,4.09,5340.5,-10.74
2,0.1,0.4,joint,-51.96,80.12,-0.25,73.0,423,3.99,4804.4,-12.28
2,0.2,0.05,joint,-76.51,80.99,-2.16,64.9,239,2.25,2349.5,-32.01
2,0.2,0.1,joint,-75.68,80.32,-2.08,64.5,234,2.21,2432.0,-32.34
2,0.2,0.2,joint,-64.75,78.99,-0.89,62.2,389,3.67,3524.8,-16.65
2,0.2,0.3,joint,-76.06,81.14,-2.19,66.5,215,2.03,2393.9,-35.38
2,0.2,0.4,joint,-78.8,83.0,-2.39,67.3,196,1.85,2119.9,-40.2
2,0.3,0.05,joint,-76.32,80.33,-2.89,49.4,158,1.49,2367.6,-48.31
2,0.3,0.1,joint,-77.99,81.72,-2.81,54.1,170,1.6,2200.5,-45.88
2,0.3,0.2,joint,-83.03,85.98,-2.56,56.5,207,1.95,1697.3,-40.11
2,0.3,0.3,joint,-82.0,85.2,-2.53,59.3,194,1.83,1800.4,-42.27
2,0.3,0.4,joint,-81.63,84.84,-2.44,61.1,180,1.7,1836.9,-45.35
