strategy,exit_slip,skip_rate,optimization,total_return_pct,max_drawdown_pct,sharpe,win_rate,n_trades,n_shadow,trades_per_day,final_portfolio,avg_pnl
1,0.0,0.1,joint,697.89,71.02,3.51,78.5,79,164,0.75,79788.6,883.4
1,0.0,0.11,joint,635.37,69.37,3.37,78.8,80,163,0.75,73537.0,794.21
1,0.0,0.12,joint,753.45,69.04,3.63,79.5,78,163,0.74,85345.2,965.96
1,0.0,0.13,joint,720.28,71.48,3.57,79.2,77,165,0.73,82028.1,935.43
1,0.0,0.14,joint,668.56,71.48,3.46,79.5,78,162,0.74,76856.4,857.13
1,0.0,0.15,joint,663.78,71.47,3.45,77.5,80,158,0.75,76377.6,829.72
1,0.0,0.16,joint,668.9,71.44,3.46,78.8,80,158,0.75,76890.1,836.13
1,0.0,0.17,joint,737.91,69.08,3.57,81.2,80,157,0.75,83790.7,922.38
1,0.0,0.18,joint,706.77,69.16,3.52,80.2,81,159,0.76,80676.7,872.55
1,0.0,0.19,joint,767.77,69.47,3.64,82.5,80,151,0.75,86777.2,959.72
1,0.0,0.2,joint,731.81,70.05,3.55,81.9,83,147,0.78,83180.5,881.69
1,0.0,0.21,joint,790.43,69.47,3.68,81.5,81,147,0.76,89042.9,975.84
1,0.0,0.22,joint,768.61,68.72,3.63,80.5,82,149,0.77,86861.3,937.33
1,0.0,0.23,joint,725.79,69.36,3.56,79.5,83,148,0.78,82579.5,874.45
1,0.0,0.24,joint,735.73,69.25,3.58,79.5,83,146,0.78,83573.3,886.43
1,0.0,0.25,joint,709.87,68.01,3.54,79.8,84,145,0.79,80986.6,845.08
1,0.0,0.26,joint,637.1,71.43,3.36,78.8,85,142,0.8,73710.0,749.53
1,0.0,0.27,joint,805.79,67.45,3.74,81.0,84,144,0.79,90579.1,959.27
1,0.0,0.28,joint,730.37,67.45,3.56,78.6,84,143,0.79,83036.5,869.48
1,0.0,0.29,joint,840.16,67.45,3.78,80.7,83,144,0.78,94016.4,1012.25
1,0.0,0.3,joint,893.62,67.45,3.86,84.7,85,143,0.8,99361.5,1051.31
1,0.0,0.31,joint,869.07,67.45,3.82,81.6,87,140,0.82,96907.5,998.94
1,0.0,0.32,joint,758.57,71.32,3.61,81.4,86,135,0.81,85856.7,882.05
1,0.0,0.33,joint,785.09,70.62,3.62,79.8,89,133,0.84,88508.5,882.12
1,0.0,0.34,joint,702.4,70.74,3.48,78.0,91,137,0.86,80239.6,771.86
1,0.0,0.35,joint,703.44,69.62,3.5,78.3,92,139,0.87,80343.8,764.61
1,0.0,0.36,joint,592.06,77.34,3.27,80.2,96,137,0.91,69205.9,616.73
1,0.0,0.37,joint,829.51,68.45,3.72,78.8,99,130,0.93,92951.1,837.89
1,0.0,0.38,joint,737.75,75.77,3.54,78.1,96,127,0.91,83775.1,768.49
1,0.0,0.39,joint,536.17,82.98,3.15,78.9,95,125,0.9,63617.2,564.39
1,0.0,0.4,joint,556.01,83.82,3.16,78.4,97,125,0.92,65600.6,573.2
1,0.05,0.1,joint,638.13,72.79,3.41,77.2,79,164,0.75,73812.6,807.75
1,0.05,0.11,joint,519.3,69.6,3.18,77.5,80,163,0.75,61929.8,649.12
1,0.05,0.12,joint,696.91,70.71,3.55,78.2,78,163,0.74,79691.0,893.47
1,0.05,0.13,joint,693.2,72.68,3.54,77.9,77,165,0.73,79320.4,900.26
1,0.05,0.14,joint,650.96,72.68,3.44,78.2,78,162,0.74,75095.8,834.56
1,0.05,0.15,joint,643.3,72.61,3.43,76.2,80,158,0.75,74329.9,804.12
1,0.05,0.16,joint,632.15,70.95,3.39,77.5,80,158,0.75,73215.4,790.19
