Feature,Gain,Split Count,Cover,Gain Rank,Split Rank
intraday_range_pct,895.63,128,32580.87,1,4
entry_hour,685.81,20,10947.3,2,36
total_call_volume,679.36,61,28312.02,3,8
qqq_spx_ratio,582.62,7,19222.87,4,144
iv_25d_put,534.7,16,8931.81,5,45
max_pain_distance_pts,453.79,7,7380.03,6,144
strat_IC_45d_25w,415.14,23,51508.85,7,32
hy_spread,409.58,1,913.87,8,222
iv_25d_call,389.79,10,10262.59,9,105
total_put_volume,383.15,53,20945.66,10,11
rsp_spy_ratio_20d_chg,382.7,16,10603.81,11,45
spx_iwm_ratio_chg_5d,374.62,29,13820.92,12,23
call_wall_distance,368.92,13,5748.42,13,71
yield_spread_2y10y_chg_63d,368.7,5,5607.06,14,167
ts_7dte_atm_mid,365.5,6,6631.35,15,158
vix1d_zscore_21d,364.41,5,12071.73,16,167
spx_iwm_ratio,360.86,5,15202.11,17,167
minutes_since_open,346.96,273,11955.24,18,1
iwm_spx_ratio_chg_5d,341.65,15,12785.1,19,52
atm_iv,338.43,16,17803.19,20,45
gex_regime_prob_neg,334.1,2,12238.77,21,208
spx_ret_60d,329.44,7,5589.33,22,144
vix_term_structure_slope,327.42,4,1588.32,23,185
open_to_close_pct,326.71,38,7762.28,24,17
net_vanna_exposure,321.44,14,8090.39,25,60
regime_duration,319.29,8,3565.56,26,126
close_vs_sma_20,318.72,7,19952.16,27,144
dxy_broad,309.73,3,8135.63,28,195
put_wall,303.67,10,4440.35,29,105
credit_stress_chg_20d,302.6,5,6583.12,30,167
iv_rank_30d,294.13,4,6428.79,31,185
vix_vxv_zscore_21d,292.24,11,8100.94,32,92
spx_ret_20d,285.1,8,5456.4,33,126
vix1d_vs_vix,284.14,14,8480.07,34,60
time_sin,280.06,64,9417.17,35,7
tlt_ret_20d,274.63,10,9624.83,36,105
hv_iv_ratio_20d,272.9,2,3637.07,37,208
vix1d_vs_sma_5,272.56,21,7934.92,38,35
bb_bandwidth,270.23,13,9280.14,39,71
skew_25d_21d_std,266.71,2,13247.95,40,208
vix_low,265.17,8,10034.99,41,126
strat_IC_40d_25w,254.55,12,51832.37,42,78
vvix_zscore_21d,253.64,10,10811.86,43,105
gex_imbalance,251.7,14,3651.7,44,60
vol_regime_persistence,251.27,12,4698.73,45,78
skew_25d_21d_mean,250.39,14,10513.64,46,60
rsp_spy_ratio_5d_chg,248.69,9,5704.13,47,117
atm_iv_5d_std,247.88,10,4435.2,48,105
net_gex,244.89,10,3961.64,49,105
max_pain_distance_pct,239.04,8,18058.87,50,126
skew_25d_5d_mean,237.23,16,4739.92,51,45
zero_gamma_level,233.31,17,21215.29,52,42
atm_iv_zscore_21d,233.08,4,5234.78,53,185
oi_concentration,230.06,23,8954.16,54,32
oil_chg_20d,228.52,9,6469.16,55,117
orb_containment,228.39,12,9251.43,56,78
atm_iv_5d_mean,226.5,7,6514.94,57,144
vanna_imbalance,224.54,5,3838.16,58,167
skew_25d_5d_std,222.55,19,9155.65,59,38
spx_open,222.08,5,3703.53,60,167
total_call_oi,221.72,13,2962.92,61,71
tlt_spx_corr_20d,220.38,8,5149.91,62,126
atr_pct,219.06,8,6292.37,63,126
rv_iv_spread_20d,218.9,14,5049.98,64,60
first_30m_range_pct,218.57,11,11504.32,65,92
gap_pct,218.19,31,6525.14,66,21
yield_2y,217.93,6,13273.16,67,158
gold_chg_20d,216.2,19,14049.84,68,38
close_vs_sma_50,214.29,4,4215.46,69,185
rsi_14,213.06,11,5059.18,70,92
eem_spx_ratio_chg_20d,212.73,8,10569.41,71,126
yield_10y,212.04,1,2624.77,72,222
wti_crude,211.95,9,9040.79,73,117
call_wall,211.01,12,3213.35,74,78
ts_iv_14dte,210.43,6,4650.15,75,158
credit,209.22,58,10341.86,76,9
close_vs_ema_20,208.65,6,2105.06,77,158
yield_2y_chg_21d,207.93,3,1633.24,78,195
dxy_chg_20d,207.77,8,3879.61,79,126
gold_chg_5d,206.45,15,9125.43,80,52
iv_smile_curve,206.01,14,2498.62,81,60
vvix_vs_vix_ratio,205.95,10,4827.18,82,105
yz_hv_30d,201.83,1,1678.44,83,222
iv_ts_slope_0_7,199.1,11,5388.42,84,92
rsp_spy_ratio_zscore_21d,198.96,9,4335.56,85,117
bb_bandwidth_pctile,198.0,6,5620.48,86,158
atm_iv_21d_std,197.84,7,3251.23,87,144
range_exhaustion,197.58,148,19408.26,88,2
days_to_next_ppi,197.0,5,8398.87,89,167
skew_25d,196.61,25,6907.92,90,26
yield_10y_chg_5d,195.05,2,6708.79,91,208
hv_iv_ratio_5d,194.53,12,4510.53,92,78
yield_10y_chg_21d,193.77,5,3423.43,93,167
net_charm_exposure,193.43,16,3744.35,94,45
macd_hist,193.06,4,1281.63,95,185
total_put_oi,191.99,14,3829.43,96,60
atm_iv_21d_mean,190.09,5,10520.22,97,167
strat_IC_05d_25w,189.8,4,55673.72,98,185
close_vs_sma_100,189.63,10,4343.49,99,105
vix_vxv_ratio,189.1,3,2648.55,100,195
oil_ma20,188.8,11,2663.58,101,92
xlk_spy_ret_spread_1d,185.42,17,12847.24,102,42
bb_pct_b,185.36,10,15191.21,103,105
yz_hv_5d,184.8,16,4061.97,104,45
vix_vs_sma_10,184.58,11,11599.88,105,92
tlt_ret_5d,184.32,5,3937.91,106,167
max_pain_strike,183.74,5,7670.1,107,167
garman_klass_rv_30m,182.74,89,10373.84,108,6
dxy_chg_5d,182.18,9,3336.15,109,117
gex_regime_prob_trans,178.19,12,8410.32,110,78
yz_hv_20d,175.96,3,1303.0,111,195
spx_ret_5d,175.13,12,17434.17,112,78
day_of_month,175.04,8,8193.44,113,126
yield_2y_chg_5d,173.29,9,6093.02,114,117
ts_slope_0_7,172.72,7,3173.8,115,144
intraday_range_vs_atr,172.23,11,10786.23,116,92
days_to_next_gdp,169.24,12,7981.39,117,78
iv_10d_call,168.93,25,2996.62,118,26
orb_range_pct,168.56,16,11791.56,119,45
xlf_spy_ret_spread_1d,168.26,25,5481.6,120,26
spx_vs_vwap,166.71,130,20907.41,121,3
iwm_spx_ratio_chg_20d,165.9,1,11069.32,122,222
days_to_next_cpi,164.78,12,10678.35,123,78
atm_call_close,163.87,18,10219.31,124,40
days_to_next_nfp,161.62,6,4161.06,125,158
ts_slope_0_30,160.97,13,7534.39,126,71
iv_ts_slope_0_14,160.58,15,3078.38,127,52
pc_volume_ratio,160.42,22,6939.85,128,34
time_cos,159.49,90,4658.41,129,5
ts_slope_7_14,156.22,12,1817.18,130,78
atm_call_open,154.76,9,7670.46,131,117
oil_chg_5d,154.28,13,19065.0,132,71
put_wall_distance,153.46,31,11754.61,133,21
ts_0dte_atm_mid,152.98,12,4268.26,134,78
rv_iv_spread_10d,152.16,9,4821.99,135,117
ig_spread,151.78,5,1123.96,136,167
vix_open,151.65,12,4377.12,137,78
breadth_thrust_cumulative_5d,150.58,15,8307.37,138,52
hv_iv_ratio_30d,150.1,2,4738.65,139,208
xle_spy_ret_spread_1d,149.87,15,3517.53,140,52
first_15m_return_pct,149.44,12,3985.06,141,78
spx_vs_sma_180d,148.72,42,4497.35,142,14
yield_spread_2y10y_chg_5d,148.31,9,5915.52,143,117
open_drive_strength,147.29,15,3128.94,144,52
rvol_30m,146.21,37,13639.38,145,19
week_of_year,145.92,5,1255.77,146,167
gold_trend,145.4,14,4230.96,147,60
regime_prob_highvol,145.21,11,8278.81,148,92
first_30m_return_pct,145.17,15,5551.6,149,52
yield_2y_chg_63d,144.61,3,1133.86,150,195
atm_put_open,143.18,4,8414.88,151,185
tlt_spx_ratio_chg_20d,141.39,5,14019.05,152,167
skew_10d,139.69,28,12420.53,153,24
vix1d_vs_sma_20,139.55,8,14438.73,154,126
vanna_charm_ratio,138.28,24,4683.2,155,29
gex_regime_duration,137.55,10,6527.74,156,105
vix1d_close,136.94,18,9666.86,157,40
orb_breakout_dir,136.83,12,1895.41,158,78
yield_spread_2y10y,133.99,8,13725.78,159,126
net_charm_normalized,132.96,11,4474.08,160,92
efficiency_ratio,132.6,7,5298.48,161,144
atm_straddle_open,131.39,14,2178.04,162,60
skew_25d_zscore_21d,130.48,15,2414.53,163,52
entry_minute,129.7,39,2242.43,164,16
pc_oi_ratio,129.4,10,1812.63,165,105
gex_regime_prob_pos,127.86,8,2833.67,166,126
vvix_ma20,127.54,5,2675.85,167,167
intraday_ma15_vs_sma_20d,127.51,17,1230.63,168,42
credit_stress,126.52,8,10853.3,169,126
yield_10y_chg_63d,126.15,3,5916.35,170,195
close_vs_sma_200,124.38,3,926.98,171,195
spx_vs_sma_50d,124.03,24,1098.24,172,29
eem_spx_ratio_chg_5d,123.88,13,2286.95,173,71
ic_credit_50,122.75,7,3730.74,174,144
days_to_next_fomc,122.59,14,3779.97,175,60
rvol_intraday_vs_5d,122.55,58,7711.54,176,9
spx_iwm_ratio_chg_20d,121.7,3,778.8,177,195
days_into_quarter,121.5,11,12158.4,178,92
close_vs_sma_10,118.38,3,14934.52,179,195
intraday_ma15_vs_sma_7d,116.91,50,4676.11,180,13
ts_30dte_atm_mid,116.26,2,989.7,181,208
yield_spread_2y10y_chg_21d,116.02,4,3386.44,182,185
sector_divergence_count,114.73,3,2136.5,183,195
rvol_intraday_vs_20d,114.44,26,9085.44,184,25
mag7_earnings_count,114.41,3,5491.98,185,195
intraday_pctB,113.67,41,1676.33,186,15
iv_10d_put,113.43,5,11368.4,187,167
ts_iv_7dte,112.48,4,3746.54,188,185
gold_fix_am,110.75,8,11689.03,189,126
vix_vs_sma_20,109.84,7,6185.86,190,144
hv_iv_ratio_10d,109.51,5,14889.55,191,167
dxy_trend,108.17,7,3453.5,192,144
choppiness_14,104.69,11,3982.3,193,92
spx_vs_sma_7d,102.82,38,3930.06,194,17
atm_put_close,102.11,11,2955.15,195,92
rsp_spy_ratio,101.48,3,25895.92,196,195
ic_credit_150,97.9,8,7288.38,197,126
dxy_ma20,97.18,10,5749.36,198,105
spx_ret_30m,97.0,53,22529.97,199,11
strat_IC_35d_25w,93.29,2,30375.37,200,208
tlt_spx_ratio_chg_5d,89.32,11,6492.34,201,92
prev_close_gap_reversal,88.46,2,38299.23,202,208
iv_rv_ratio,86.87,7,7258.21,203,144
ts_inverted_7_14,86.76,1,600.52,204,222
spx_vs_intraday_ma5,86.04,36,38604.36,205,20
qqq_spx_ratio_chg_20d,84.52,8,4721.64,206,126
is_month_end,83.92,2,48251.32,207,208
yz_hv_10d,83.28,8,1256.54,208,126
ic_credit_100,80.32,13,1046.79,209,71
iwm_spy_ret_spread_20d,80.31,2,343.8,210,208
oil_trend,77.56,5,3625.22,211,167
gold_ma20,76.46,1,6770.55,212,222
spx_vs_sma_20d,75.53,14,6214.26,213,60
close_vs_sma_5,74.65,6,3737.43,214,158
net_vanna_normalized,70.87,7,2334.63,215,144
close_vs_ema_5,68.37,1,2540.94,216,222
qqq_spx_ratio_chg_5d,65.9,7,1395.01,217,144
is_cpi_day,64.32,1,2360.33,218,222
charm_imbalance,59.44,1,337.55,219,222
vix_close,58.24,1,90.98,220,222
rvol_10m,51.5,6,197.41,221,158
spx_vs_intraday_ma15,47.6,1,152.51,222,222
vix_high,46.41,4,10950.56,223,185
spx_vs_intraday_ma30,45.45,24,6740.82,224,29
spx_ret_10m,42.83,2,149.32,225,208
rvol_15m,40.26,20,313.63,226,36
days_to_next_any_econ,34.98,3,861.84,227,195
eem_spx_ratio,34.85,2,26627.16,228,208
vvix_close,31.35,2,2226.89,229,208
spx_ret_15m,29.97,6,177.13,230,158
spx_ret_5m,27.53,2,109.91,231,208
rvol_5m,21.17,8,273.87,232,126
month,17.92,1,420.62,233,222
is_ppi_day,17.0,1,1012.34,234,222
is_nfp_day,5.59,1,74.75,235,222
