strategy,exit_slip,skip_rate,optimization,total_return_pct,max_drawdown_pct,sharpe,win_rate,n_trades,trades_per_day,final_portfolio,avg_pnl
1,0.0,0.2,joint,1.7,86.23,1.06,72.1,222,2.09,10170.4,0.77
1,0.0,0.21,joint,15.83,86.77,1.21,71.5,221,2.08,11582.7,7.16
1,0.0,0.22,joint,1.88,87.02,1.07,71.4,220,2.08,10187.8,0.85
1,0.0,0.23,joint,-75.92,89.33,-1.17,70.6,119,1.12,2407.8,-63.8
1,0.0,0.24,joint,-15.36,85.3,0.83,71.8,220,2.08,8464.1,-6.98
1,0.0,0.25,joint,-23.22,87.59,0.76,71.6,218,2.06,7678.0,-10.65
1,0.0,0.26,joint,-1.6,84.79,0.96,71.3,216,2.04,9840.0,-0.74
1,0.0,0.27,joint,16.5,86.58,1.23,71.6,218,2.06,11649.8,7.57
1,0.0,0.28,joint,19.84,85.17,1.26,70.8,216,2.04,11984.0,9.19
1,0.0,0.29,joint,19.18,89.84,1.3,70.6,211,1.99,11917.9,9.09
1,0.0,0.3,joint,32.93,86.42,1.36,70.3,209,1.97,13293.1,15.76
1,0.0,0.31,joint,18.17,87.96,1.26,70.1,211,1.99,11817.0,8.61
1,0.0,0.32,joint,21.72,89.13,1.33,70.5,210,1.98,12171.8,10.34
1,0.0,0.33,joint,32.79,88.65,1.39,70.2,208,1.96,13278.6,15.76
1,0.0,0.34,joint,36.74,87.83,1.41,69.9,206,1.94,13673.5,17.83
1,0.0,0.35,joint,9.91,84.91,1.2,70.8,209,1.97,10990.6,4.74
1,0.0,0.36,joint,42.48,85.59,1.49,72.0,211,1.99,14248.4,20.13
1,0.0,0.37,joint,57.11,87.65,1.59,72.3,213,2.01,15711.2,26.81
1,0.0,0.38,joint,-78.64,93.3,-1.19,68.8,109,1.03,2136.5,-72.14
1,0.0,0.39,joint,-77.12,90.97,-1.15,67.3,107,1.01,2288.3,-72.07
1,0.0,0.4,joint,42.31,90.07,1.47,69.8,202,1.91,14231.2,20.95
1,0.05,0.2,joint,-5.59,86.62,0.93,71.2,222,2.09,9441.1,-2.52
1,0.05,0.21,joint,-5.33,87.31,0.97,70.6,221,2.08,9467.4,-2.41
1,0.05,0.22,joint,-12.36,85.27,0.82,70.5,220,2.08,8764.3,-5.62
1,0.05,0.23,joint,-75.21,88.12,-1.25,69.7,119,1.12,2478.6,-63.21
1,0.05,0.24,joint,-14.98,85.19,0.78,71.4,220,2.08,8501.8,-6.81
1,0.05,0.25,joint,-27.27,85.68,0.58,71.1,218,2.06,7272.6,-12.51
1,0.05,0.26,joint,-76.42,86.0,-1.4,69.0,116,1.09,2358.3,-65.88
1,0.05,0.27,joint,-5.56,86.3,0.95,70.6,218,2.06,9444.2,-2.55
1,0.05,0.28,joint,7.61,86.63,1.1,69.9,216,2.04,10760.9,3.52
1,0.05,0.29,joint,12.03,87.44,1.17,69.7,211,1.99,11202.7,5.7
1,0.05,0.3,joint,-12.96,88.33,0.9,69.4,209,1.97,8704.1,-6.2
1,0.05,0.31,joint,-17.75,88.9,0.85,69.7,211,1.99,8224.7,-8.41
1,0.05,0.32,joint,21.79,87.51,1.27,70.0,210,1.98,12178.6,10.37
1,0.05,0.33,joint,17.39,84.79,1.18,69.7,208,1.96,11738.6,8.36
1,0.05,0.34,joint,19.08,86.67,1.21,69.4,206,1.94,11907.6,9.26
1,0.05,0.35,joint,-1.52,83.35,1.08,69.9,209,1.97,9848.4,-0.73
