Time,SC,SP,LC,LP,Credit,TP10,TP10_reason,TP10_exit_time,TP15,TP15_reason,TP15_exit_time,TP20,TP20_reason,TP20_exit_time,TP25,TP25_reason,TP25_exit_time,TP30,TP30_reason,TP30_exit_time,TP35,TP35_reason,TP35_exit_time,TP40,TP40_reason,TP40_exit_time,TP45,TP45_reason,TP45_exit_time,TP50,TP50_reason,TP50_exit_time
10:00,0.6,0.8,0.125,0.225,1.05,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:01,0.55,0.825,0.125,0.225,1.025,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:02,0.575,0.85,0.125,0.225,1.075,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:03,0.575,0.775,0.075,0.225,1.05,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:04,0.725,0.6,0.125,0.175,1.025,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:05,0.7,0.575,0.125,0.175,0.975,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:06,0.825,0.55,0.125,0.175,1.075,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:07,0.775,0.575,0.125,0.175,1.05,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:08,0.775,0.575,0.125,0.175,1.05,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:09,0.95,0.425,0.125,0.125,1.125,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:10,1.025,0.45,0.125,0.125,1.225,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:11,0.8,0.5,0.1,0.125,1.075,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:12,0.8,0.525,0.1,0.175,1.05,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:13,0.775,0.525,0.1,0.175,1.025,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:14,0.775,0.55,0.1,0.175,1.05,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:15,0.85,0.525,0.075,0.175,1.125,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:16,0.875,0.5,0.125,0.125,1.125,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:17,0.875,0.525,0.125,0.175,1.1,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:18,0.85,0.5,0.125,0.175,1.05,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:19,0.975,0.45,0.125,0.175,1.125,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:20,0.95,0.45,0.125,0.125,1.15,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:21,0.875,0.45,0.1,0.15,1.075,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:22,0.725,0.525,0.1,0.175,0.975,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:23,0.725,0.55,0.1,0.175,1.0,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:24,0.75,0.525,0.075,0.175,1.025,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:25,0.775,0.5,0.125,0.175,0.975,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:26,0.875,0.45,0.1,0.175,1.05,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:27,0.9,0.475,0.125,0.175,1.075,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:28,0.875,0.475,0.125,0.175,1.05,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:29,0.8,0.475,0.125,0.175,0.975,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
10:30,0.625,0.525,0.1,0.175,0.875,1,tp,10:30,1,tp,10:30,1,tp,10:31,1,tp,11:11,1,tp,12:29,1,tp,12:30,1,tp,12:31,1,tp,12:31,1,tp,12:32
