feature,importance
minutes_since_open,532
range_exhaustion,419
spx_vs_vwap,378
intraday_range_pct,373
garman_klass_rv_30m,237
total_call_volume,186
time_sin,185
time_cos,172
total_put_volume,147
intraday_ma15_vs_sma_7d,129
spx_ret_30m,128
open_to_close_pct,125
credit,121
gap_pct,117
entry_hour,115
rvol_30m,110
rvol_intraday_vs_5d,105
put_wall_distance,99
spx_vs_sma_7d,93
xlf_spy_ret_spread_1d,86
vanna_charm_ratio,81
strat_IC_45d_25w,77
rvol_intraday_vs_20d,72
xlk_spy_ret_spread_1d,71
spx_vs_intraday_ma5,70
atm_put_open,69
spx_vs_sma_180d,69
spx_iwm_ratio_chg_5d,69
vix1d_vs_vix,67
skew_25d,65
atm_call_close,65
skew_25d_5d_mean,64
oi_concentration,62
vix1d_vs_sma_5,61
gold_chg_5d,60
skew_25d_21d_mean,60
skew_25d_zscore_21d,57
eem_spx_ratio_chg_5d,56
intraday_pctB,56
skew_25d_5d_std,56
zero_gamma_level,55
iv_ts_slope_0_7,55
orb_range_pct,54
spx_vs_sma_50d,54
iv_10d_call,53
strat_IC_40d_25w,52
pc_volume_ratio,51
call_wall_distance,51
orb_breakout_dir,50
iv_10d_put,49
vix_vs_sma_10,48
iv_25d_put,47
intraday_ma15_vs_sma_20d,46
oil_chg_5d,46
ts_slope_0_30,45
atm_iv,45
total_put_oi,45
hv_iv_ratio_5d,43
skew_10d,43
open_drive_strength,43
rsp_spy_ratio_20d_chg,42
eem_spx_ratio_chg_20d,42
total_call_oi,42
intraday_range_vs_atr,41
iwm_spx_ratio_chg_5d,41
vvix_zscore_21d,40
gold_trend,40
vix1d_close,40
iv_smile_curve,39
vix1d_zscore_21d,39
first_15m_return_pct,39
breadth_thrust_cumulative_5d,38
tlt_ret_20d,38
atm_iv_zscore_21d,38
gold_chg_20d,38
dxy_trend,38
oil_trend,38
rsi_14,38
iv_ts_slope_0_14,37
first_30m_return_pct,37
net_vanna_exposure,37
net_charm_exposure,37
ts_slope_7_14,37
net_vanna_normalized,36
net_gex,36
first_30m_range_pct,36
vix_vxv_zscore_21d,36
gex_regime_duration,35
xle_spy_ret_spread_1d,35
gex_regime_prob_trans,35
vol_regime_persistence,35
rv_iv_spread_20d,33
pc_oi_ratio,33
atm_put_close,33
days_into_quarter,33
rsp_spy_ratio_5d_chg,33
atm_call_open,33
close_vs_sma_100,32
bb_pct_b,32
vix1d_vs_sma_20,32
ts_slope_0_7,32
max_pain_distance_pct,32
vix_vs_sma_20,32
yield_10y_chg_5d,31
spx_vs_sma_20d,31
gex_imbalance,31
ic_credit_150,31
yield_spread_2y10y_chg_5d,31
yield_2y_chg_5d,31
skew_25d_21d_std,31
put_wall,31
rsp_spy_ratio_zscore_21d,31
oil_chg_20d,30
bb_bandwidth,30
credit_stress_chg_20d,30
entry_minute,29
yz_hv_5d,29
ts_7dte_atm_mid,29
rv_iv_spread_10d,29
ic_credit_100,29
atm_iv_5d_std,29
yield_10y_chg_63d,28
wti_crude,28
ic_credit_50,28
days_to_next_gdp,28
max_pain_strike,28
ts_30dte_atm_mid,27
dxy_chg_5d,27
spx_ret_60d,27
hv_iv_ratio_10d,27
efficiency_ratio,26
max_pain_distance_pts,26
atr_pct,26
day_of_month,26
dxy_chg_20d,26
regime_prob_highvol,26
days_to_next_cpi,26
bb_bandwidth_pctile,26
iv_25d_call,25
dxy_broad,25
iwm_spy_ret_spread_20d,24
yield_spread_2y10y_chg_63d,24
vvix_vs_vix_ratio,24
net_charm_normalized,24
call_wall,23
gex_regime_prob_neg,23
