feature,importance
intraday_range_pct,0.02167892
atm_iv_5d_mean,0.021296803
net_charm_exposure,0.018480027
iv_10d_put,0.01363671
max_pain_distance_pct,0.013226255
iv_25d_call,0.013138972
iv_ts_slope_0_14,0.012721519
vix1d_vs_sma_20,0.012520437
iv_ts_slope_0_7,0.0125003625
skew_25d_21d_mean,0.011869009
iv_25d_put,0.011623039
orb_containment,0.011414322
qqq_spx_ratio_chg_5d,0.010731434
vix_term_structure_slope,0.010423526
total_call_volume,0.010147371
close_vs_sma_100,0.0100771105
pc_oi_ratio,0.010063235
gold_trend,0.009900149
yz_hv_5d,0.00959052
gex_regime_switch,0.008529177
max_pain_distance_pts,0.008467842
total_put_volume,0.008460422
vix1d_vs_sma_5,0.00843949
rv_iv_spread_10d,0.008343988
yield_2y_chg_63d,0.008169852
close_vs_sma_50,0.008103333
hv_iv_ratio_5d,0.007988805
atm_call_open,0.007775202
spx_iwm_ratio_chg_5d,0.0077226395
rsp_spy_ratio_5d_chg,0.0074379235
atm_call_close,0.0073971595
atm_iv_21d_std,0.007353492
open_to_close_pct,0.007276627
net_charm_normalized,0.0072235246
rv_iv_spread_20d,0.0072044255
skew_25d_21d_std,0.0070532644
atm_put_close,0.006988022
gex_regime_duration,0.0069662733
vvix_ma20,0.0068975235
vix_vxv_zscore_21d,0.0068107834
ts_slope_7_14,0.0067485715
vix1d_zscore_21d,0.006685013
vvix_zscore_21d,0.0066652317
bb_pct_b,0.006656093
first_30m_return_pct,0.0066464585
dxy_broad,0.0066271517
close_vs_sma_20,0.0065742577
vix_vs_sma_10,0.006464984
choppiness_14,0.0064189737
rsp_spy_ratio_20d_chg,0.0064018304
tlt_spx_corr_20d,0.006400258
range_exhaustion,0.006383454
ts_slope_0_7,0.0063763373
oil_chg_20d,0.0063588778
xlf_spy_ret_spread_1d,0.006350829
yield_10y_chg_63d,0.0063248123
atm_iv,0.0063156616
yield_10y_chg_5d,0.0062974957
days_to_next_any_econ,0.006259565
yield_2y_chg_21d,0.0062180064
dxy_chg_20d,0.0062156008
iwm_spy_ret_spread_20d,0.0060725757
intraday_range_vs_atr,0.006011483
skew_25d_zscore_21d,0.0059365043
spx_ret_60d,0.0058025634
zero_gamma_level,0.00577741
yield_10y_chg_21d,0.0056881085
put_wall_distance,0.005650009
vix1d_vs_vix,0.0055984193
bb_bandwidth_pctile,0.0055938833
credit,0.0055496073
qqq_spx_ratio_chg_20d,0.005499762
efficiency_ratio,0.0054106307
regime_prob_highvol,0.0053628115
skew_25d_5d_std,0.005334704
entry_hour,0.005256698
spx_ret_20d,0.0052119065
day_of_month,0.005198186
spx_vs_vwap,0.0051926444
net_vanna_exposure,0.005139009
skew_25d,0.00513409
call_wall,0.005110166
gap_pct,0.005094922
ts_slope_0_30,0.005084174
net_gex,0.0050725085
skew_10d,0.005064467
gold_chg_5d,0.0050083697
yz_hv_30d,0.004978308
garman_klass_rv_30m,0.0048784
bb_bandwidth,0.0048504905
breadth_thrust_cumulative_5d,0.0048475415
strat_IC_45d_25w,0.0047753872
yield_spread_2y10y_chg_63d,0.004747867
rvol_intraday_vs_5d,0.0047217864
atr_pct,0.0047212318
first_15m_return_pct,0.004715967
vol_regime_persistence,0.0047091986
rsp_spy_ratio_zscore_21d,0.0046721115
vanna_charm_ratio,0.0046661356
atm_iv_zscore_21d,0.004654972
intraday_ma15_vs_sma_20d,0.0046338458
ts_iv_7dte,0.0045298073
strat_IC_40d_25w,0.004449111
iv_smile_curve,0.0044316403
rvol_intraday_vs_20d,0.0044155447
tlt_ret_5d,0.0043990677
max_pain_strike,0.0043989816
ig_spread,0.004382088
orb_breakout_dir,0.004362844
rvol_30m,0.004352389
spx_vs_sma_20d,0.004338712
dxy_trend,0.0043257456
oil_chg_5d,0.004299882
atm_iv_21d_mean,0.0042725783
total_put_oi,0.004244554
rsi_14,0.004188938
atm_straddle_open,0.0041800207
time_sin,0.0041650143
minutes_since_open,0.00411158
spx_open,0.0040865866
credit_stress_chg_20d,0.0040834974
qqq_spx_ratio,0.004079107
tlt_ret_20d,0.0040622014
open_drive_strength,0.0039056805
dxy_ma20,0.0038938352
dxy_chg_5d,0.003891133
atm_iv_5d_std,0.003771399
xle_spy_ret_spread_1d,0.0037519664
vix1d_close,0.0037157
call_wall_distance,0.0037129717
ts_7dte_atm_mid,0.0037106802
oi_concentration,0.0036707052
is_earnings_nvda,0.00363713
spx_vs_sma_180d,0.0035208345
gex_regime_prob_pos,0.0034670662
fed_funds_chg_21d,0.0034484619
pc_volume_ratio,0.0033753968
gold_chg_20d,0.003356602
close_vs_ema_5,0.0033471445
net_vanna_normalized,0.0033285476
xlk_spy_ret_spread_1d,0.0033117423
days_to_next_cpi,0.0032811072
skew_25d_5d_mean,0.0032711413
intraday_ma15_vs_sma_7d,0.0031743364
hv_iv_ratio_10d,0.003024999
iv_10d_call,0.0030242365
gex_imbalance,0.003002799
tlt_spx_ratio_chg_5d,0.002975082
vix_vxv_ratio,0.002946042
iv_rank_30d,0.002944642
spx_ret_5d,0.0029302074
vix_open,0.0028952372
gold_fix_am,0.0028919505
spx_iwm_ratio,0.0028898036
strat_IC_05d_25w,0.0027383177
