strategy,exit_slip,skip_rate,optimization,total_return_pct,max_drawdown_pct,sharpe,win_rate,n_trades,trades_per_day,final_portfolio,avg_pnl
1,0.0,0.05,joint,263.02,78.62,2.5,68.3,249,2.35,36302.3,105.63
1,0.0,0.1,joint,349.9,79.18,2.73,67.5,243,2.29,44990.4,143.99
1,0.0,0.2,joint,285.49,83.59,2.56,67.8,230,2.17,38549.4,124.13
1,0.0,0.3,joint,777.77,78.27,3.46,68.4,228,2.15,87777.3,341.13
1,0.0,0.4,joint,259.66,86.32,2.46,67.6,222,2.09,35966.1,116.96
1,0.1,0.05,joint,24.49,84.5,1.22,52.6,249,2.35,12448.8,9.83
1,0.1,0.1,joint,44.83,83.52,1.43,53.5,243,2.29,14482.9,18.45
1,0.1,0.2,joint,82.87,86.46,1.71,56.1,230,2.17,18286.6,36.03
1,0.1,0.3,joint,157.47,83.87,2.13,58.8,228,2.15,25747.2,69.07
1,0.1,0.4,joint,78.91,88.87,1.69,60.4,222,2.09,17890.9,35.54
1,0.2,0.05,joint,-11.24,81.31,0.71,39.0,249,2.35,8876.2,-4.51
1,0.2,0.1,joint,-7.81,80.17,0.75,40.3,243,2.29,9218.9,-3.21
1,0.2,0.2,joint,18.09,85.07,1.15,44.3,230,2.17,11809.0,7.87
1,0.2,0.3,joint,35.27,87.09,1.36,48.7,228,2.15,13526.8,15.47
1,0.2,0.4,joint,-76.58,88.81,-1.47,51.3,119,1.12,2342.1,-64.35
1,0.3,0.05,joint,-75.98,83.44,-1.76,25.7,136,1.28,2401.9,-55.87
1,0.3,0.1,joint,-80.75,86.73,-2.04,28.9,114,1.08,1925.1,-70.83
1,0.3,0.2,joint,-75.35,85.68,-1.74,31.1,122,1.15,2465.3,-61.76
1,0.3,0.3,joint,-14.56,84.41,0.64,37.7,228,2.15,8543.8,-6.39
1,0.3,0.4,joint,-77.35,86.98,-1.61,36.5,104,0.98,2264.6,-74.38
2,0.0,0.05,joint,205.14,66.33,2.34,78.7,973,9.18,30513.7,21.08
2,0.0,0.1,joint,267.28,66.41,2.55,78.7,984,9.28,36728.3,27.16
2,0.0,0.2,joint,334.83,67.02,2.81,80.0,1010,9.53,43482.9,33.15
2,0.0,0.3,joint,353.96,64.1,2.88,79.6,1004,9.47,45395.6,35.25
2,0.0,0.4,joint,151.28,73.27,2.11,79.3,846,7.98,25127.8,17.88
2,0.1,0.05,joint,50.4,71.67,1.43,61.3,563,5.31,15040.1,8.95
2,0.1,0.1,joint,28.69,77.47,1.24,61.6,498,4.7,12868.9,5.76
2,0.1,0.2,joint,67.36,76.61,1.6,64.7,558,5.26,16735.6,12.07
2,0.1,0.3,joint,139.42,66.74,2.05,68.8,699,6.59,23942.3,19.95
2,0.1,0.4,joint,34.29,77.75,1.3,64.6,452,4.26,13428.8,7.59
2,0.2,0.05,joint,-28.78,78.64,0.4,44.0,386,3.64,7122.2,-7.46
2,0.2,0.1,joint,-20.75,80.02,0.53,45.7,405,3.82,7925.1,-5.12
2,0.2,0.2,joint,-8.54,83.09,0.82,49.6,393,3.71,9146.3,-2.17
2,0.2,0.3,joint,5.33,78.85,0.95,52.8,396,3.74,10532.7,1.35
2,0.2,0.4,joint,-16.98,80.84,0.65,52.0,331,3.12,8302.5,-5.13
2,0.3,0.05,joint,-77.04,82.33,-2.27,33.5,203,1.92,2295.9,-37.95
2,0.3,0.1,joint,-45.76,80.35,-0.03,36.2,356,3.36,5423.7,-12.85
2,0.3,0.2,joint,-75.27,81.05,-1.67,36.5,222,2.09,2472.7,-33.91
2,0.3,0.3,joint,-20.25,78.28,0.48,43.4,355,3.35,7975.5,-5.7
2,0.3,0.4,joint,-75.96,81.53,-2.07,40.2,179,1.69,2404.2,-42.43
