sim_key,date,portfolio
S1_slip0.00_skip0.10,start,10000.0
S1_slip0.00_skip0.10,2025-09-26,13488.400000000001
S1_slip0.00_skip0.10,2025-09-29,15128.7
S1_slip0.00_skip0.10,2025-09-30,15128.7
S1_slip0.00_skip0.10,2025-10-01,15128.7
S1_slip0.00_skip0.10,2025-10-02,17420.1
S1_slip0.00_skip0.10,2025-10-03,17420.1
S1_slip0.00_skip0.10,2025-10-06,14568.9
S1_slip0.00_skip0.10,2025-10-07,14568.9
S1_slip0.00_skip0.10,2025-10-08,13180.4
S1_slip0.00_skip0.10,2025-10-09,13180.4
S1_slip0.00_skip0.10,2025-10-10,11328.4
S1_slip0.00_skip0.10,2025-10-13,15144.099999999999
S1_slip0.00_skip0.10,2025-10-14,15144.099999999999
S1_slip0.00_skip0.10,2025-10-15,15144.099999999999
S1_slip0.00_skip0.10,2025-10-16,15144.099999999999
S1_slip0.00_skip0.10,2025-10-17,15144.099999999999
S1_slip0.00_skip0.10,2025-10-20,12922.899999999998
S1_slip0.00_skip0.10,2025-10-21,14384.399999999998
S1_slip0.00_skip0.10,2025-10-22,14384.399999999998
S1_slip0.00_skip0.10,2025-10-23,14384.399999999998
S1_slip0.00_skip0.10,2025-10-24,18882.199999999997
S1_slip0.00_skip0.10,2025-10-27,21779.199999999997
S1_slip0.00_skip0.10,2025-10-28,21779.199999999997
S1_slip0.00_skip0.10,2025-10-29,21779.199999999997
S1_slip0.00_skip0.10,2025-10-30,21779.199999999997
S1_slip0.00_skip0.10,2025-10-31,21779.199999999997
S1_slip0.00_skip0.10,2025-11-03,28168.3
S1_slip0.00_skip0.10,2025-11-04,22216.299999999996
S1_slip0.00_skip0.10,2025-11-05,23274.699999999997
S1_slip0.00_skip0.10,2025-11-06,23274.699999999997
S1_slip0.00_skip0.10,2025-11-07,23274.699999999997
S1_slip0.00_skip0.10,2025-11-10,23274.699999999997
S1_slip0.00_skip0.10,2025-11-11,16161.099999999999
S1_slip0.00_skip0.10,2025-11-12,16161.099999999999
S1_slip0.00_skip0.10,2025-11-13,16161.099999999999
S1_slip0.00_skip0.10,2025-11-14,16161.099999999999
S1_slip0.00_skip0.10,2025-11-17,16161.099999999999
S1_slip0.00_skip0.10,2025-11-18,12709.899999999998
S1_slip0.00_skip0.10,2025-11-19,12709.899999999998
S1_slip0.00_skip0.10,2025-11-20,12709.899999999998
S1_slip0.00_skip0.10,2025-11-21,12709.899999999998
S1_slip0.00_skip0.10,2025-11-24,12709.899999999998
S1_slip0.00_skip0.10,2025-11-25,12709.899999999998
S1_slip0.00_skip0.10,2025-11-26,10146.399999999998
S1_slip0.00_skip0.10,2025-11-28,12550.800000000003
S1_slip0.00_skip0.10,2025-12-01,12012.600000000002
S1_slip0.00_skip0.10,2025-12-02,12012.600000000002
S1_slip0.00_skip0.10,2025-12-03,8161.800000000002
S1_slip0.00_skip0.10,2025-12-04,10770.600000000002
S1_slip0.00_skip0.10,2025-12-05,10770.600000000002
S1_slip0.00_skip0.10,2025-12-08,10770.600000000002
S1_slip0.00_skip0.10,2025-12-09,10770.600000000002
S1_slip0.00_skip0.10,2025-12-10,10770.600000000002
S1_slip0.00_skip0.10,2025-12-11,10770.600000000002
S1_slip0.00_skip0.10,2025-12-12,10770.600000000002
S1_slip0.00_skip0.10,2025-12-15,11299.800000000003
S1_slip0.00_skip0.10,2025-12-16,10399.000000000002
S1_slip0.00_skip0.10,2025-12-17,10399.000000000002
S1_slip0.00_skip0.10,2025-12-18,10399.000000000002
S1_slip0.00_skip0.10,2025-12-19,13217.400000000001
S1_slip0.00_skip0.10,2025-12-22,15453.900000000001
S1_slip0.00_skip0.10,2025-12-23,10021.500000000002
S1_slip0.00_skip0.10,2025-12-24,10021.500000000002
S1_slip0.00_skip0.10,2025-12-26,11409.900000000003
S1_slip0.00_skip0.10,2025-12-29,10607.100000000004
S1_slip0.00_skip0.10,2025-12-30,12875.500000000005
S1_slip0.00_skip0.10,2025-12-31,13498.500000000005
S1_slip0.00_skip0.10,2026-01-02,13498.500000000005
S1_slip0.00_skip0.10,2026-01-05,15760.000000000005
S1_slip0.00_skip0.10,2026-01-06,15760.000000000005
S1_slip0.00_skip0.10,2026-01-07,15760.000000000005
S1_slip0.00_skip0.10,2026-01-08,18909.900000000005
S1_slip0.00_skip0.10,2026-01-09,18909.900000000005
S1_slip0.00_skip0.10,2026-01-12,21113.500000000004
S1_slip0.00_skip0.10,2026-01-13,26372.600000000006
S1_slip0.00_skip0.10,2026-01-14,26372.600000000006
S1_slip0.00_skip0.10,2026-01-15,31445.600000000006
S1_slip0.00_skip0.10,2026-01-16,40966.600000000006
S1_slip0.00_skip0.10,2026-01-20,43287.600000000006
S1_slip0.00_skip0.10,2026-01-21,43287.600000000006
S1_slip0.00_skip0.10,2026-01-22,49583.600000000006
S1_slip0.00_skip0.10,2026-01-23,56279.600000000006
S1_slip0.00_skip0.10,2026-01-26,59698.600000000006
S1_slip0.00_skip0.10,2026-01-27,59698.600000000006
S1_slip0.00_skip0.10,2026-01-28,59698.600000000006
S1_slip0.00_skip0.10,2026-01-29,59698.600000000006
S1_slip0.00_skip0.10,2026-01-30,59698.600000000006
S1_slip0.00_skip0.10,2026-02-02,59698.600000000006
S1_slip0.00_skip0.10,2026-02-03,59698.600000000006
S1_slip0.00_skip0.10,2026-02-04,59698.600000000006
S1_slip0.00_skip0.10,2026-02-05,59698.600000000006
S1_slip0.00_skip0.10,2026-02-06,59698.600000000006
S1_slip0.00_skip0.10,2026-02-09,59698.600000000006
S1_slip0.00_skip0.10,2026-02-10,64646.600000000006
S1_slip0.00_skip0.10,2026-02-11,64646.600000000006
S1_slip0.00_skip0.10,2026-02-12,64646.600000000006
S1_slip0.00_skip0.10,2026-02-13,64646.600000000006
S1_slip0.00_skip0.10,2026-02-17,65694.6
S1_slip0.00_skip0.10,2026-02-18,71842.6
S1_slip0.00_skip0.10,2026-02-19,79788.6
S1_slip0.00_skip0.10,2026-02-20,79788.6
S1_slip0.00_skip0.10,2026-02-23,79788.6
S1_slip0.00_skip0.10,2026-02-24,79788.6
S1_slip0.00_skip0.10,2026-02-25,79788.6
S1_slip0.00_skip0.10,2026-02-26,79788.6
S1_slip0.00_skip0.10,2026-02-27,79788.6
S1_slip0.00_skip0.11,start,10000.0
S1_slip0.00_skip0.11,2025-09-26,13488.400000000001
S1_slip0.00_skip0.11,2025-09-29,15128.7
S1_slip0.00_skip0.11,2025-09-30,15128.7
S1_slip0.00_skip0.11,2025-10-01,15128.7
S1_slip0.00_skip0.11,2025-10-02,17420.1
S1_slip0.00_skip0.11,2025-10-03,17420.1
S1_slip0.00_skip0.11,2025-10-06,14568.9
S1_slip0.00_skip0.11,2025-10-07,14568.9
S1_slip0.00_skip0.11,2025-10-08,13180.4
S1_slip0.00_skip0.11,2025-10-09,13180.4
S1_slip0.00_skip0.11,2025-10-10,8364.900000000001
S1_slip0.00_skip0.11,2025-10-13,11301.0
S1_slip0.00_skip0.11,2025-10-14,11301.0
S1_slip0.00_skip0.11,2025-10-15,11301.0
S1_slip0.00_skip0.11,2025-10-16,11301.0
S1_slip0.00_skip0.11,2025-10-17,11301.0
S1_slip0.00_skip0.11,2025-10-20,9820.2
S1_slip0.00_skip0.11,2025-10-21,10697.1
S1_slip0.00_skip0.11,2025-10-22,10697.1
S1_slip0.00_skip0.11,2025-10-23,10697.1
S1_slip0.00_skip0.11,2025-10-24,14367.8
S1_slip0.00_skip0.11,2025-10-27,16465.6
S1_slip0.00_skip0.11,2025-10-28,16465.6
S1_slip0.00_skip0.11,2025-10-29,16465.6
S1_slip0.00_skip0.11,2025-10-30,16465.6
S1_slip0.00_skip0.11,2025-10-31,16465.6
S1_slip0.00_skip0.11,2025-11-03,21355.499999999996
S1_slip0.00_skip0.11,2025-11-04,16593.899999999994
S1_slip0.00_skip0.11,2025-11-05,17387.699999999993
S1_slip0.00_skip0.11,2025-11-06,17387.699999999993
S1_slip0.00_skip0.11,2025-11-07,17387.699999999993
