Time,SC,SP,LC,LP,Debit,Credit_Now,PnL%
12:20,0.725,0.925,0.07500000000000001,0.225,1.35,1.35,0.0
12:21,0.625,1.025,0.07500000000000001,0.225,1.35,1.35,0.0
12:22,0.525,1.1,0.07500000000000001,0.225,1.32,1.32,1.9
12:23,0.55,1.05,0.07500000000000001,0.225,1.3,1.3,3.7
12:24,0.525,1.1,0.07500000000000001,0.225,1.32,1.32,1.9
12:25,0.475,1.2,0.07500000000000001,0.25,1.35,1.35,0.0
12:26,0.375,1.45,0.05,0.3,1.48,1.48,-9.3
12:27,0.375,1.525,0.07500000000000001,0.3,1.52,1.52,-13.0
12:28,0.42500000000000004,1.4,0.05,0.275,1.5,1.5,-11.1
12:29,0.42500000000000004,1.3,0.05,0.275,1.4,1.4,-3.7
12:30,0.42500000000000004,1.3250000000000002,0.05,0.3,1.4,1.4,-3.7
12:31,0.35,1.55,0.05,0.32499999999999996,1.52,1.52,-13.0
12:32,0.32499999999999996,1.525,0.05,0.32499999999999996,1.48,1.48,-9.3
12:33,0.35,1.5,0.07500000000000001,0.32499999999999996,1.45,1.45,-7.4
12:34,0.32499999999999996,1.6,0.07500000000000001,0.32499999999999996,1.52,1.52,-13.0
12:35,0.3,1.6749999999999998,0.025,0.32499999999999996,1.62,1.62,-20.4
12:36,0.275,1.775,0.025,0.32499999999999996,1.7,1.7,-25.9
12:37,0.3,1.55,0.05,0.32499999999999996,1.48,1.48,-9.3
12:38,0.32499999999999996,1.5,0.05,0.32499999999999996,1.45,1.45,-7.4
12:39,0.275,1.725,0.05,0.32499999999999996,1.62,1.62,-20.4
12:40,0.275,1.775,0.07500000000000001,0.32499999999999996,1.65,1.65,-22.2
12:41,0.275,1.65,0.07500000000000001,0.32499999999999996,1.52,1.52,-13.0
12:42,0.275,1.775,0.05,0.32499999999999996,1.67,1.67,-24.1
12:43,0.275,1.775,0.05,0.32499999999999996,1.67,1.67,-24.1
12:44,0.275,1.7,0.05,0.32499999999999996,1.6,1.6,-18.5
12:45,0.225,1.85,0.025,0.32499999999999996,1.72,1.72,-27.8
12:46,0.225,2.375,0.025,0.42500000000000004,2.15,2.15,-59.3
12:47,0.175,2.45,0.025,0.42500000000000004,2.17,2.17,-61.1
12:48,0.175,3.0250000000000004,0.025,0.5,2.68,2.68,-98.1
12:49,0.125,2.775,0.025,0.42500000000000004,2.45,2.45,-81.5
12:50,0.125,2.9000000000000004,0.025,0.475,2.53,2.53,-87.0
12:51,0.125,3.0250000000000004,0.025,0.45,2.68,2.68,-98.1
12:52,0.125,3.05,0.025,0.475,2.68,2.68,-98.1
12:53,0.175,2.5250000000000004,0.025,0.375,2.3,2.3,-70.4
12:54,0.125,2.7,0.025,0.375,2.43,2.43,-79.6
12:55,0.125,2.6500000000000004,0.025,0.4,2.35,2.35,-74.1
12:56,0.125,2.95,0.025,0.42500000000000004,2.62,2.62,-94.4
12:57,0.125,2.725,0.025,0.4,2.42,2.42,-79.6
12:58,0.125,2.8499999999999996,0.025,0.4,2.55,2.55,-88.9
12:59,0.125,2.2,0.025,0.32499999999999996,1.98,1.98,-46.3
13:00,0.125,2.5,0.025,0.35,2.25,2.25,-66.7
13:01,0.125,2.75,0.025,0.375,2.48,2.48,-83.3
13:02,0.125,2.775,0.025,0.375,2.5,2.5,-85.2
13:03,0.125,2.5999999999999996,0.025,0.35,2.35,2.35,-74.1
13:04,0.125,2.7,0.025,0.35,2.45,2.45,-81.5
13:05,0.125,2.6500000000000004,0.025,0.375,2.38,2.38,-75.9
13:06,0.175,2.5999999999999996,0.025,0.32499999999999996,2.42,2.42,-79.6
13:07,0.15000000000000002,2.475,0.025,0.32499999999999996,2.28,2.28,-68.5
13:08,0.125,2.5999999999999996,0.025,0.32499999999999996,2.37,2.37,-75.9
13:09,0.125,3.05,0.025,0.375,2.78,2.78,-105.6
13:10,0.1,3.2,0.025,0.375,2.9,2.9,-114.8
