current_feature,proposed_v1_2_name
christmas_week,christmas_week
credit,credit
cycle_month,cycle_month
cycle_quarter,cycle_quarter
cycle_year,cycle_year
daily_prior_atm_iv_21day_mean,daily_prior_atm_iv_21day_mean
daily_prior_atm_iv_21day_std,daily_prior_atm_iv_21day_std
daily_prior_atm_iv_5day_mean,daily_prior_atm_iv_5day_mean
daily_prior_atm_iv_5day_std,daily_prior_atm_iv_5day_std
daily_prior_atm_iv_zscore_21day,daily_prior_atm_iv_zscore_21day
daily_prior_atr_pct,daily_prior_atr_pct
daily_prior_bb_bandwidth,daily_prior_bb_bandwidth
daily_prior_bb_bandwidth_pctile,daily_prior_bb_bandwidth_pctile
daily_prior_bb_pct_b,daily_prior_bb_pct_b
daily_prior_breadth_thrust_cumulative_5day,daily_prior_breadth_thrust_cumulative_5day
daily_prior_choppiness_14day,daily_prior_choppiness_14day
daily_prior_close_ratio_ema_20day,daily_prior_close_ratio_ema_20day
daily_prior_close_ratio_ema_5day,daily_prior_close_ratio_ema_5day
daily_prior_close_ratio_sma_100day,daily_prior_close_ratio_sma_100day
daily_prior_close_ratio_sma_10day,daily_prior_close_ratio_sma_10day
daily_prior_close_ratio_sma_200day,daily_prior_close_ratio_sma_200day
daily_prior_close_ratio_sma_20day,daily_prior_close_ratio_sma_20day
daily_prior_close_ratio_sma_50day,daily_prior_close_ratio_sma_50day
daily_prior_close_ratio_sma_5day,daily_prior_close_ratio_sma_5day
daily_prior_credit_stress,daily_prior_credit_stress
daily_prior_credit_stress_chg_20d,daily_prior_credit_stress_chg_20day
daily_prior_dxy_broad,daily_prior_dxy_broad
daily_prior_dxy_chg_20d,daily_prior_dxy_chg_20day
daily_prior_dxy_chg_5d,daily_prior_dxy_chg_5day
daily_prior_dxy_ma20,daily_prior_dxy_ma20
daily_prior_dxy_trend,daily_prior_dxy_trend
daily_prior_eem_spx_ratio,daily_prior_eem_spx_ratio
daily_prior_eem_spx_ratio_chg_20d,daily_prior_eem_spx_ratio_chg_20day
daily_prior_eem_spx_ratio_chg_5d,daily_prior_eem_spx_ratio_chg_5day
daily_prior_efficiency_ratio,daily_prior_efficiency_ratio
daily_prior_fed_funds_chg_21d,daily_prior_fed_funds_chg_21day
daily_prior_fed_funds_rate,daily_prior_fed_funds_rate
daily_prior_fed_policy_direction,daily_prior_fed_policy_direction
daily_prior_gold_chg_20d,daily_prior_gold_chg_20day
daily_prior_gold_chg_5d,daily_prior_gold_chg_5day
daily_prior_gold_fix_am,daily_prior_gold_fix_am
daily_prior_gold_ma20,daily_prior_gold_ma20
daily_prior_gold_trend,daily_prior_gold_trend
daily_prior_hv_iv_ratio_10day,daily_prior_hv_iv_ratio_10day
daily_prior_hv_iv_ratio_20day,daily_prior_hv_iv_ratio_20day
daily_prior_hv_iv_ratio_30day,daily_prior_hv_iv_ratio_30day
daily_prior_hv_iv_ratio_5day,daily_prior_hv_iv_ratio_5day
daily_prior_hy_spread,daily_prior_hy_spread
daily_prior_ig_spread,daily_prior_ig_spread
daily_prior_iv_rank_30d,daily_prior_iv_rank_30day
daily_prior_iv_rv_ratio,daily_prior_iv_rv_ratio
daily_prior_iwm_spx_ratio_chg_20d,daily_prior_iwm_spx_ratio_chg_20day
daily_prior_iwm_spx_ratio_chg_5d,daily_prior_iwm_spx_ratio_chg_5day
daily_prior_iwm_spy_ret_spread_20d,daily_prior_iwm_spy_ret_spread_20day
daily_prior_macd_hist,daily_prior_macd_hist
daily_prior_oil_chg_20d,daily_prior_oil_chg_20day
daily_prior_oil_chg_5d,daily_prior_oil_chg_5day
daily_prior_oil_ma20,daily_prior_oil_ma20
daily_prior_oil_trend,daily_prior_oil_trend
daily_prior_open_to_close_pct,daily_prior_open_to_close_pct
daily_prior_pc_volume_ratio,daily_prior_pc_volume_ratio
daily_prior_qqq_spx_ratio,daily_prior_qqq_spx_ratio
daily_prior_qqq_spx_ratio_chg_20d,daily_prior_qqq_spx_ratio_chg_20day
daily_prior_qqq_spx_ratio_chg_5d,daily_prior_qqq_spx_ratio_chg_5day
daily_prior_range_pct,daily_prior_range_pct
daily_prior_regime_duration,daily_prior_regime_duration
daily_prior_regime_prob_highvol,daily_prior_regime_prob_highvol
daily_prior_regime_state,daily_prior_regime_state
daily_prior_regime_switch,daily_prior_regime_switch
daily_prior_rsi_14day,daily_prior_rsi_14day
daily_prior_rsp_spy_ratio,daily_prior_rsp_spy_ratio
daily_prior_rsp_spy_ratio_20d_chg,daily_prior_rsp_spy_ratio_20day_chg
daily_prior_rsp_spy_ratio_5d_chg,daily_prior_rsp_spy_ratio_5day_chg
daily_prior_rsp_spy_ratio_zscore_21d,daily_prior_rsp_spy_ratio_zscore_21day
daily_prior_rv_iv_spread_10d,daily_prior_rv_iv_spread_10day
daily_prior_rv_iv_spread_20d,daily_prior_rv_iv_spread_20day
daily_prior_sector_divergence_count,daily_prior_sector_divergence_count
