feature,importance
minutes_since_open,948
intraday_spx_vs_vwap,682
intraday_range_exhaustion,640
daily_prior_range_pct,543
credit,470
time_cos,395
intraday_spx_vs_sma_7d,367
intraday_garman_klass_rv_30m,358
time_sin,287
intraday_spx_vs_sma_180d,275
intraday_ma15_vs_sma_7d,239
intraday_spx_vs_sma_50d,235
intraday_rvol_vs_daily_5d,224
intraday_pctB,218
intraday_spx_ret_30m,203
intraday_rvol_30m,194
intraday_spx_vs_sma_20d,174
gap_pct,132
intraday_spx_vs_ma30,125
intraday_ma15_vs_sma_20d,117
intraday_skew_25d,112
entry_hour,103
intraday_orb_range_pct,99
prior_day_oi_concentration,93
intraday_atm_put_mid,90
intraday_ts_slope_0dte_7dte,90
intraday_ts_slope_0dte_30dte,90
daily_prior_xle_spy_ret_spread_1d,86
intraday_rvol_vs_daily_20d,86
daily_prior_vix1d_vs_sma_5,84
intraday_iv_25d_put,83
entry_minute,82
intraday_iv_ts_slope_0dte_7dte,82
daily_prior_yield_spread_2y10y_chg_5d,81
intraday_iv_10d_call,80
daily_prior_eem_spx_ratio_chg_5d,80
daily_prior_skew_25d_5day_std,80
daily_prior_atm_iv_zscore_21day,79
intraday_iv_10d_put,74
prior_day_pc_oi_ratio,74
days_to_next_fomc,73
daily_prior_vvix_zscore_21d,72
strat_IC_45d_25w,72
prior_day_total_call_oi,71
daily_prior_tlt_spx_ratio_chg_5d,70
intraday_skew_10d,69
intraday_iv_smile_curve,68
open_drive_strength,68
daily_prior_xlf_spy_ret_spread_1d,67
daily_prior_skew_25d_5day_mean,67
daily_prior_open_to_close_pct,67
daily_prior_choppiness_14day,66
daily_prior_skew_25d_zscore_21day,66
daily_prior_wti_crude,66
intraday_orb_containment,65
prior_day_total_put_oi,65
intraday_spx_vs_ma15,63
daily_prior_pc_volume_ratio,63
daily_prior_vix_ratio_sma_10day,61
daily_prior_oil_chg_5d,61
intraday_rvol_15m,61
daily_prior_ts_iv_slope_7dte_14dte,60
intraday_iv_ts_slope_0dte_14dte,60
intraday_atm_call_mid,60
daily_prior_dxy_chg_5d,59
intraday_atm_iv,59
daily_prior_skew_25d_21day_mean,59
daily_prior_gold_chg_5d,56
daily_prior_atr_pct,56
days_to_next_cpi,55
daily_prior_rsp_spy_ratio_zscore_21d,54
daily_prior_spx_iwm_ratio_chg_5d,54
daily_prior_tlt_spx_corr_20d,54
daily_prior_tlt_ret_20d,53
