feature,importance
daily_prior_range_pct,0.021693274
daily_prior_ig_spread,0.015412847
intraday_iv_25d_call,0.012973526
days_to_next_any_econ,0.012327481
prev_close_gap_reversal,0.011674788
daily_prior_atm_iv_5day_mean,0.011534682
daily_prior_hv_iv_ratio_30day,0.010651741
daily_prior_rsp_spy_ratio_zscore_21d,0.009550468
daily_prior_qqq_spx_ratio_chg_5d,0.009085882
daily_prior_rsp_spy_ratio,0.008954613
daily_prior_spx_ret_5d,0.008927114
daily_prior_qqq_spx_ratio_chg_20d,0.008730258
daily_prior_tlt_spx_ratio_chg_5d,0.008724607
open_drive_strength,0.008657839
daily_prior_oil_trend,0.008314948
daily_prior_yield_10y_chg_63d,0.008290405
daily_prior_xle_spy_ret_spread_1d,0.008224599
near_qtr_end,0.008184052
intraday_atm_straddle_mid,0.007995305
intraday_ic_credit_50pt,0.007880097
day_of_week,0.007797521
daily_prior_close_ratio_sma_10day,0.007724446
intraday_atm_iv,0.0076200296
intraday_orb_containment,0.0075145047
intraday_iv_10d_call,0.0074464013
prior_day_pc_oi_ratio,0.0072189313
first_30m_range_pct,0.007090349
daily_prior_atm_iv_zscore_21day,0.006934463
daily_prior_dxy_chg_5d,0.0069058216
intraday_iv_25d_put,0.0068954844
daily_prior_vix1d_zscore_21d,0.006842974
intraday_ts_slope_0dte_7dte,0.006740519
daily_prior_close_ratio_sma_50day,0.00673626
daily_prior_rsp_spy_ratio_20d_chg,0.0063587176
daily_prior_yz_hv_10day,0.0063043637
daily_prior_gold_fix_am,0.006250991
daily_prior_iwm_spx_ratio_chg_5d,0.0062224227
daily_prior_fed_funds_chg_21d,0.0062128934
daily_prior_yield_2y_chg_5d,0.00619144
daily_prior_close_ratio_sma_100day,0.0061572674
daily_prior_vix1d_close,0.006138425
daily_prior_yield_10y_chg_5d,0.00610929
daily_prior_ts_iv_slope_7dte_14dte,0.0059843888
daily_prior_qqq_spx_ratio,0.005978503
daily_prior_regime_prob_highvol,0.0059184106
daily_prior_eem_spx_ratio_chg_20d,0.0058767353
daily_prior_eem_spx_ratio_chg_5d,0.005747504
daily_prior_skew_25d_5day_mean,0.0056488626
daily_prior_total_put_volume,0.0056219315
intraday_iv_10d_put,0.0055598216
strat_IC_45d_25w,0.0055492716
intraday_max_pain_distance_pct,0.0055414997
daily_prior_macd_hist,0.0055099963
daily_prior_oil_chg_5d,0.0055007976
intraday_iv_ts_slope_0dte_7dte,0.005497549
daily_prior_vix1d_vs_vix,0.0054162913
daily_prior_dxy_trend,0.0053823097
intraday_max_pain_distance_pts,0.005374145
intraday_skew_10d,0.0052972045
daily_prior_vix_ratio_sma_20day,0.005289875
intraday_iv_smile_curve,0.0052360296
daily_prior_yield_spread_2y10y,0.0052225045
daily_prior_yield_2y_chg_21d,0.0051825433
daily_prior_bb_bandwidth,0.0051702843
daily_prior_oil_chg_20d,0.00515133
daily_prior_bb_pct_b,0.005101209
daily_prior_atm_iv_21day_mean,0.005079691
daily_prior_vix_vxv_ratio,0.005078735
prior_day_total_call_oi,0.0050771357
daily_prior_rsi_14day,0.0050761886
days_to_next_gdp,0.0050759884
daily_prior_yield_2y,0.0050665536
daily_prior_vix1d_vs_sma_20,0.005053597
daily_prior_vix_term_structure_slope,0.00505087
vix_intraday_running_high,0.0050224937
daily_prior_yield_spread_2y10y_chg_21d,0.005001493
prior_day_max_pain_strike,0.004999367
daily_prior_hy_spread,0.0049928105
daily_prior_wti_crude,0.0049744383
daily_prior_atr_pct,0.004944326
daily_prior_pc_volume_ratio,0.0048476723
daily_prior_ts_iv_14dte,0.004820368
intraday_range_vs_atr,0.0047761127
day_of_month,0.004772627
daily_prior_vvix_vs_vix_ratio,0.0047499756
daily_prior_tlt_ret_5d,0.0047356305
daily_prior_rv_iv_spread_20d,0.0047310116
daily_prior_skew_25d_21day_mean,0.0047298693
daily_prior_open_to_close_pct,0.0047078524
daily_prior_vix1d_vs_sma_5,0.0046901484
intraday_atm_call_mid,0.0046864795
prior_day_oi_concentration,0.0046709846
daily_prior_ts_7dte_atm_mid,0.00465797
daily_prior_spx_iwm_ratio_chg_5d,0.004640948
daily_prior_gold_trend,0.0046233856
daily_prior_vvix_close,0.0045919544
days_to_next_fomc,0.0045816614
daily_prior_choppiness_14day,0.004562969
daily_prior_gold_chg_20d,0.0045182477
daily_prior_total_call_volume,0.0045046075
