strategy,exit_slip,skip_rate,optimization,total_return_pct,max_drawdown_pct,sharpe,win_rate,n_trades,n_shadow,trades_per_day,final_portfolio,avg_pnl
1,0.0,0.1,joint,1445.46,72.66,4.13,78.5,79,164,0.75,154545.8,1829.69
1,0.0,0.11,joint,1341.11,69.37,4.02,78.8,80,163,0.75,144111.0,1676.39
1,0.0,0.12,joint,1997.53,72.01,4.46,79.5,78,163,0.74,209752.7,2560.93
1,0.0,0.13,joint,1721.75,73.84,4.28,79.2,77,165,0.73,182174.9,2236.04
1,0.0,0.14,joint,1445.78,73.84,4.1,79.5,78,162,0.74,154578.2,1853.57
1,0.0,0.15,joint,1387.71,73.84,4.04,77.5,80,158,0.75,148770.6,1734.63
1,0.0,0.16,joint,1446.74,73.8,4.07,78.8,80,158,0.75,154674.1,1808.43
1,0.0,0.17,joint,1913.51,72.06,4.39,81.2,80,157,0.75,201351.5,2391.89
1,0.0,0.18,joint,1695.15,72.14,4.27,80.2,81,159,0.76,179515.4,2092.78
1,0.0,0.19,joint,2118.62,72.62,4.5,82.5,80,151,0.75,221862.5,2648.28
1,0.0,0.2,joint,1914.3,73.65,4.38,81.9,83,147,0.78,201429.8,2306.38
1,0.0,0.21,joint,2376.0,72.62,4.62,81.5,81,147,0.76,247600.4,2933.34
1,0.0,0.22,joint,1632.68,73.59,4.21,80.5,82,149,0.77,173267.6,1991.07
1,0.0,0.23,joint,1724.92,72.51,4.29,79.5,83,148,0.78,182492.0,2078.22
1,0.0,0.24,joint,1724.67,72.4,4.28,79.5,83,146,0.78,182467.0,2077.92
1,0.0,0.25,joint,1460.71,74.7,4.08,79.8,84,145,0.79,156070.7,1738.94
1,0.0,0.26,joint,1066.29,76.45,3.75,78.8,85,142,0.8,116628.7,1254.46
1,0.0,0.27,joint,2225.93,72.52,4.54,81.0,84,144,0.79,232592.7,2649.91
1,0.0,0.28,joint,1892.72,72.52,4.37,78.6,84,143,0.79,199271.7,2253.23
1,0.0,0.29,joint,2490.34,72.52,4.68,80.7,83,144,0.78,259034.5,3000.42
1,0.0,0.3,joint,3144.91,72.52,4.91,84.7,85,143,0.8,324490.5,3699.89
1,0.0,0.31,joint,2792.52,72.52,4.79,81.6,87,140,0.82,289251.6,3209.79
1,0.0,0.32,joint,2092.39,74.88,4.43,81.4,86,135,0.81,219239.0,2433.01
