strategy,exit_slip,skip_rate,optimization,total_return_pct,max_drawdown_pct,sharpe,win_rate,n_trades,trades_per_day,final_portfolio,avg_pnl
1,0.1,0.2,joint,-25.83,85.61,0.59,65.8,222,2.09,7416.9,-11.64
1,0.1,0.21,joint,-17.62,85.07,0.73,65.2,221,2.08,8238.2,-7.97
1,0.1,0.22,joint,-31.22,88.1,0.58,66.4,220,2.08,6878.0,-14.19
1,0.1,0.23,joint,-76.51,87.22,-1.42,65.5,119,1.12,2348.7,-64.3
1,0.1,0.24,joint,-36.16,85.91,0.44,66.8,220,2.08,6383.7,-16.44
1,0.1,0.25,joint,-34.58,85.08,0.46,67.4,218,2.06,6542.4,-15.86
1,0.1,0.26,joint,-75.82,84.27,-1.38,65.2,115,1.08,2417.5,-65.93
1,0.1,0.27,joint,-23.78,85.5,0.64,66.5,218,2.06,7622.2,-10.91
1,0.1,0.28,joint,-75.06,88.3,-1.3,64.1,117,1.1,2494.5,-64.15
1,0.1,0.29,joint,-8.47,86.74,0.89,65.9,211,1.99,9152.7,-4.02
1,0.1,0.3,joint,-75.69,88.41,-1.28,62.5,112,1.06,2431.5,-67.58
1,0.1,0.31,joint,-14.51,86.12,0.81,65.9,211,1.99,8548.7,-6.88
1,0.1,0.32,joint,-11.38,86.96,0.86,66.2,210,1.98,8861.6,-5.42
1,0.1,0.33,joint,-77.51,89.4,-1.39,63.1,111,1.05,2249.0,-69.83
1,0.1,0.34,joint,-78.98,90.09,-1.5,61.8,110,1.04,2101.7,-71.8
1,0.1,0.35,joint,-76.11,85.31,-1.27,64.6,99,0.93,2388.6,-76.88
1,0.1,0.36,joint,-75.98,86.51,-1.28,63.1,84,0.79,2402.4,-90.45
1,0.1,0.37,joint,-75.63,87.19,-1.03,64.3,112,1.06,2437.5,-67.52
1,0.1,0.38,joint,-75.99,90.65,-1.12,63.9,108,1.02,2401.2,-70.36
1,0.1,0.39,joint,-76.83,89.51,-1.29,63.8,94,0.89,2317.3,-81.73
1,0.1,0.4,joint,-11.82,90.83,0.91,64.9,202,1.91,8818.3,-5.85
2,0.1,0.2,joint,3.49,79.91,0.99,72.2,504,4.75,10349.4,0.69
2,0.1,0.21,joint,4.82,78.0,1.03,72.4,537,5.07,10482.0,0.9
2,0.1,0.22,joint,5.06,79.03,1.04,72.6,507,4.78,10506.5,1.0
2,0.1,0.23,joint,-35.02,84.49,0.47,71.9,359,3.39,6497.7,-9.76
2,0.1,0.24,joint,-35.6,80.22,0.39,71.6,359,3.39,6440.5,-9.92
2,0.1,0.25,joint,-15.65,79.22,0.73,72.4,453,4.27,8435.5,-3.45
2,0.1,0.26,joint,-34.33,81.34,0.39,72.4,351,3.31,6566.6,-9.78
2,0.1,0.27,joint,-27.7,83.0,0.52,72.3,404,3.81,7229.6,-6.86
2,0.1,0.28,joint,-15.56,82.97,0.73,72.4,413,3.9,8443.7,-3.77
2,0.1,0.29,joint,-14.25,85.53,0.78,72.2,410,3.87,8574.8,-3.48
2,0.1,0.3,joint,-17.49,85.09,0.73,71.9,402,3.79,8250.6,-4.35
2,0.1,0.31,joint,-16.09,84.35,0.74,71.9,402,3.79,8391.2,-4.0
2,0.1,0.32,joint,-22.01,83.81,0.65,71.8,373,3.52,7799.5,-5.9
2,0.1,0.33,joint,-20.23,84.96,0.7,72.3,393,3.71,7977.3,-5.15
2,0.1,0.34,joint,-23.72,86.72,0.65,71.5,386,3.64,7627.9,-6.15
2,0.1,0.35,joint,-30.73,81.88,0.57,70.9,337,3.18,6926.8,-9.12
2,0.1,0.36,joint,-13.0,80.33,0.84,71.4,371,3.5,8699.6,-3.51
2,0.1,0.37,joint,-13.48,80.57,0.84,71.2,371,3.5,8652.1,-3.63
2,0.1,0.38,joint,-29.6,87.91,0.58,72.3,419,3.95,7040.0,-7.06
2,0.1,0.39,joint,-28.62,86.91,0.59,70.6,378,3.57,7137.7,-7.57
2,0.1,0.4,joint,-27.72,82.42,0.54,70.3,394,3.72,7227.7,-7.04
