strategy,exit_slip,skip_rate,optimization,total_return_pct,max_drawdown_pct,sharpe,win_rate,n_trades,trades_per_day,final_portfolio,avg_pnl
1,0.1,0.0,joint,44.67,84.5,1.41,52.6,249,2.35,14466.9,17.94
1,0.1,0.2,joint,82.87,86.46,1.71,56.1,230,2.17,18286.6,36.03
1,0.1,0.21,joint,91.8,82.8,1.76,54.8,228,2.15,19179.7,40.26
1,0.1,0.22,joint,67.71,83.02,1.6,55.8,231,2.18,16770.7,29.31
1,0.1,0.23,joint,47.0,82.86,1.44,55.8,231,2.18,14700.1,20.35
1,0.1,0.24,joint,96.65,81.69,1.79,56.8,229,2.16,19664.6,42.2
1,0.1,0.25,joint,20.09,87.16,1.23,57.2,229,2.16,12009.4,8.77
1,0.1,0.26,joint,25.63,87.19,1.29,57.3,227,2.14,12562.7,11.29
1,0.1,0.27,joint,96.49,83.99,1.81,57.5,228,2.15,19649.2,42.32
1,0.1,0.28,joint,44.8,87.14,1.46,57.3,227,2.14,14480.0,19.74
1,0.1,0.29,joint,104.47,84.22,1.85,57.3,227,2.14,20446.8,46.02
1,0.1,0.3,joint,157.47,83.87,2.13,58.8,228,2.15,25747.2,69.07
1,0.1,0.31,joint,127.64,84.34,1.98,58.6,227,2.14,22764.3,56.23
1,0.1,0.32,joint,127.86,84.36,1.96,59.3,221,2.08,22786.4,57.86
1,0.1,0.33,joint,119.41,86.39,1.94,58.1,222,2.09,21941.3,53.79
1,0.1,0.34,joint,80.24,86.09,1.7,59.2,228,2.15,18023.9,35.19
1,0.1,0.35,joint,91.47,83.53,1.77,60.2,231,2.18,19147.0,39.6
1,0.1,0.36,joint,96.89,83.35,1.82,60.1,233,2.2,19688.5,41.58
1,0.1,0.37,joint,111.19,87.59,1.92,59.8,229,2.16,21118.5,48.55
1,0.1,0.38,joint,120.12,87.5,1.94,59.2,223,2.1,22011.8,53.86
1,0.1,0.39,joint,128.61,85.94,1.98,59.5,220,2.08,22861.4,58.46
1,0.1,0.4,joint,78.91,88.87,1.69,60.4,222,2.09,17890.9,35.54
2,0.1,0.0,joint,65.59,71.67,1.56,62.0,603,5.69,16558.6,10.88
2,0.1,0.2,joint,67.36,76.61,1.6,64.7,558,5.26,16735.6,12.07
2,0.1,0.21,joint,91.14,74.98,1.77,65.4,615,5.8,19114.0,14.82
2,0.1,0.22,joint,98.24,72.93,1.8,65.7,659,6.22,19823.6,14.91
2,0.1,0.23,joint,94.87,68.47,1.78,65.3,668,6.3,19486.9,14.2
2,0.1,0.24,joint,93.62,68.54,1.77,65.8,660,6.23,19362.5,14.19
2,0.1,0.25,joint,89.06,72.53,1.75,66.1,661,6.24,18906.2,13.47
2,0.1,0.26,joint,87.75,77.2,1.75,66.5,585,5.52,18774.9,15.0
2,0.1,0.27,joint,116.37,72.36,1.92,66.4,637,6.01,21637.2,18.27
2,0.1,0.28,joint,116.02,72.51,1.91,66.5,636,6.0,21601.7,18.24
2,0.1,0.29,joint,161.05,66.77,2.16,68.1,686,6.47,26105.5,23.48
2,0.1,0.3,joint,139.42,66.74,2.05,68.8,699,6.59,23942.3,19.95
2,0.1,0.31,joint,137.18,67.06,2.04,68.5,686,6.47,23718.0,20.0
2,0.1,0.32,joint,65.84,77.25,1.56,66.4,539,5.08,16584.0,12.22
2,0.1,0.33,joint,60.11,78.65,1.52,65.3,504,4.75,16011.0,11.93
2,0.1,0.34,joint,64.26,72.73,1.54,65.9,493,4.65,16426.2,13.03
2,0.1,0.35,joint,89.52,71.12,1.74,67.5,631,5.95,18951.7,14.19
2,0.1,0.36,joint,164.75,69.18,2.18,68.4,721,6.8,26475.2,22.85
2,0.1,0.37,joint,146.33,70.86,2.09,68.2,720,6.79,24632.9,20.32
2,0.1,0.38,joint,76.47,77.96,1.67,65.9,636,6.0,17646.8,12.02
2,0.1,0.39,joint,45.42,80.97,1.42,65.4,462,4.36,14542.4,9.83
2,0.1,0.4,joint,34.29,77.75,1.3,64.6,452,4.26,13428.8,7.59
