slip,skip_rate,trades,shadow_trades,wins,win_rate,total_return_pct,max_dd_pct,sharpe,final_portfolio,avg_pnl
0.1,0.2,295,1265,252,0.8542,-90.39,105.71,1.3,961.0,-30.64
0.1,0.21,289,1248,246,0.8512,-102.63,114.8,-1.65,-262.8,-35.51
0.1,0.22,286,1239,242,0.8462,-100.9,121.12,-1.22,-89.7,-35.28
0.1,0.23,269,1232,230,0.855,-81.64,99.81,1.31,1836.2,-30.35
0.1,0.24,282,1203,237,0.8404,-77.11,92.98,-0.33,2288.6,-27.35
0.1,0.25,287,1190,246,0.8571,-71.15,87.91,-0.64,2885.1,-24.79
0.1,0.26,277,1173,239,0.8628,-64.13,80.17,-0.85,3587.1,-23.15
0.1,0.27,273,1161,238,0.8718,-63.67,79.44,-0.91,3632.9,-23.32
0.1,0.28,276,1143,239,0.8659,-71.13,88.44,-0.65,2887.3,-25.77
0.1,0.29,278,1120,237,0.8525,-90.58,96.66,-0.21,941.9,-32.58
0.1,0.3,280,1106,239,0.8536,-97.54,101.65,1.21,246.5,-34.83
0.1,0.31,277,1079,234,0.8448,-98.8,101.67,1.17,119.6,-35.67
0.1,0.32,272,1065,231,0.8493,-91.09,93.69,-0.83,890.6,-33.49
0.1,0.33,270,1046,230,0.8519,-78.79,88.51,-0.99,2121.0,-29.18
0.1,0.34,263,1042,225,0.8555,-65.3,88.8,-0.65,3469.9,-24.83
0.1,0.35,260,1036,221,0.85,-75.12,96.45,-0.12,2488.0,-28.89
0.1,0.36,257,1030,218,0.8482,-73.91,93.97,-0.55,2608.6,-28.76
0.1,0.37,254,1018,218,0.8583,-71.61,93.43,-0.54,2839.2,-28.19
0.1,0.38,251,1000,215,0.8566,-69.48,92.75,-0.37,3052.3,-27.68
0.1,0.39,254,991,221,0.8701,-54.18,78.63,-0.68,4581.7,-21.33
0.1,0.4,257,978,223,0.8677,-59.61,76.56,-0.9,4038.6,-23.2
0.2,0.2,295,1265,241,0.8169,-119.89,130.0,-1.74,-1989.0,-40.64
0.2,0.21,289,1248,235,0.8131,-131.53,138.72,-0.57,-3152.8,-45.51
0.2,0.22,286,1239,235,0.8217,-129.5,144.54,-2.52,-2949.7,-45.28
0.2,0.23,269,1232,222,0.8253,-108.54,122.3,-0.3,-853.8,-40.35
0.2,0.24,282,1203,228,0.8085,-105.31,116.38,0.73,-531.4,-37.35
0.2,0.25,287,1190,230,0.8014,-99.85,111.32,-0.53,15.1,-34.79
0.2,0.26,277,1173,229,0.8267,-91.83,102.92,0.73,817.1,-33.15
0.2,0.27,273,1161,227,0.8315,-90.97,101.19,1.18,902.9,-33.32
0.2,0.28,276,1143,229,0.8297,-98.73,110.59,0.79,127.3,-35.77
0.2,0.29,278,1120,226,0.8129,-118.38,118.82,-1.31,-1838.1,-42.58
0.2,0.3,280,1106,231,0.825,-125.54,125.46,-0.75,-2553.5,-44.83
0.2,0.31,277,1079,228,0.8231,-126.5,125.78,-1.81,-2650.4,-45.67
0.2,0.32,272,1065,225,0.8272,-118.29,117.52,0.95,-1829.4,-43.49
0.2,0.33,270,1046,224,0.8296,-105.79,110.48,-1.26,-579.0,-39.18
0.2,0.34,263,1042,220,0.8365,-91.6,110.62,1.17,839.9,-34.83
0.2,0.35,260,1036,216,0.8308,-101.12,118.67,-1.2,-112.0,-38.89
0.2,0.36,257,1030,213,0.8288,-99.61,115.77,-1.43,38.6,-38.76
0.2,0.37,254,1018,213,0.8386,-97.01,115.26,-1.3,299.2,-38.19
0.2,0.38,251,1000,209,0.8327,-94.58,114.48,-0.92,542.3,-37.68
0.2,0.39,254,991,216,0.8504,-79.58,100.49,0.78,2041.7,-31.33
0.2,0.4,257,978,218,0.8482,-85.31,98.8,0.52,1468.6,-33.2
0.3,0.2,295,1265,232,0.7864,-149.39,154.71,-2.36,-4939.0,-50.64
0.3,0.21,289,1248,225,0.7785,-160.43,163.05,-2.51,-6042.8,-55.51
0.3,0.22,286,1239,224,0.7832,-158.1,168.37,-2.07,-5809.7,-55.28
0.3,0.23,269,1232,212,0.7881,-135.44,145.14,-2.14,-3543.8,-50.35
0.3,0.24,282,1203,218,0.773,-133.51,140.15,-1.24,-3351.4,-47.35
0.3,0.25,287,1190,220,0.7666,-128.55,135.09,-1.49,-2854.9,-44.79
0.3,0.26,277,1173,220,0.7942,-119.53,126.06,0.99,-1952.9,-43.15
0.3,0.27,273,1161,218,0.7985,-118.27,123.34,-0.69,-1827.1,-43.32
0.3,0.28,276,1143,219,0.7935,-126.33,133.16,-0.78,-2632.7,-45.77
0.3,0.29,278,1120,214,0.7698,-146.18,143.83,-1.31,-4618.1,-52.58
0.3,0.3,280,1106,218,0.7786,-153.54,150.0,-1.99,-5353.5,-54.83
0.3,0.31,277,1079,217,0.7834,-154.2,150.61,-2.32,-5420.4,-55.67
0.3,0.32,272,1065,213,0.7831,-145.49,142.25,-2.16,-4549.4,-53.49
0.3,0.33,270,1046,214,0.7926,-132.79,135.34,-1.98,-3279.0,-49.18
0.3,0.34,263,1042,211,0.8023,-117.9,132.99,-1.81,-1790.1,-44.83
0.3,0.35,260,1036,206,0.7923,-127.12,141.36,-2.34,-2712.0,-48.89
0.3,0.36,257,1030,205,0.7977,-125.31,137.98,0.0,-2531.4,-48.76
0.3,0.37,254,1018,204,0.8031,-122.41,137.38,-1.27,-2240.8,-48.19
0.3,0.38,251,1000,201,0.8008,-119.68,136.42,-1.85,-1967.7,-47.68
0.3,0.39,254,991,208,0.8189,-104.98,122.56,1.01,-498.3,-41.33
0.3,0.4,257,978,210,0.8171,-111.01,121.25,-0.98,-1101.4,-43.2
