feature,importance
daily_prior_close_ratio_sma_20day,0.027587073
daily_prior_vix1d_vs_sma_20day,0.022844173
entry_hour,0.020201461
daily_prior_close_ratio_sma_100day,0.019187551
daily_prior_close_ratio_ema_20day,0.018561872
daily_prior_gold_fix_am,0.018269168
daily_prior_qqq_spx_ratio,0.01773629
daily_prior_iwm_spx_ratio_chg_20day,0.016716897
minutes_since_open,0.016330464
daily_prior_regime_duration,0.016300987
daily_prior_macd_hist,0.015840659
daily_prior_vix1d_zscore_21day,0.015672324
daily_prior_atm_iv_zscore_21day,0.015585906
daily_prior_bb_pct_b,0.014922896
daily_prior_rv_iv_spread_20day,0.014912814
daily_prior_ts_iv_7dte,0.014543005
daily_prior_qqq_spx_ratio_chg_20day,0.0142473
sc_delta,0.013773067
daily_prior_rv_iv_spread_10day,0.013518487
daily_prior_vix_vxv_zscore_21day,0.013496884
daily_prior_ts_iv_14dte,0.013443103
daily_prior_hv_iv_ratio_30day,0.013129046
daily_prior_oil_chg_20day,0.013099275
daily_prior_rsp_spy_ratio_20day_chg,0.013038639
daily_prior_vix1d_vs_sma_5day,0.012910734
time_sin,0.012698881
daily_prior_hv_iv_ratio_5day,0.012660018
sp_delta,0.01255215
daily_prior_efficiency_ratio,0.012524772
daily_prior_yield_spread_2y10y_chg_63day,0.012437017
daily_spx_open_vs_prev_close_gap_pct,0.0121821035
daily_prior_vvix_close,0.012150409
daily_prior_vix1d_close,0.01212619
daily_prior_skew_25d_zscore_21day,0.012115592
daily_prior_pc_oi_ratio,0.011579223
daily_prior_tlt_spx_ratio_chg_5day,0.011356123
day_of_month,0.011232105
daily_prior_vix1d_vs_sma_5,0.011181176
daily_prior_ts_0dte_atm_mid,0.011131041
daily_prior_vvix_zscore_21day,0.011122573
daily_prior_yield_spread_2y10y_chg_5day,0.010905487
intraday_ts_slope_0dte_30dte,0.010296963
daily_prior_tlt_ret_5day,0.010244041
intraday_ts_slope_0dte_7dte,0.010148682
prior_day_pc_oi_ratio,0.00980093
open_drive_strength,0.009796309
daily_prior_vix1d_vs_vix,0.009716773
daily_prior_gold_chg_20day,0.009455352
intraday_atm_straddle_mid,0.009422915
daily_prior_oi_concentration,0.009189057
daily_prior_dxy_chg_5day,0.008848458
daily_prior_eem_spx_ratio_chg_20day,0.008494343
daily_prior_hv_iv_ratio_10day,0.008449964
daily_prior_ts_iv_slope_7dte_14dte,0.008377246
daily_prior_oil_chg_5day,0.008235973
daily_prior_ts_7dte_atm_mid,0.008234253
time_cos,0.008213899
daily_prior_ig_spread,0.008210001
daily_prior_close_ratio_ema_5day,0.008043876
daily_prior_rsi_14day,0.007899688
first_30m_return_pct,0.00761229
daily_prior_hy_spread,0.0075310925
daily_prior_iwm_spx_ratio_chg_5day,0.00750702
day_of_week,0.00745323
daily_prior_skew_25d_5day_mean,0.007448515
daily_prior_atm_iv_5day_mean,0.0074250544
daily_prior_close_ratio_sma_50day,0.007285715
intraday_ma15_vs_sma_7day,0.007152342
daily_prior_wti_crude,0.0070881336
daily_prior_skew_25d_21day_std,0.006957167
intraday_spx_vs_sma_7day,0.006741133
daily_prior_ts_30dte_atm_mid,0.006570559
daily_prior_yield_10y_chg_63day,0.0065270937
daily_prior_range_pct,0.0062504713
daily_prior_iv_rank_30day,0.0061773313
daily_prior_iwm_spx_ratio,0.0060603954
daily_prior_vix_vxv_ratio,0.006037798
daily_prior_total_call_volume,0.0058513554
daily_prior_iv_smile_curve,0.005636498
daily_prior_dxy_chg_20day,0.0056232805
daily_prior_atm_iv_21day_std,0.0055389116
daily_prior_yield_10y,0.005446912
intraday_range_exhaustion,0.0053759776
intraday_max_pain_distance_pts,0.0051230243
entry_minute,0.005020891
credit,0.004876167
daily_prior_bb_bandwidth,0.0048519946
daily_prior_vvix_vs_vix_ratio,0.004711353
daily_prior_xlk_spy_ret_spread_1day,0.004467335
daily_prior_eem_spx_ratio_chg_5day,0.0038271043
