feature,importance
sc_delta,68
intraday_ts_slope_0dte_7dte,64
daily_prior_ts_0dte_atm_mid,57
minutes_since_open,48
intraday_ts_slope_0dte_30dte,39
daily_prior_tlt_spx_ratio_chg_5day,37
daily_spx_open_vs_prev_close_gap_pct,32
daily_prior_hv_iv_ratio_5day,28
daily_prior_vix1d_vs_sma_5,27
intraday_range_exhaustion,26
daily_prior_yield_2y_chg_5day,24
daily_prior_pc_oi_ratio,23
intraday_iv_ts_slope_0dte_7dte,23
intraday_spx_vs_sma_7day,21
intraday_ma15_vs_sma_7day,21
daily_prior_oi_concentration,20
daily_prior_oil_chg_5day,20
first_15m_return_pct,19
open_drive_strength,18
daily_prior_close_ratio_sma_20day,18
daily_prior_close_ratio_ema_5day,18
daily_prior_range_pct,17
daily_prior_rv_iv_spread_10day,17
daily_prior_vix1d_vs_sma_5day,16
intraday_max_pain_distance_pts,16
daily_prior_vix1d_vs_sma_20day,16
intraday_spx_vs_sma_180day,16
daily_prior_gold_chg_5day,16
daily_prior_vix1d_zscore_21day,14
day_of_month,14
daily_prior_dxy_trend,14
daily_prior_vix_vxv_zscore_21day,14
daily_prior_skew_25d_zscore_21day,14
daily_prior_iv_rv_ratio,14
daily_prior_tlt_ret_20day,14
time_sin,13
daily_prior_total_call_volume,13
daily_prior_macd_hist,13
daily_prior_total_put_oi,12
daily_prior_ts_iv_slope_7dte_14dte,12
intraday_atm_straddle_mid,12
daily_prior_yield_spread_2y10y_chg_5day,11
intraday_spx_vs_sma_50day,11
daily_prior_eem_spx_ratio_chg_20day,10
daily_prior_vvix_vs_vix_ratio,10
daily_prior_dxy_chg_5day,10
daily_prior_xle_spy_ret_spread_1day,10
intraday_rvol_vs_daily_5day,10
daily_prior_rv_iv_spread_20day,10
daily_prior_yield_10y_chg_63day,10
intraday_rvol_30m,10
daily_prior_close_ratio_sma_100day,10
daily_prior_iv_25d_put,10
daily_prior_spx_ret_60day,10
intraday_spx_vs_vwap,9
daily_prior_xlk_spy_ret_spread_1day,9
daily_prior_bb_bandwidth_pctile,9
daily_prior_atm_iv_5day_std,9
days_to_next_fomc,9
daily_prior_wti_crude,8
daily_prior_skew_25d_5day_std,8
intraday_iv_ts_slope_0dte_14dte,8
intraday_garman_klass_rv_30m,7
prior_day_oi_concentration,7
intraday_max_pain_distance_pct,7
daily_prior_total_put_volume,7
prior_day_pc_oi_ratio,7
daily_prior_ts_slope_0_30,6
daily_prior_gold_chg_20day,6
daily_prior_iv_rank_30day,6
daily_prior_hv_iv_ratio_30day,6
daily_prior_yield_2y_chg_21day,6
daily_prior_ts_30dte_atm_mid,6
day_of_week,6
daily_prior_yield_spread_2y10y_chg_63day,6
daily_prior_breadth_thrust_cumulative_5day,5
daily_prior_vvix_zscore_21day,5
daily_prior_yield_10y_chg_5day,5
daily_prior_regime_duration,5
daily_prior_total_call_oi,5
sp_delta,5
daily_prior_iwm_spx_ratio_chg_5day,5
daily_prior_vix_ratio_sma_10day,5
daily_prior_tlt_ret_5day,5
intraday_iv_10d_call,5
daily_prior_atm_iv,5
daily_prior_vix1d_vs_vix,5
daily_prior_qqq_spx_ratio,5
daily_prior_close_ratio_sma_200day,5
daily_prior_vix_vxv_ratio,5
vix_intraday_running_low,5
daily_prior_skew_25d,5
daily_prior_hv_iv_ratio_10day,5
intraday_range_vs_atr,4
daily_prior_rsp_spy_ratio_zscore_21day,4
daily_prior_open_to_close_pct,4
vix_intraday_prior_min_close,4
intraday_spx_vs_sma_20day,4
daily_prior_efficiency_ratio,4
daily_prior_bb_bandwidth,4
daily_prior_skew_10d,4
daily_prior_iv_10d_call,4
sp_iv,4
daily_prior_iv_10d_put,4
daily_prior_atm_iv_zscore_21day,4
daily_prior_ts_7dte_atm_mid,4
intraday_rvol_vs_daily_20day,3
spx_intraday_atm_strike,3
daily_prior_vix1d_close,3
daily_prior_close_ratio_sma_10day,3
daily_prior_ts_iv_14dte,3
daily_prior_yz_hv_5day,3
daily_prior_skew_25d_21day_std,3
intraday_atm_put_mid,3
daily_prior_vvix_ma20,3
daily_prior_yz_hv_10day,3
first_30m_return_pct,3
is_gdp_day,3
daily_prior_vix_ratio_sma_20day,3
daily_prior_vvix_close,3
daily_prior_vix_term_structure_slope,3
daily_prior_dxy_chg_20day,3
intraday_ic_credit_50pt,3
daily_prior_oil_chg_20day,3
daily_prior_yz_hv_20day,3
intraday_iv_25d_call,2
daily_prior_vix_close,2
daily_prior_iv_smile_curve,2
days_into_quarter,2
intraday_ic_credit_150pt,2
daily_prior_atm_iv_21day_std,2
intraday_orb_range_pct,2
daily_prior_yield_10y,2
daily_prior_close_ratio_ema_20day,2
prior_day_total_put_oi,2
daily_prior_gold_fix_am,2
entry_hour,2
daily_prior_oil_trend,2
daily_prior_qqq_spx_ratio_chg_5day,2
daily_prior_qqq_spx_ratio_chg_20day,2
daily_prior_regime_prob_highvol,2
intraday_skew_25d,1
daily_prior_dxy_broad,1
entry_minute,1
daily_prior_spx_ret_20day,1
daily_prior_ig_spread,1
daily_prior_iv_25d_call,1
intraday_ma15_vs_sma_20day,1
week_of_year,1
intraday_orb_breakout_dir,1
vix_intraday_running_high,1
daily_prior_credit_stress,1
daily_prior_close_ratio_sma_5day,1
daily_prior_pc_volume_ratio,1
daily_prior_yield_spread_2y10y_chg_21day,1
daily_prior_xlf_spy_ret_spread_1day,1
daily_prior_eem_spx_ratio_chg_5day,1
daily_prior_yield_10y_chg_21day,1
daily_prior_tlt_spx_ratio_chg_20day,1
daily_prior_spx_iwm_ratio_chg_5day,1
daily_prior_gold_trend,1
days_to_next_ppi,1
days_to_next_any_econ,1
daily_prior_choppiness_14day,1
daily_prior_rsp_spy_ratio_20day_chg,1
daily_prior_vol_regime_persistence,1
prior_day_max_pain_strike,1
daily_prior_rsp_spy_ratio_5day_chg,1
daily_prior_max_pain_strike,1
intraday_ic_credit_100pt,1
iv_crush_post_fomc,1
daily_prior_skew_25d_5day_mean,0
daily_prior_atm_iv_21day_mean,0
january_effect,0
month,0
daily_prior_atm_iv_5day_mean,0
midterm_year,0
near_month_end,0
near_qtr_end,0
daily_prior_skew_25d_21day_mean,0
daily_prior_hy_spread,0
daily_prior_hv_iv_ratio_20day,0
is_nfp_day,0
sc_iv,0
is_mag7_earnings_day,0
mag7_earnings_count,0
