label,delta,si_width,gap,li_width,num_trades,avg_pnl_dollar,median_pnl_dollar,total_pnl_dollar,win_rate,avg_net_credit,avg_pnl_pct,std_pnl_dollar,min_pnl_dollar,max_pnl_dollar,p5_pnl,p95_pnl,sharpe,profit_factor
d20_si25_g0_li10,0.2,25,0,10,71094,28.030718485385638,338.5999999999999,1992815.9000000064,0.7624412749317805,4.971751610543787,8.213164451266321,1550.128757356412,-35020.90000000004,3936.099999999999,-1745.8999999999774,883.6000000000003,0.28705606484948193,1.085772007719454
d20_si20_g0_li10,0.2,20,0,10,71323,26.6662058522497,328.59999999999997,1901913.8000000054,0.7592922339217363,4.82991009912651,7.954350468526755,1535.1890531707518,-35040.90000000004,3921.1,-1508.9,861.0999999999999,0.27573991209352655,1.083923378859653
d20_si10_g0_li10,0.2,10,0,10,71433,26.44972631696845,283.59999999999997,1889383.3000000075,0.7505774641972198,4.299118236669327,9.332675258884962,1500.5725450879347,-35075.90000000004,4046.1,-913.8000000000266,793.6,0.27981078945963805,1.0949532065366643
d20_si15_g0_li10,0.2,15,0,10,71259,24.56536577835795,311.09999999999997,1750503.4000000092,0.7557782174883173,4.613642824064329,8.020989301774051,1519.7297472328316,-35065.900000000045,4061.1,-1193.9,828.5999999999999,0.25660028896538145,1.0809208597516549
d20_si25_g10_li10,0.2,25,10,10,70810,24.42754554441471,283.79999999996,1729714.5000000056,0.7419291060584663,3.6227998164101116,5.349862593476841,634.5502708823924,-2357.7,1654.8000000000002,-1506.9750000000186,524.8000000000001,0.6111025110147996,1.106865546908164
d20_si25_g0_li15,0.2,25,0,15,71076,23.24976222634936,331.1,1652500.100000007,0.7592858348809725,4.807161503179695,7.719830496357742,1503.711750733671,-34650.90000000004,3756.100000000001,-1741.4,841.0999999999999,0.24544500179222983,1.072910087294614
d20_si25_g10_li15,0.2,25,10,15,70653,22.50580159370452,279.8,1590102.4000000053,0.7406196481394987,3.523332257653603,5.129110126803715,623.5346991668633,-2357.7,2589.8,-1522.2000000000253,497.30000000000007,0.5729729635190864,1.10085437371574
d15_si25_g10_li10,0.15,25,10,10,70559,22.464394336654568,212.3,1585065.2000000097,0.8035119545345031,2.5010144985047975,6.909686587565224,538.8427287120649,-2385.2,542.3,-1287.2500000000393,377.2999999999999,0.6618094401370551,1.1297436204534599
d20_si25_g5_li10,0.2,25,5,10,70981,22.20087488201073,279.8,1575840.3000000035,0.7403248756709542,3.547017694876094,4.834865121339809,620.0971120801926,-2367.7,799.7999999999997,-1458.7000000000398,509.8,0.5683431773660447,1.0985738780123722
d15_si25_g10_li15,0.15,25,10,15,70453,21.587603082906472,209.8,1520911.4000000097,0.8026911558059984,2.430030573573872,6.899516994538065,527.3651173874009,-2385.2,499.8,-1269.1999999999925,357.30000000000007,0.6498203306539705,1.1282525478060137
