label,delta,si_width,gap,li_width,num_trades,avg_pnl_dollar,median_pnl_dollar,total_pnl_dollar,win_rate,avg_net_credit,avg_pnl_pct,std_pnl_dollar,min_pnl_dollar,max_pnl_dollar,p5_pnl,p95_pnl,sharpe,profit_factor
d25_si25_g25_li30,0.25,25,25,30,44749,24.84185568392601,334.79999999999995,1111648.200000005,0.6946970882030883,4.74509378980536,4.5872969871492435,725.7630122227941,-2340.2,1317.3000000000002,-1791.2000000000255,664.8000000000001,0.5433622640293629,1.0902980407961795
d20_si25_g25_li30,0.2,25,25,30,44654,24.45274107582755,279.8,1091912.7000000034,0.748533166121736,3.5337196443767636,5.7176957615269535,645.3428338310972,-2360.2,1149.8000000000004,-1637.5499999999786,512.3000000000001,0.601502349159978,1.1079034338843163
d20_si25_g20_li30,0.2,25,20,30,44765,23.640008935552427,277.3,1058245.0000000044,0.7492684016530772,3.477462749916229,5.890254870459086,638.2027304300061,-2360.2,1197.3000000000002,-1601.7000000000146,499.7999999999999,0.5880161427013142,1.1054608572542761
d25_si25_g20_li30,0.25,25,20,30,44954,23.08347866708203,332.3,1037694.7000000055,0.6950215776126707,4.6657119944832495,4.529254943907214,718.1015904571334,-2340.2,1299.8000000000002,-1772.0500000000213,644.8000000000002,0.5102883332300001,1.0846946024524267
d15_si25_g25_li30,0.15,25,25,30,44506,22.190778771401757,209.8,987622.8000000066,0.8073742866130409,2.4367475845953357,6.804444279379992,549.2141180116706,-2387.7,939.8000000000004,-1347.9500000000098,369.8,0.6414031988893579,1.1293639310826302
d20_si25_g15_li30,0.2,25,15,30,44950,21.431813125695278,274.79999999999995,963360.0000000027,0.7484538375973304,3.3989710789766407,5.5341292054827536,628.5772582207545,-2360.2,1112.3000000000004,-1570.9750000000104,479.80000000000007,0.5412532534470303,1.0969769116813806
d15_si25_g20_li30,0.15,25,20,30,44613,21.327301459216088,207.3,951474.9000000074,0.8078362809046691,2.394547530988725,6.964364357617567,541.9893430597858,-2387.7,932.3,-1321.8999999999862,359.79999999999984,0.6246624940479658,1.1260000833489705
d25_si25_g15_li30,0.25,25,15,30,45075,21.08864115363293,329.29999999998904,950570.5000000044,0.6952856350526899,4.560790349417637,4.318850042988522,707.896493429241,-2340.2,1274.8000000000002,-1723.699999999991,622.3000000000001,0.47291066277648225,1.078468042637883
d15_si25_g15_li30,0.15,25,15,30,44727,19.82520848704374,204.79999999999995,886722.1000000053,0.8074988262123549,2.3401965479464306,6.704379830937247,532.4428228848038,-2387.7,1047.3000000000002,-1297.1000000000083,344.80000000000007,0.5910783553719512,1.11896337945783
d20_si25_g10_li30,0.2,25,10,30,45088,19.617301721078846,269.80000000000007,884504.9000000029,0.7490906671398154,3.3003681467352735,5.480806571354384,616.2599675017489,-2355.2,2522.3,-1528.7000000000273,459.8,0.5053305859717073,1.0904841058004073
d15_si25_g10_li30,0.15,25,10,30,44873,19.169431506696796,199.8,860189.9000000053,0.8085931406413657,2.2701853898781,7.041227679661132,519.838302855846,-2387.7,902.3000000000004,-1266.899999999979,329.8,0.5853845120212717,1.1180063070872681
d25_si25_g10_li30,0.25,25,10,30,45193,18.065826566061208,324.80000000000024,816448.9000000042,0.695660832429801,4.4260436129489085,3.9252356149000818,695.9218975104591,-2340.2,1519.8,-1656.3999999999933,594.8000000000001,0.41209524655232105,1.0681647468970121
d20_si20_g25_li30,0.2,20,25,30,44753,17.844846155565033,259.80000000003633,798610.4000000019,0.7438830916363148,3.1544040399526287,5.594309818145222,580.4874007120687,-1897.6999999999996,1552.3,-1545.6999999999816,432.30000000000007,0.4880005152971499,1.0851016606873034
d20_si20_g25_li25,0.2,20,25,25,44878,17.296535050581586,262.29999999999995,776233.9000000004,0.7437051562012568,3.183796492713579,4.717568530314355,575.2847635832019,-1897.6999999999996,1054.8000000000002,-1542.6999999999998,439.7999999999999,0.4772835977985959,1.0826471956588715
d15_si20_g25_li30,0.15,20,25,30,44593,16.912865247908954,192.3,754195.400000004,0.8064494427376494,2.1707356311528714,6.75364813011807,493.77032384829454,-1925.2,1382.3,-1316.099999999987,312.29999999999995,0.5437414916485984,1.106820617332039
d15_si25_g5_li30,0.15,25,5,30,45012,16.75307917888574,194.8,754089.600000005,0.80940638052075,2.1782708166711098,6.629663379477698,505.5659673954382,-2392.7,889.8000000000003,-1235.1500000000005,309.8,0.5260379542189786,1.1057874308545952
d20_si25_g5_li30,0.2,25,5,30,45152,16.398910347271485,264.8,740443.6000000021,0.747962437987243,3.166271615875266,4.908327603686753,599.0350429072311,-2367.7,1049.8000000000004,-1483.7000000000219,432.30000000000007,0.43457329314916254,1.0774451022230322
d20_si20_g20_li25,0.2,20,20,25,45004,16.38579237401121,259.8,737426.2000000005,0.745489289840903,3.114131899386721,4.784919907840729,568.6742564465312,-1897.6999999999996,1922.3,-1535.6249999999682,424.8,0.4574084143770117,1.0794241015882393
d25_si20_g25_li25,0.25,20,25,25,44999,16.324778328407394,314.79999999999995,734598.7000000043,0.6892375386119691,4.265780950687793,3.553782696117064,645.4389270650429,-1888.1999999999928,1199.8000000000002,-1475.1999999999998,567.3,0.4015063410720205,1.0643578443353585
d15_si20_g20_li25,0.15,20,20,25,44808,16.09222460274956,189.80000000000004,721060.4000000024,0.8072888769862524,2.1425869041242636,6.134317840190897,481.8884391269561,-1925.2,872.3000000000001,-1277.70000000003,304.80000000000007,0.5301147014583635,1.1036675245478085
d15_si20_g25_li25,0.15,20,25,25,44651,16.116756623591925,194.79999999999995,719629.3000000031,0.8059841884840205,2.192867416183288,5.6631869242936155,489.52995181331283,-1925.2,884.8000000000001,-1313.1999999999562,314.8000000000001,0.5226351908686333,1.1016999480186889
d25_si20_g25_li30,0.25,20,25,30,44925,15.912042292710181,312.30000000000007,714848.5000000049,0.6890150250417362,4.22686978297162,3.9659240624333756,652.283149067496,-1910.2000000000005,1694.8,-1480.2,559.8000000000001,0.3872487598476675,1.0623695485826827
d20_si20_g20_li30,0.2,20,20,30,44957,15.467004026069347,257.3,695350.0999999996,0.7438886046666815,3.07656896590075,5.414137271451024,574.7892690679,-1925.2000000000005,1529.8000000000002,-1539.8000000000313,417.30000000000007,0.42716712070746926,1.0745174573367657
d15_si20_g20_li30,0.15,20,20,30,44739,15.536203312546144,189.79999999999995,695074.2000000019,0.8064775699054516,2.116265942466305,6.899077713883227,487.4088065470487,-1925.2,1369.8,-1281.8000000000166,299.8,0.5060014886600193,1.0994853563598697
d15_si20_g15_li25,0.15,20,15,25,44953,15.209027206193179,187.3,683691.400000002,0.8090005116454964,2.0795952216759725,6.264306197440277,473.4062706146115,-1925.2,862.3,-1242.2000000000037,292.3,0.5099970934296365,1.1000637213558693
d25_si20_g20_li25,0.25,20,20,25,45105,14.868662010863636,312.3,670651.0000000043,0.6906773085023833,4.172416361822414,3.416817246631671,639.7245098687563,-1888.1999999999928,2244.8,-1482.1000000000195,549.8,0.36895990135274964,1.0592030430415857
d10_si25_g25_li30,0.1,25,25,30,44199,15.065435869590086,129.8,665877.2000000122,0.8784361637141112,1.4430700242086925,7.3425528166412946,433.5473622150666,-2432.7,757.3000000000001,-905.6999999999798,229.79999999999995,0.5516268833939495,1.1349788628917497
d15_si20_g15_li30,0.15,20,15,30,44851,14.72011326391835,184.8,660211.8000000019,0.8084992530824285,2.04651396847339,8.467150837551076,479.66226909321875,-1925.2,1352.3000000000002,-1246.950000000029,287.29999999999995,0.48716475916260693,1.0963498999223804
d10_si25_g20_li30,0.1,25,20,30,44399,14.830056983265647,129.79999999999995,658439.7000000115,0.878758530597536,1.4147667064573526,7.97340215957736,426.7290636479526,-2432.7,759.8,-906.6999999999982,222.3,0.5516846080913889,1.1351508396868624
d20_si20_g15_li25,0.2,20,15,25,45108,14.525037687328206,254.80000000000004,655195.4000000007,0.7454331825840206,3.022696284472821,4.530996153486343,560.299891427809,-1897.6999999999996,1012.3,-1499.5249999999799,407.30000000000007,0.4115257356903765,1.0714822372539388
d15_si25_g0_li30,0.15,25,0,30,45097,13.988538040224485,187.3,630841.1000000036,0.8099430117302703,2.052659400847063,6.086894564649661,483.08460110121337,-2312.1999999999707,854.8000000000002,-1197.7000000000219,287.29999999999995,0.4596734332922359,1.0918240681636047
