label,delta,si_width,gap,li_width
d25_si25_g25_li30,0.25,25,25,30
d20_si25_g25_li30,0.2,25,25,30
d20_si25_g20_li30,0.2,25,20,30
d25_si25_g20_li30,0.25,25,20,30
d15_si25_g25_li30,0.15,25,25,30
d20_si25_g15_li30,0.2,25,15,30
d15_si25_g20_li30,0.15,25,20,30
d25_si25_g15_li30,0.25,25,15,30
d15_si25_g15_li30,0.15,25,15,30
d20_si25_g10_li30,0.2,25,10,30
d15_si25_g10_li30,0.15,25,10,30
d25_si25_g10_li30,0.25,25,10,30
d20_si20_g25_li30,0.2,20,25,30
d20_si20_g25_li25,0.2,20,25,25
d15_si20_g25_li30,0.15,20,25,30
d15_si25_g5_li30,0.15,25,5,30
d20_si25_g5_li30,0.2,25,5,30
d20_si20_g20_li25,0.2,20,20,25
d25_si20_g25_li25,0.25,20,25,25
d15_si20_g20_li25,0.15,20,20,25
d15_si20_g25_li25,0.15,20,25,25
d25_si20_g25_li30,0.25,20,25,30
d20_si20_g20_li30,0.2,20,20,30
d15_si20_g20_li30,0.15,20,20,30
d15_si20_g15_li25,0.15,20,15,25
d25_si20_g20_li25,0.25,20,20,25
d10_si25_g25_li30,0.1,25,25,30
d15_si20_g15_li30,0.15,20,15,30
d10_si25_g20_li30,0.1,25,20,30
d20_si20_g15_li25,0.2,20,15,25
d15_si25_g0_li30,0.15,25,0,30
d20_si20_g15_li30,0.2,20,15,30
d25_si20_g20_li30,0.25,20,20,30
d25_si25_g5_li30,0.25,25,5,30
d10_si25_g15_li30,0.1,25,15,30
d15_si20_g10_li25,0.15,20,10,25
d10_si25_g10_li30,0.1,25,10,30
d20_si25_g0_li30,0.2,25,0,30
d15_si20_g10_li30,0.15,20,10,30
d20_si20_g10_li25,0.2,20,10,25
d10_si25_g5_li30,0.1,25,5,30
d10_si20_g25_li30,0.1,20,25,30
d25_si20_g15_li25,0.25,20,15,25
d15_si15_g25_li20,0.15,15,25,20
d10_si20_g25_li25,0.1,20,25,25
d25_si20_g15_li30,0.25,20,15,30
d10_si20_g20_li30,0.1,20,20,30
d10_si20_g20_li25,0.1,20,20,25
d10_si25_g0_li30,0.1,25,0,30
d20_si15_g25_li20,0.2,15,25,20
