trade_date,dte,iv_min,iv_rank,vix_level,vix_regime,underlying_price,short_put_strike,short_call_strike,long_call_strike,call_spread_width,entry_credit,put_credit,call_spread_credit,safety_met,max_upside_risk,short_put_delta,short_call_delta,pnl,pnl_pct,exit_reason,max_adverse_pct
2023-03-10,0,30.0,41.1,24.8,mid,3900.95,3855.0,3945.0,3965.0,20.0,3.5500000000000003,2.45,1.1,False,16.45,-0.1244,0.1054,-4.699999999999999,-132.39436619718307,delta_stop,132.3943661971831
2023-03-10,0,40.0,41.1,24.8,mid,3900.95,3855.0,3945.0,3965.0,20.0,3.5500000000000003,2.45,1.1,False,16.45,-0.1244,0.1054,-4.699999999999999,-132.39436619718307,delta_stop,132.3943661971831
2023-03-13,0,30.0,51.2,26.52,high,3891.4,3830.0,3950.0,3970.0,20.0,4.3,3.1,1.2,False,15.7,-0.121,0.0963,2.15,50.0,tp,61.62790697674421
2023-03-13,0,40.0,51.2,26.52,high,3891.4,3830.0,3950.0,3970.0,20.0,4.3,3.1,1.2,False,15.7,-0.121,0.0963,2.15,50.0,tp,61.62790697674421
2023-03-13,0,50.0,51.2,26.52,high,3891.4,3830.0,3950.0,3970.0,20.0,4.3,3.1,1.2,False,15.7,-0.121,0.0963,2.15,50.0,tp,61.62790697674421
2023-03-14,0,30.0,34.7,23.73,mid,3927.24,3890.0,3960.0,3980.0,20.0,2.95,2.1,0.85,False,17.05,-0.1288,0.1026,-4.5,-152.54237288135593,delta_stop,152.54237288135593
2023-03-15,0,30.0,49.0,26.14,high,3858.47,3810.0,3910.0,3930.0,20.0,3.4000000000000004,2.45,0.95,False,16.6,-0.1197,0.0889,1.9000000000000004,55.88235294117647,tp,63.23529411764704
2023-03-15,0,40.0,49.0,26.14,high,3858.47,3810.0,3910.0,3930.0,20.0,3.4000000000000004,2.45,0.95,False,16.6,-0.1197,0.0889,1.9000000000000004,55.88235294117647,tp,63.23529411764704
2023-03-16,0,30.0,30.3,22.99,mid,3939.37,3895.0,3975.0,3995.0,20.0,3.0,2.0,0.9999999999999999,False,17.0,-0.1138,0.1054,1.5499999999999998,51.66666666666666,tp,53.33333333333332
2023-03-17,0,30.0,45.3,25.51,high,3910.82,3870.0,3955.0,3975.0,20.0,2.9499999999999997,1.95,0.9999999999999999,False,17.05,-0.1172,0.1033,1.4999999999999998,50.847457627118644,tp,10.169491525423746
2023-03-17,0,40.0,45.3,25.51,high,3910.82,3870.0,3955.0,3975.0,20.0,2.9499999999999997,1.95,0.9999999999999999,False,17.05,-0.1172,0.1033,1.4999999999999998,50.847457627118644,tp,10.169491525423746
2023-03-20,0,30.0,37.2,24.15,mid,3940.05,3900.0,3975.0,3995.0,20.0,3.1499999999999995,2.05,1.0999999999999999,False,16.85,-0.1219,0.108,1.6999999999999997,53.96825396825397,tp,53.968253968253975
2023-10-03,0,30.0,33.4,19.78,mid,4226.2,4195.0,4260.0,4280.0,20.0,2.3499999999999996,1.5,0.8499999999999999,False,17.65,-0.1183,0.0982,1.1999999999999997,51.06382978723404,tp,10.638297872340452
2023-10-13,0,30.0,31.3,19.32,mid,4326.13,4290.0,4360.0,4380.0,20.0,2.3000000000000003,1.55,0.7500000000000001,False,17.7,-0.1093,0.0956,1.2000000000000004,52.17391304347827,tp,39.13043478260869
2023-10-18,0,30.0,34.5,19.22,mid,4337.85,4305.0,4370.0,4390.0,20.0,2.3,1.45,0.8499999999999999,False,17.7,-0.1127,0.1013,1.2999999999999998,56.52173913043478,tp,30.43478260869563
2023-10-19,0,30.0,47.8,21.4,mid,4312.27,4270.0,4355.0,4375.0,20.0,3.15,2.15,0.9999999999999999,False,16.85,-0.1214,0.0957,1.65,52.38095238095239,tp,9.523809523809534
2023-10-19,0,40.0,47.8,21.4,mid,4312.27,4270.0,4355.0,4375.0,20.0,3.15,2.15,0.9999999999999999,False,16.85,-0.1214,0.0957,1.65,52.38095238095239,tp,9.523809523809534
2023-10-20,0,30.0,49.6,21.71,mid,4245.54,4210.0,4285.0,4305.0,20.0,2.45,1.6,0.8500000000000001,False,17.55,-0.1137,0.097,1.3500000000000003,55.102040816326536,tp,34.69387755102038
2023-10-20,0,40.0,49.6,21.71,mid,4245.54,4210.0,4285.0,4305.0,20.0,2.45,1.6,0.8500000000000001,False,17.55,-0.1137,0.097,1.3500000000000003,55.102040816326536,tp,34.69387755102038
2023-10-23,0,30.0,44.0,20.37,mid,4240.29,4205.0,4270.0,4290.0,20.0,2.0999999999999996,1.4,0.7,False,17.9,-0.1057,0.0921,1.1499999999999995,54.761904761904745,tp,35.714285714285744
2023-10-23,0,40.0,44.0,20.37,mid,4240.29,4205.0,4270.0,4290.0,20.0,2.0999999999999996,1.4,0.7,False,17.9,-0.1057,0.0921,1.1499999999999995,54.761904761904745,tp,35.714285714285744
2023-10-24,0,30.0,36.1,18.97,mid,4243.94,4215.0,4270.0,4290.0,20.0,2.6,1.55,1.05,False,17.4,-0.1258,0.1186,1.4000000000000001,53.846153846153854,tp,155.7692307692308
2023-10-25,0,30.0,43.3,20.19,mid,4206.8,4175.0,4240.0,4260.0,20.0,2.5999999999999996,1.65,0.95,False,17.4,-0.1221,0.1004,1.3999999999999997,53.84615384615385,tp,96.15384615384616
2023-10-25,0,40.0,43.3,20.19,mid,4206.8,4175.0,4240.0,4260.0,20.0,2.5999999999999996,1.65,0.95,False,17.4,-0.1221,0.1004,1.3999999999999997,53.84615384615385,tp,96.15384615384616
2023-10-26,0,30.0,50.3,20.68,mid,4156.7,4125.0,4190.0,4210.0,20.0,2.75,1.7,1.05,False,17.25,-0.1257,0.1142,1.8000000000000003,65.45454545454547,tp,140.00000000000003
2023-10-26,0,40.0,50.3,20.68,mid,4156.7,4125.0,4190.0,4210.0,20.0,2.75,1.7,1.05,False,17.25,-0.1257,0.1142,1.8000000000000003,65.45454545454547,tp,140.00000000000003
2023-10-26,0,50.0,50.3,20.68,mid,4156.7,4125.0,4190.0,4210.0,20.0,2.75,1.7,1.05,False,17.25,-0.1257,0.1142,1.8000000000000003,65.45454545454547,tp,140.00000000000003
2023-10-27,0,30.0,58.0,21.27,mid,4145.56,4115.0,4180.0,4200.0,20.0,2.5,1.65,0.8499999999999999,False,17.5,-0.125,0.0957,-4.000000000000001,-160.00000000000003,delta_stop,160.00000000000006
2023-10-27,0,40.0,58.0,21.27,mid,4145.56,4115.0,4180.0,4200.0,20.0,2.5,1.65,0.8499999999999999,False,17.5,-0.125,0.0957,-4.000000000000001,-160.00000000000003,delta_stop,160.00000000000006
2023-10-27,0,50.0,58.0,21.27,mid,4145.56,4115.0,4180.0,4200.0,20.0,2.5,1.65,0.8499999999999999,False,17.5,-0.125,0.0957,-4.000000000000001,-160.00000000000003,delta_stop,160.00000000000006
2023-10-30,0,30.0,47.6,19.75,mid,4150.84,4120.0,4180.0,4200.0,20.0,2.4,1.65,0.75,False,17.6,-0.1243,0.0943,1.25,52.083333333333336,tp,33.33333333333335
2023-10-30,0,40.0,47.6,19.75,mid,4150.84,4120.0,4180.0,4200.0,20.0,2.4,1.65,0.75,False,17.6,-0.1243,0.0943,1.25,52.083333333333336,tp,33.33333333333335
2023-10-31,0,30.0,38.8,18.14,mid,4175.27,4150.0,4200.0,4220.0,20.0,1.9500000000000002,1.35,0.6,False,18.05,-0.1245,0.0906,1.1000000000000003,56.41025641025642,tp,76.92307692307692
2024-04-04,0,30.0,44.4,16.35,mid,5251.03,5230.0,5270.0,5290.0,20.0,1.15,0.85,0.30000000000000004,False,18.85,-0.1064,0.0784,-2.85,-247.82608695652178,delta_stop,247.82608695652178
2024-04-04,0,40.0,44.4,16.35,mid,5251.03,5230.0,5270.0,5290.0,20.0,1.15,0.85,0.30000000000000004,False,18.85,-0.1064,0.0784,-2.85,-247.82608695652178,delta_stop,247.82608695652178
2024-04-05,0,30.0,41.1,16.03,mid,5212.26,5175.0,5245.0,5265.0,20.0,2.9499999999999997,2.05,0.9,False,17.05,-0.1262,0.1061,1.1499999999999997,38.98305084745762,expiration,52.542372881355945
2024-04-05,0,40.0,41.1,16.03,mid,5212.26,5175.0,5245.0,5265.0,20.0,2.9499999999999997,2.05,0.9,False,17.05,-0.1262,0.1061,1.1499999999999997,38.98305084745762,expiration,52.542372881355945
2024-04-08,0,30.0,32.4,15.19,mid,5205.19,5175.0,5230.0,5250.0,20.0,1.9,1.25,0.6499999999999999,False,18.1,-0.1074,0.0974,0.95,50.0,tp,39.47368421052635
2024-04-09,0,30.0,30.2,14.98,low,5185.82,5150.0,5215.0,5235.0,20.0,2.65,1.75,0.8999999999999999,False,17.35,-0.1191,0.1084,1.4,52.83018867924528,tp,9.433962264150942
2024-04-10,0,30.0,38.7,15.8,mid,5150.65,5110.0,5190.0,5210.0,20.0,2.75,1.8,0.95,False,17.25,-0.1124,0.0992,1.4000000000000001,50.909090909090914,tp,56.363636363636346
2024-04-12,0,30.0,54.4,17.31,mid,5150.61,5110.0,5190.0,5210.0,20.0,3.0,2.0,1.0,False,17.0,-0.1194,0.0983,-4.4,-146.66666666666669,delta_stop,146.66666666666669
2024-04-12,0,40.0,54.4,17.31,mid,5150.61,5110.0,5190.0,5210.0,20.0,3.0,2.0,1.0,False,17.0,-0.1194,0.0983,-4.4,-146.66666666666669,delta_stop,146.66666666666669
2024-04-12,0,50.0,54.4,17.31,mid,5150.61,5110.0,5190.0,5210.0,20.0,3.0,2.0,1.0,False,17.0,-0.1194,0.0983,-4.4,-146.66666666666669,delta_stop,146.66666666666669
2024-04-15,0,30.0,74.3,19.23,mid,5139.63,5100.0,5175.0,5195.0,20.0,2.8,1.9,0.8999999999999999,False,17.2,-0.1166,0.0965,-3.1500000000000004,-112.50000000000003,delta_stop,112.5
2024-04-15,0,40.0,74.3,19.23,mid,5139.63,5100.0,5175.0,5195.0,20.0,2.8,1.9,0.8999999999999999,False,17.2,-0.1166,0.0965,-3.1500000000000004,-112.50000000000003,delta_stop,112.5
2024-04-15,0,50.0,74.3,19.23,mid,5139.63,5100.0,5175.0,5195.0,20.0,2.8,1.9,0.8999999999999999,False,17.2,-0.1166,0.0965,-3.1500000000000004,-112.50000000000003,delta_stop,112.5
2024-04-15,0,60.0,74.3,19.23,mid,5139.63,5100.0,5175.0,5195.0,20.0,2.8,1.9,0.8999999999999999,False,17.2,-0.1166,0.0965,-3.1500000000000004,-112.50000000000003,delta_stop,112.5
2024-04-16,0,30.0,65.7,18.4,mid,5058.71,5005.0,5105.0,5125.0,20.0,3.85,2.65,1.2000000000000002,False,16.15,-0.1181,0.1073,2.2,57.14285714285715,tp,18.181818181818166
2024-04-16,0,40.0,65.7,18.4,mid,5058.71,5005.0,5105.0,5125.0,20.0,3.85,2.65,1.2000000000000002,False,16.15,-0.1181,0.1073,2.2,57.14285714285715,tp,18.181818181818166
2024-04-16,0,50.0,65.7,18.4,mid,5058.71,5005.0,5105.0,5125.0,20.0,3.85,2.65,1.2000000000000002,False,16.15,-0.1181,0.1073,2.2,57.14285714285715,tp,18.181818181818166
2024-04-16,0,60.0,65.7,18.4,mid,5058.71,5005.0,5105.0,5125.0,20.0,3.85,2.65,1.2000000000000002,False,16.15,-0.1181,0.1073,2.2,57.14285714285715,tp,18.181818181818166
2024-04-17,0,30.0,63.7,18.21,mid,5033.24,4990.0,5075.0,5095.0,20.0,3.0,2.0,1.0,False,17.0,-0.1151,0.1037,1.5,50.0,tp,93.33333333333333
2024-04-17,0,40.0,63.7,18.21,mid,5033.24,4990.0,5075.0,5095.0,20.0,3.0,2.0,1.0,False,17.0,-0.1151,0.1037,1.5,50.0,tp,93.33333333333333
2024-04-17,0,50.0,63.7,18.21,mid,5033.24,4990.0,5075.0,5095.0,20.0,3.0,2.0,1.0,False,17.0,-0.1151,0.1037,1.5,50.0,tp,93.33333333333333
2024-04-17,0,60.0,63.7,18.21,mid,5033.24,4990.0,5075.0,5095.0,20.0,3.0,2.0,1.0,False,17.0,-0.1151,0.1037,1.5,50.0,tp,93.33333333333333
2024-04-18,0,30.0,61.5,18.0,mid,5044.67,5005.0,5080.0,5100.0,20.0,2.6,1.8,0.8,False,17.4,-0.1129,0.0932,-3.15,-121.15384615384615,delta_stop,121.15384615384616
2024-04-18,0,40.0,61.5,18.0,mid,5044.67,5005.0,5080.0,5100.0,20.0,2.6,1.8,0.8,False,17.4,-0.1129,0.0932,-3.15,-121.15384615384615,delta_stop,121.15384615384616
