trade_date,expiry,timestamp,long_put,short_put,short_call,long_call,ic_width,quantity,credit,exit_reason,mode,spx_close,within_bounds,max_profit_possible,distance_to_nearest_short,label
2026-02-10,2026-02-10,2026-02-10T16:28:34+0000,6915.0,6940.0,6970.0,7005.0,30.0,5.0,0,closed,live,6941.81005859375,True,YES,1.81,
2026-02-10,2026-02-10,2026-02-10T16:32:09+0000,6900.0,6945.0,6995.0,7020.0,50.0,10.0,0,open,live,6941.81005859375,False,NO,-3.19,
2026-02-10,2026-02-10,2026-02-10T18:30:52+0000,6905.0,6930.0,6980.0,7005.0,50.0,10.0,0,closed,live,6941.81005859375,True,YES,11.81,
2026-02-11,2026-02-11,2026-02-11T16:35:10+0000,6865.0,6935.0,6950.0,6990.0,15.0,1.0,0,open,live,6941.47021484375,True,YES,6.47,
2026-02-11,2026-02-11,2026-02-11T17:00:28+0000,6875.0,6940.0,6950.0,6990.0,10.0,10.0,0,closed,live,6941.47021484375,True,YES,1.47,
2026-02-11,2026-02-11,2026-02-11T18:32:35+0000,6905.0,6930.0,6965.0,6990.0,35.0,10.0,0,open,live,6941.47021484375,True,YES,11.47,
2026-02-11,2026-02-11,2026-02-11T19:06:51+0000,6905.0,6930.0,6960.0,6985.0,30.0,15.0,0,closed,live,6941.47021484375,True,YES,11.47,
2026-02-12,2026-02-12,2026-02-12T18:36:16+0000,6805.0,6860.0,6870.0,6895.0,10.0,10.0,0,open,live,6832.759765625,False,NO,-27.24,
2026-02-12,2026-02-12,2026-02-12T19:13:26+0000,6805.0,6855.0,6880.0,6905.0,25.0,15.0,0,open,live,6832.759765625,False,NO,-22.24,
2026-02-13,2026-02-13,2026-02-13T16:30:43+0000,6785.0,6830.0,6895.0,6920.0,65.0,10.0,0,closed,live,6836.169921875,True,YES,6.17,
2026-02-13,2026-02-13,2026-02-13T17:02:18+0000,6785.0,6825.0,6910.0,6935.0,85.0,10.0,0,closed,live,6836.169921875,True,YES,11.17,
