date,credit,contracts,pnl_ratio,day_pnl,portfolio
2023-02-27,2.1,4,1.0,840.0,10840.0
2023-02-28,1.8,4,1.0,720.0,11560.0
2023-03-01,2.0,4,1.0,800.0,12360.0
2023-03-03,1.65,4,0.4242424242424242,279.99999999999994,12640.0
2023-03-06,1.45,5,1.0,725.0,13365.0
2023-03-07,2.2,5,1.0,1100.0000000000002,14465.0
2023-03-08,2.2,5,1.0,1100.0000000000002,15565.0
2023-03-09,1.75,6,-12.942857142857141,-13590.0,1975.0
2023-03-10,2.4,0,-2.437500000000001,0.0,1975.0
2023-03-14,1.95,0,1.0,0.0,1975.0
2023-03-15,2.65,0,1.0,0.0,1975.0
2023-03-16,2.45,0,1.0,0.0,1975.0
2023-03-17,2.45,0,1.0,0.0,1975.0
2023-03-22,3.75,0,1.0,0.0,1975.0
2023-03-23,2.15,0,-3.3255813953488373,0.0,1975.0
2023-03-24,2.65,0,0.7830188679245282,0.0,1975.0
2023-03-27,2.1,0,1.0,0.0,1975.0
2023-03-28,2.05,0,1.0,0.0,1975.0
2023-03-29,1.6,0,1.0,0.0,1975.0
2023-03-30,1.6,0,1.0,0.0,1975.0
2023-03-31,1.6,0,0.9843750000000001,0.0,1975.0
2023-04-04,1.9,0,1.0,0.0,1975.0
2023-04-05,1.45,0,1.0,0.0,1975.0
2023-04-06,1.85,0,0.9324324324324325,0.0,1975.0
2023-04-10,1.4,0,1.0,0.0,1975.0
2023-04-11,1.8,0,1.0,0.0,1975.0
2023-04-12,1.95,0,1.0,0.0,1975.0
2023-04-13,1.8,0,-2.027777777777778,0.0,1975.0
2023-04-14,1.65,0,1.0,0.0,1975.0
2023-04-17,1.2,0,1.0,0.0,1975.0
2023-04-18,1.25,0,1.0,0.0,1975.0
2023-04-19,1.8,0,1.0,0.0,1975.0
2023-04-20,1.75,0,1.0,0.0,1975.0
2023-04-21,1.3,0,1.0,0.0,1975.0
2023-04-24,1.45,0,1.0,0.0,1975.0
2023-04-25,1.5,0,-7.533333333333334,0.0,1975.0
2023-04-26,1.5,0,0.9166666666666666,0.0,1975.0
2023-04-27,1.8,0,-10.916666666666666,0.0,1975.0
2023-04-28,1.7,0,1.0,0.0,1975.0
2023-05-01,1.6,0,1.0,0.0,1975.0
2023-05-02,1.75,0,1.0,0.0,1975.0
2023-05-03,3.45,0,1.0,0.0,1975.0
2023-05-04,2.4,0,1.0,0.0,1975.0
2023-05-05,1.65,0,1.0,0.0,1975.0
2023-05-08,1.45,0,1.0,0.0,1975.0
2023-05-09,1.0,0,1.0,0.0,1975.0
2023-05-10,1.65,0,1.0,0.0,1975.0
2023-05-11,1.95,0,1.0,0.0,1975.0
2023-05-12,1.55,0,1.0,0.0,1975.0
2023-05-15,1.35,0,1.0,0.0,1975.0
2023-05-16,1.35,0,1.0,0.0,1975.0
2023-05-17,1.35,0,-9.444444444444445,0.0,1975.0
2023-05-18,1.45,0,0.9482758620689655,0.0,1975.0
2023-05-19,2.1,0,1.0,0.0,1975.0
2023-05-22,1.25,0,1.0,0.0,1975.0
2023-05-23,1.45,0,-3.586206896551724,0.0,1975.0
2023-05-24,1.95,0,1.0,0.0,1975.0
2023-05-25,1.85,0,1.0,0.0,1975.0
2023-05-26,1.95,0,1.0,0.0,1975.0
2023-05-30,1.55,0,1.0,0.0,1975.0
2023-05-31,1.55,0,1.0,0.0,1975.0
2023-06-01,1.55,0,1.0,0.0,1975.0
2023-06-02,1.8,0,1.0,0.0,1975.0
2023-06-05,1.4,0,1.0,0.0,1975.0
2023-06-06,1.35,0,1.0,0.0,1975.0
2023-06-07,1.4,0,1.0,0.0,1975.0
2023-06-08,1.1,0,1.0,0.0,1975.0
2023-06-09,1.75,0,1.0,0.0,1975.0
2023-06-12,0.95,0,-9.842105263157897,0.0,1975.0
2023-06-13,1.6,0,1.0,0.0,1975.0
2023-06-14,2.3,0,1.0,0.0,1975.0
2023-06-15,1.5,0,1.0,0.0,1975.0
2023-06-16,1.75,0,1.0,0.0,1975.0
2023-06-20,1.2,0,1.0,0.0,1975.0
2023-06-21,1.8,0,1.0,0.0,1975.0
2023-06-22,1.2,0,1.0,0.0,1975.0
2023-06-23,1.25,0,1.0,0.0,1975.0
2023-06-26,1.05,0,1.0,0.0,1975.0
2023-06-27,1.4,0,-5.107142857142858,0.0,1975.0
2023-06-28,1.15,0,1.0,0.0,1975.0
2023-06-29,1.2,0,1.0,0.0,1975.0
2023-06-30,1.3,0,1.0,0.0,1975.0
2023-07-03,0.45,0,1.0,0.0,1975.0
2023-07-05,1.15,0,1.0,0.0,1975.0
2023-07-06,1.6,0,-0.3749999999999998,0.0,1975.0
2023-07-07,1.4,0,1.0,0.0,1975.0
2023-07-10,1.55,0,1.0,0.0,1975.0
2023-07-11,1.25,0,0.82,0.0,1975.0
2023-07-12,1.25,0,1.0,0.0,1975.0
2023-07-13,1.25,0,1.0,0.0,1975.0
2023-07-14,1.25,0,1.0,0.0,1975.0
2023-07-17,1.0,0,1.0,0.0,1975.0
2023-07-18,1.35,0,0.31481481481481494,0.0,1975.0
2023-07-19,1.25,0,1.0,0.0,1975.0
2023-07-20,1.25,0,1.0,0.0,1975.0
2023-07-21,1.35,0,1.0,0.0,1975.0
2023-07-24,1.5,0,1.0,0.0,1975.0
2023-07-25,1.05,0,1.0,0.0,1975.0
2023-07-26,2.55,0,1.0,0.0,1975.0
2023-07-27,1.3,0,-18.038461538461537,0.0,1975.0
2023-07-28,1.05,0,1.0,0.0,1975.0
2023-07-31,1.3,0,1.0,0.0,1975.0
2023-08-01,1.55,0,1.0,0.0,1975.0
2023-08-02,1.65,0,1.0,0.0,1975.0
2023-08-03,1.35,0,1.0,0.0,1975.0
2023-08-04,1.7,0,-12.132352941176471,0.0,1975.0
2023-08-07,1.65,0,0.9848484848484849,0.0,1975.0
2023-08-08,1.35,0,0.6296296296296295,0.0,1975.0
2023-08-09,2.05,0,1.0,0.0,1975.0
2023-08-10,2.1,0,1.0,0.0,1975.0
2023-08-11,1.95,0,1.0,0.0,1975.0
2023-08-14,1.4,0,1.0,0.0,1975.0
2023-08-15,1.9,0,1.0,0.0,1975.0
2023-08-16,1.8,0,-3.833333333333334,0.0,1975.0
2023-08-17,1.95,0,-0.32051282051282043,0.0,1975.0
2023-08-18,1.8,0,1.0,0.0,1975.0
2023-08-21,2.0,0,-2.0,0.0,1975.0
2023-08-22,1.7,0,1.0,0.0,1975.0
2023-08-23,1.5,0,1.0,0.0,1975.0
2023-08-24,2.0,0,0.8875,0.0,1975.0
2023-08-25,2.6,0,1.0,0.0,1975.0
2023-08-28,1.85,0,1.0,0.0,1975.0
2023-08-29,1.4,0,1.0,0.0,1975.0
2023-08-30,1.5,0,1.0,0.0,1975.0
2023-08-31,1.55,0,1.0,0.0,1975.0
2023-09-01,1.3,0,1.0,0.0,1975.0
2023-09-05,1.2,0,1.0,0.0,1975.0
2023-09-06,1.1,0,1.0,0.0,1975.0
2023-09-07,1.55,0,1.0,0.0,1975.0
2023-09-08,1.15,0,1.0,0.0,1975.0
2023-09-11,1.05,0,1.0,0.0,1975.0
2023-09-12,1.4,0,1.0,0.0,1975.0
2023-09-13,1.4,0,1.0,0.0,1975.0
2023-09-14,1.65,0,1.0,0.0,1975.0
2023-09-15,1.45,0,1.0,0.0,1975.0
2023-09-18,1.25,0,1.0,0.0,1975.0
2023-09-19,1.4,0,0.9464285714285715,0.0,1975.0
2023-09-20,2.85,0,-2.140350877192983,0.0,1975.0
2023-09-21,1.7,0,1.0,0.0,1975.0
2023-09-22,1.55,0,0.4516129032258064,0.0,1975.0
2023-09-25,1.8,0,1.0,0.0,1975.0
2023-09-26,2.15,0,1.0,0.0,1975.0
2023-09-27,1.9,0,1.0,0.0,1975.0
2023-09-28,1.85,0,1.0,0.0,1975.0
2023-09-29,1.65,0,-1.1515151515151516,0.0,1975.0
2023-10-02,1.7,0,1.0,0.0,1975.0
2023-10-03,2.25,0,1.0,0.0,1975.0
2023-10-04,2.05,0,1.0,0.0,1975.0
2023-10-05,1.95,0,1.0,0.0,1975.0
2023-10-06,1.95,0,-4.282051282051284,0.0,1975.0
2023-10-09,1.9,0,-5.394736842105264,0.0,1975.0
2023-10-10,1.85,0,1.0,0.0,1975.0
2023-10-11,2.0,0,1.0,0.0,1975.0
2023-10-12,1.9,0,1.0,0.0,1975.0
2023-10-13,2.35,0,1.0,0.0,1975.0
2023-10-16,1.65,0,1.0,0.0,1975.0
2023-10-17,1.9,0,1.0,0.0,1975.0
2023-10-18,2.25,0,1.0,0.0,1975.0
2023-10-19,2.6,0,1.0,0.0,1975.0
2023-10-20,2.35,0,1.0,0.0,1975.0
2023-10-23,1.9,0,1.0,0.0,1975.0
2023-10-24,1.8,0,1.0,0.0,1975.0
2023-10-25,2.3,0,1.0,0.0,1975.0
2023-10-26,2.1,0,1.0,0.0,1975.0
2023-10-27,2.0,0,0.9625,0.0,1975.0
2023-10-30,1.9,0,1.0,0.0,1975.0
2023-10-31,1.75,0,1.0,0.0,1975.0
2023-11-01,2.85,0,1.0,0.0,1975.0
2023-11-02,1.3,0,1.0,0.0,1975.0
2023-11-03,1.4,0,1.0,0.0,1975.0
2023-11-06,1.15,0,1.0,0.0,1975.0
2023-11-07,1.15,0,1.0,0.0,1975.0
2023-11-08,1.4,0,1.0,0.0,1975.0
2023-11-09,1.65,0,-7.181818181818183,0.0,1975.0
2023-11-10,1.35,0,-11.185185185185183,0.0,1975.0
2023-11-13,1.2,0,1.0,0.0,1975.0
2023-11-14,1.5,0,1.0,0.0,1975.0
2023-11-15,1.45,0,1.0,0.0,1975.0
2023-11-16,1.4,0,1.0,0.0,1975.0
2023-11-17,1.3,0,1.0,0.0,1975.0
2023-11-20,1.3,0,1.0,0.0,1975.0
2023-11-21,1.25,0,1.0,0.0,1975.0
2023-11-22,1.25,0,1.0,0.0,1975.0
2023-11-24,0.6,0,1.0,0.0,1975.0
2023-11-27,1.25,0,1.0,0.0,1975.0
2023-11-28,1.1,0,1.0,0.0,1975.0
2023-11-29,1.25,0,1.0,0.0,1975.0
2023-11-30,1.35,0,0.9814814814814815,0.0,1975.0
2023-12-01,1.65,0,1.0,0.0,1975.0
2023-12-04,0.95,0,1.0,0.0,1975.0
2023-12-05,1.45,0,1.0,0.0,1975.0
2023-12-06,1.05,0,0.40476190476190466,0.0,1975.0
2023-12-07,1.45,0,1.0,0.0,1975.0
2023-12-08,1.65,0,1.0,0.0,1975.0
2023-12-11,1.1,0,1.0,0.0,1975.0
2023-12-12,1.15,0,1.0,0.0,1975.0
2023-12-13,2.2,0,-7.2727272727272725,0.0,1975.0
