date,entry_time,sp_strike,sc_strike,lp_strike,lc_strike,credit,exit_price_4pm,pnl_ratio,pnl_dollar_1ct,cumulative_dollar
2023-02-27,11:25,3950.0,4020.0,3925.0,4045.0,2.1,0.0,1.0,210.0,210.0
2023-02-28,11:25,3950.0,4015.0,3925.0,4040.0,1.8,0.0,1.0,180.0,390.0
2023-03-01,11:25,3910.0,3975.0,3885.0,4000.0,2.0,0.0,1.0,200.0,590.0
2023-03-03,11:25,3980.0,4045.0,3955.0,4070.0,1.65,0.95,0.4242,70.0,660.0
2023-03-06,11:25,4040.0,4100.0,4015.0,4125.0,1.45,0.0,1.0,145.0,805.0
2023-03-07,11:25,3970.0,4050.0,3945.0,4075.0,2.2,0.0,1.0,220.0,1025.0
2023-03-08,11:25,3960.0,4020.0,3935.0,4045.0,2.2,0.0,1.0,220.0,1245.0
2023-03-09,11:25,3970.0,4030.0,3945.0,4055.0,1.75,24.4,-12.9429,-2265.0,-1020.0
2023-03-10,11:25,3870.0,3965.0,3845.0,3990.0,2.4,8.25,-2.4375,-585.0,-1605.0
2023-03-14,11:25,3890.0,3970.0,3865.0,3995.0,1.95,0.0,1.0,195.0,-1410.0
2023-03-15,11:25,3805.0,3915.0,3780.0,3940.0,2.65,0.0,1.0,265.0,-1145.0
2023-03-16,11:25,3870.0,3965.0,3845.0,3990.0,2.45,0.0,1.0,245.0,-900.0
2023-03-17,11:25,3860.0,3960.0,3835.0,3985.0,2.45,0.0,1.0,245.0,-655.0
2023-03-22,11:25,3925.0,4085.0,3900.0,4110.0,3.75,0.0,1.0,375.0,-280.0
2023-03-23,11:25,3955.0,4035.0,3930.0,4060.0,2.15,9.3,-3.3256,-715.0,-995.0
2023-03-24,11:25,3860.0,3970.0,3835.0,3995.0,2.65,0.575,0.783,207.5,-787.5
2023-03-27,11:25,3935.0,4015.0,3910.0,4040.0,2.1,0.0,1.0,210.0,-577.5
2023-03-28,11:25,3935.0,4000.0,3910.0,4025.0,2.05,0.0,1.0,205.0,-372.5
2023-03-29,11:25,3975.0,4035.0,3950.0,4060.0,1.6,0.0,1.0,160.0,-212.5
2023-03-30,11:25,4020.0,4070.0,3995.0,4095.0,1.6,0.0,1.0,160.0,-52.5
2023-03-31,11:25,4050.0,4115.0,4025.0,4140.0,1.6,0.025,0.9844,157.5,105.0
2023-04-04,11:25,4070.0,4130.0,4045.0,4155.0,1.9,0.0,1.0,190.0,295.0
2023-04-05,11:25,4050.0,4105.0,4025.0,4130.0,1.45,0.0,1.0,145.0,440.0
2023-04-06,11:25,4060.0,4105.0,4035.0,4130.0,1.85,0.125,0.9324,172.5,612.5
2023-04-10,11:25,4060.0,4110.0,4035.0,4135.0,1.4,0.0,1.0,140.0,752.5
2023-04-11,11:25,4090.0,4135.0,4065.0,4160.0,1.8,0.0,1.0,180.0,932.5
2023-04-12,11:25,4065.0,4140.0,4040.0,4165.0,1.95,0.0,1.0,195.0,1127.5
2023-04-13,11:25,4090.0,4140.0,4065.0,4165.0,1.8,5.45,-2.0278,-365.0,762.5
2023-04-14,11:25,4100.0,4160.0,4075.0,4185.0,1.65,0.0,1.0,165.0,927.5
2023-04-17,11:25,4110.0,4160.0,4085.0,4185.0,1.2,0.0,1.0,120.0,1047.5
2023-04-18,11:25,4115.0,4170.0,4090.0,4195.0,1.25,0.0,1.0,125.0,1172.5
2023-04-19,11:25,4120.0,4165.0,4095.0,4190.0,1.8,0.0,1.0,180.0,1352.5
2023-04-20,11:25,4110.0,4155.0,4085.0,4180.0,1.75,0.0,1.0,175.0,1527.5
2023-04-21,11:25,4095.0,4150.0,4070.0,4175.0,1.3,0.0,1.0,130.0,1657.5
