date,entry_time,credit,exit_price,pnl_ratio,pnl_dollar_1ct,v8e_tp10_prob,pnl_tp25_sl_3pm,pnl_tp50_sl_3pm,pnl_4pm_raw,cumulative_dollar_1ct
2023-03-14,10:10,2.5,2.25,0.1,25.0,0.685,0.25,0.5,1.0,25.0
2023-03-15,10:10,2.8,2.5,0.1071,30.0,0.5136,0.2857,0.5,1.0,55.0
2023-03-16,10:10,2.9,2.55,0.1207,35.0,0.6537,0.25,-1.1034,-7.6207,90.0
2023-03-17,10:10,2.7,2.4,0.1111,30.0,0.4762,-1.037,-1.037,1.0,120.0
2023-03-22,10:10,3.7,3.025,0.1824,67.5,0.616,0.3108,0.5473,1.0,187.5
2023-03-23,10:10,2.25,2.0,0.1111,25.0,0.6968,-1.1778,-1.1778,1.0,212.5
2023-03-24,10:10,2.8,2.475,0.1161,32.5,0.6765,0.2589,0.5,1.0,245.0
2023-03-27,10:10,2.7,2.425,0.1019,27.5,0.6323,0.25,0.5185,1.0,272.5
2023-03-28,10:10,2.1,1.875,0.1071,22.5,0.6686,0.2619,0.5238,1.0,295.0
2023-03-29,10:10,2.2,1.975,0.1023,22.5,0.7173,0.25,0.5227,1.0,317.5
2023-03-30,10:10,1.55,1.375,0.1129,17.5,0.7313,0.2903,0.5,1.0,335.0
2023-03-31,10:10,1.85,1.625,0.1216,22.5,0.7159,-1.4054,-1.4054,-8.1081,357.5
2023-04-03,10:10,1.75,1.525,0.1286,22.5,0.7187,0.2571,0.5,1.0,380.0
2023-04-04,10:10,1.75,1.575,0.1,17.5,0.6936,-1.0143,-1.0143,1.0,397.5
2023-04-05,10:10,1.7,1.525,0.1029,17.5,0.7174,0.2647,0.5147,1.0,415.0
2023-04-06,10:10,1.75,1.5,0.1429,25.0,0.6882,0.3,0.5143,1.0,440.0
2023-04-10,10:10,1.75,1.475,0.1571,27.5,0.6682,0.2714,0.5,1.0,467.5
2023-04-11,10:10,1.65,1.45,0.1212,20.0,0.645,0.2576,0.5152,1.0,487.5
2023-04-12,10:10,2.0,1.775,0.1125,22.5,0.6418,-1.1,-1.1,1.0,510.0
2023-04-13,10:10,1.7,1.425,0.1618,27.5,0.7203,-1.0735,-1.0735,-5.0588,537.5
2023-04-14,10:10,2.3,2.05,0.1087,25.0,0.6834,0.2717,0.5,1.0,562.5
2023-04-17,10:10,1.45,1.3,0.1034,15.0,0.7076,0.2586,0.5345,1.0,577.5
2023-04-18,10:10,1.75,1.525,0.1286,22.5,0.7365,0.2714,0.5143,1.0,600.0
