date,entry_time,sp_strike,sc_strike,lp_strike,lc_strike,credit,exit_price,pnl_ratio,contracts,day_pnl,portfolio,peak,drawdown_pct
2023-02-27,10:35,3975.0,4045.0,3950.0,4070.0,1.95,4.1,-1.1026,4,-860.0,9140.0,10000.0,8.6
2023-02-28,10:35,3940.0,4010.0,3915.0,4035.0,2.05,1.0,0.5122,3,315.0,9455.0,10000.0,5.45
2023-03-01,10:35,3915.0,3990.0,3890.0,4015.0,2.15,1.075,0.5,3,322.5,9777.5,10000.0,2.22
2023-03-02,10:35,3905.0,3980.0,3880.0,4005.0,1.95,0.925,0.5256,3,307.5,10085.0,10085.0,0.0
2023-03-03,10:35,3975.0,4045.0,3950.0,4070.0,1.8,3.725,-1.0694,4,-770.0,9315.0,10085.0,7.64
2023-03-06,10:35,4035.0,4100.0,4010.0,4125.0,1.75,0.875,0.5,3,262.5,9577.5,10085.0,5.03
2023-03-07,10:35,3985.0,4075.0,3960.0,4100.0,2.2,0.85,0.6136,3,405.0,9982.5,10085.0,1.02
2023-03-08,10:35,3960.0,4035.0,3935.0,4060.0,2.1,1.05,0.5,3,315.0,10297.5,10297.5,0.0
2023-03-09,10:35,3975.0,4040.0,3950.0,4065.0,1.75,3.675,-1.1,4,-770.0,9527.5,10297.5,7.48
2023-03-10,10:35,3840.0,3950.0,3815.0,3975.0,2.8,1.375,0.5089,3,427.5,9955.0,10297.5,3.33
2023-03-13,10:35,3650.0,3935.0,3625.0,3960.0,1.6,3.275,-1.0469,3,-502.5,9452.5,10297.5,8.21
2023-03-14,10:35,3875.0,3970.0,3850.0,3995.0,2.25,1.125,0.5,3,337.5,9790.0,10297.5,4.93
2023-03-15,10:35,3790.0,3910.0,3765.0,3935.0,3.25,1.6,0.5077,3,495.0,10285.0,10297.5,0.12
2023-03-16,10:35,3825.0,3925.0,3800.0,3950.0,2.65,6.225,-1.3491,4,-1430.0,8855.0,10297.5,14.01
2023-03-17,10:35,3865.0,3970.0,3840.0,3995.0,2.8,1.4,0.5,3,420.0,9275.0,10297.5,9.93
2023-03-22,10:35,3930.0,4090.0,3905.0,4115.0,3.85,1.85,0.5195,3,600.0,9875.0,10297.5,4.1
2023-03-23,10:35,3925.0,4015.0,3900.0,4040.0,2.1,4.975,-1.369,3,-862.5,9012.5,10297.5,12.48
2023-03-24,10:35,3875.0,3990.0,3850.0,4015.0,2.8,1.375,0.5089,3,427.5,9440.0,10297.5,8.33
2023-03-27,10:35,3935.0,4020.0,3910.0,4045.0,2.65,1.3,0.5094,3,405.0,9845.0,10297.5,4.39
2023-03-28,10:35,3925.0,3995.0,3900.0,4020.0,2.25,1.125,0.5,3,337.5,10182.5,10297.5,1.12
2023-03-29,10:35,3965.0,4035.0,3940.0,4060.0,1.95,0.975,0.5,4,390.0,10572.5,10572.5,0.0
2023-03-30,10:35,4015.0,4075.0,3990.0,4100.0,1.5,0.75,0.5,4,300.0,10872.5,10872.5,0.0
2023-03-31,10:35,4040.0,4100.0,4015.0,4125.0,1.6,3.5,-1.1875,4,-760.0,10112.5,10872.5,6.99
2023-04-03,10:35,4090.0,4150.0,4065.0,4175.0,2.15,1.05,0.5116,4,440.0,10552.5,10872.5,2.94
2023-04-04,10:35,4090.0,4150.0,4065.0,4175.0,1.55,3.35,-1.1613,4,-720.0,9832.5,10872.5,9.57
2023-04-05,10:35,4055.0,4115.0,4030.0,4140.0,1.95,0.95,0.5128,3,300.0,10132.5,10872.5,6.81
2023-04-06,10:35,4050.0,4110.0,4025.0,4135.0,1.65,0.825,0.5,4,330.0,10462.5,10872.5,3.77
2023-04-10,10:35,4050.0,4110.0,4025.0,4135.0,1.5,0.75,0.5,4,300.0,10762.5,10872.5,1.01
2023-04-11,10:35,4080.0,4135.0,4055.0,4160.0,1.75,0.85,0.5143,4,360.0,11122.5,11122.5,0.0
2023-04-12,10:35,4080.0,4155.0,4055.0,4180.0,1.75,3.525,-1.0143,4,-710.0,10412.5,11122.5,6.38
2023-04-13,10:35,4085.0,4145.0,4060.0,4170.0,1.85,0.9,0.5135,4,380.0,10792.5,11122.5,2.97
2023-04-14,10:35,4100.0,4170.0,4075.0,4195.0,1.7,0.85,0.5,4,340.0,11132.5,11132.5,0.0
2023-04-17,10:35,4115.0,4165.0,4090.0,4190.0,1.65,0.8,0.5152,4,340.0,11472.5,11472.5,0.0
2023-04-18,10:35,4115.0,4170.0,4090.0,4195.0,2.15,1.05,0.5116,4,440.0,11912.5,11912.5,0.0
2023-04-19,10:35,4115.0,4165.0,4090.0,4190.0,1.7,0.8,0.5294,4,360.0,12272.5,12272.5,0.0
2023-04-20,10:35,4110.0,4160.0,4085.0,4185.0,1.8,0.875,0.5139,4,370.0,12642.5,12642.5,0.0
2023-04-21,10:35,4100.0,4155.0,4075.0,4180.0,1.6,3.25,-1.0312,5,-825.0,11817.5,12642.5,6.53
2023-04-24,10:35,4110.0,4160.0,4085.0,4185.0,1.4,0.7,0.5,4,280.0,12097.5,12642.5,4.31
2023-04-25,10:35,4075.0,4130.0,4050.0,4155.0,1.85,0.9,0.5135,4,380.0,12477.5,12642.5,1.31
2023-04-26,10:35,4030.0,4100.0,4005.0,4125.0,1.65,0.725,0.5606,4,370.0,12847.5,12847.5,0.0
2023-04-27,10:35,4060.0,4120.0,4035.0,4145.0,1.6,3.425,-1.1406,5,-912.5,11935.0,12847.5,7.1
2023-04-28,10:35,4120.0,4185.0,4095.0,4210.0,2.35,1.175,0.5,4,470.0,12405.0,12847.5,3.44
2023-05-01,10:35,4145.0,4200.0,4120.0,4225.0,1.45,0.725,0.5,4,290.0,12695.0,12847.5,1.19
2023-05-02,10:35,4075.0,4145.0,4050.0,4170.0,2.3,1.075,0.5326,5,612.5,13307.5,13307.5,0.0
2023-05-03,10:35,4065.0,4185.0,4040.0,4210.0,3.4,1.675,0.5074,5,862.5,14170.0,14170.0,0.0
2023-05-04,10:35,4005.0,4095.0,3980.0,4120.0,2.3,1.15,0.5,5,575.0,14745.0,14745.0,0.0
2023-05-05,10:35,4085.0,4150.0,4060.0,4175.0,1.8,0.9,0.5,5,450.0,15195.0,15195.0,0.0
2023-05-08,10:35,4095.0,4155.0,4070.0,4180.0,1.5,0.725,0.5167,6,465.0,15660.0,15660.0,0.0
2023-05-09,10:35,4095.0,4145.0,4070.0,4170.0,1.45,0.725,0.5,6,435.0,16095.0,16095.0,0.0
2023-05-10,10:35,4100.0,4165.0,4075.0,4190.0,1.85,4.35,-1.3514,6,-1500.0,14595.0,16095.0,9.32
2023-05-11,10:35,4080.0,4145.0,4055.0,4170.0,1.8,0.875,0.5139,5,462.5,15057.5,16095.0,6.45
2023-05-12,10:35,4095.0,4150.0,4070.0,4175.0,1.95,3.95,-1.0256,6,-1200.0,13857.5,16095.0,13.9
