date,entry_time,credit,exit_price,pnl_ratio,pnl_dollar_1ct,v8s_tp50_prob,v8e_tp50_prob,pnl_tp10_sl_3pm,pnl_tp25_sl_3pm,pnl_4pm_raw,cumulative_dollar_1ct
2023-03-13,10:35,1.6,3.275,-1.0469,-167.5,0.352,0.5229,0.1406,0.2969,1.0,-167.5
2023-03-14,10:35,2.25,1.125,0.5,112.5,0.8247,0.5608,0.1111,0.2778,1.0,-55.0
2023-03-15,10:35,3.25,1.6,0.5077,165.0,0.8878,0.4141,0.1308,0.2538,1.0,110.0
2023-03-16,10:35,2.65,6.225,-1.3491,-357.5,0.1224,0.483,-1.3491,-1.3491,-8.434,-247.5
2023-03-17,10:35,2.8,1.4,0.5,140.0,0.869,0.5153,0.1161,0.2589,1.0,-107.5
2023-03-22,10:35,3.85,1.85,0.5195,200.0,0.9503,0.5339,0.1558,0.3312,0.987,92.5
2023-03-23,10:35,2.1,4.975,-1.369,-287.5,0.2253,0.6303,-1.369,-1.369,1.0,-195.0
2023-03-24,10:35,2.8,1.375,0.5089,142.5,0.8003,0.6033,0.1161,0.25,1.0,-52.5
2023-03-27,10:35,2.65,1.3,0.5094,135.0,0.923,0.5476,0.1132,0.2642,1.0,82.5
2023-03-28,10:35,2.25,1.125,0.5,112.5,0.9266,0.5082,0.1111,0.2667,1.0,195.0
2023-03-29,10:35,1.95,0.975,0.5,97.5,0.9328,0.5678,0.1282,0.2949,1.0,292.5
2023-03-30,10:35,1.5,0.75,0.5,75.0,0.9392,0.5882,0.1,0.2667,1.0,367.5
2023-03-31,10:35,1.6,3.5,-1.1875,-190.0,0.3204,0.6142,0.125,-1.1875,-4.875,177.5
2023-04-03,10:35,2.15,1.05,0.5116,110.0,0.8965,0.6357,0.1163,0.3372,1.0,287.5
2023-04-04,10:35,1.55,3.35,-1.1613,-180.0,0.1301,0.5898,-1.1613,-1.1613,1.0,107.5
2023-04-05,10:35,1.95,0.95,0.5128,100.0,0.9179,0.6445,0.1026,0.2949,1.0,207.5
2023-04-06,10:35,1.65,0.825,0.5,82.5,0.3595,0.5777,0.1061,0.3333,1.0,290.0
2023-04-10,10:35,1.5,0.75,0.5,75.0,0.693,0.4781,0.1,0.25,1.0,365.0
2023-04-11,10:35,1.75,0.85,0.5143,90.0,0.9156,0.5331,0.1286,0.2571,1.0,455.0
2023-04-12,10:35,1.75,3.525,-1.0143,-177.5,0.6031,0.515,0.1143,-1.0143,1.0,277.5
2023-04-13,10:35,1.85,0.9,0.5135,95.0,0.6784,0.5953,0.1081,0.2838,0.5541,372.5
2023-04-14,10:35,1.7,0.85,0.5,85.0,0.8885,0.5831,0.1176,0.2647,1.0,457.5
2023-04-17,10:35,1.65,0.8,0.5152,85.0,0.9155,0.5736,0.2273,0.2727,1.0,542.5
2023-04-18,10:35,2.15,1.05,0.5116,110.0,0.9685,0.6405,0.1047,0.2674,1.0,652.5
2023-04-19,10:35,1.7,0.8,0.5294,90.0,0.8731,0.5947,0.1029,0.2647,1.0,742.5
2023-04-20,10:35,1.8,0.875,0.5139,92.5,0.8916,0.5478,0.1111,0.2639,1.0,835.0
2023-04-21,10:35,1.6,3.25,-1.0312,-165.0,0.7529,0.5472,-1.0312,-1.0312,1.0,670.0
2023-04-24,10:35,1.4,0.7,0.5,70.0,0.8724,0.6234,0.125,0.2857,1.0,740.0
2023-04-25,10:35,1.85,0.9,0.5135,95.0,0.9124,0.4534,0.1081,0.2568,-0.0811,835.0
2023-04-26,10:35,1.65,0.725,0.5606,92.5,0.7817,0.566,0.1212,0.2727,1.0,927.5
2023-04-27,10:35,1.6,3.425,-1.1406,-182.5,0.1856,0.541,0.1094,0.2813,-8.5312,745.0
2023-04-28,10:35,2.35,1.175,0.5,117.5,0.8945,0.5951,0.1064,0.2872,1.0,862.5
