threshold,n_trades,pct_trades_taken,avg_pnl,total_pnl,win_rate,sharpe,sortino,max_drawdown_pct,max_drawdown_dollars,avg_pnl_per_day,profit_factor,worst_trade,best_trade,p5_pnl,p95_pnl,n_days
0.0,37799,100.0,-0.37719450250006614,-14257.575,79.19521680467737,-2.3218067792931847,-1.5926499264802083,-23228.310864393363,-14645.450000000013,-18.44446959896507,0.6200821785304591,-35.349999999999966,1.925,-7.05,1.275,773.0
0.01,37788,99.97089870102384,-0.3771574309304542,-14252.025000000001,79.21297766486715,-2.3210143663439022,-1.5920813236267966,-23220.38065027758,-14640.450000000013,-18.43728978007762,0.6201723772631512,-35.349999999999966,1.925,-7.05,1.275,773.0
0.02,37728,99.81216434297203,-0.3770429124257846,-14225.075,79.28064037319763,-2.3166698677930433,-1.588493685494024,-23179.381443298982,-14614.600000000008,-18.402425614489005,0.6205847365178264,-35.349999999999966,1.925,-7.050000000000001,1.275,773.0
0.03,37632,99.55818937008915,-0.37658575148809526,-14171.675000000001,79.38722363945578,-2.3079114337978646,-1.5802783302607306,-23097.54163362414,-14563.00000000002,-18.333344113842173,0.6214036596882628,-35.349999999999966,1.925,-7.099999999999999,1.275,773.0
0.04,37532,99.29363210666949,-0.3754456197378237,-14091.224999999999,79.50015986358308,-2.2955807761224447,-1.5707950186846247,-23008.723235527385,-14507.000000000015,-18.229269081500647,0.6226668094820488,-35.349999999999966,1.925,-7.1,1.275,773.0
0.05,37425,99.01055583481045,-0.3726339345357381,-13945.824999999999,79.62591850367401,-2.2781432982752077,-1.5586480021277167,-22802.894528152276,-14377.22500000001,-18.041170763260027,0.6250104194956158,-35.349999999999966,1.925,-7.1,1.275,773.0
0.06,37296,98.66927696499907,-0.370100681038181,-13803.274999999998,79.76726726726727,-2.258136847312129,-1.542536540261737,-22671.728786677253,-14294.525000000007,-17.85675937904269,0.6273036552026731,-35.349999999999966,1.925,-7.1,1.275,773.0
0.07,37175,98.34916267626129,-0.36680497646267657,-13635.975000000002,79.88164088769334,-2.2371281660365936,-1.526181873983358,-22492.188739095964,-14181.325000000004,-17.6403298835705,0.6300407916316788,-35.349999999999966,1.925,-7.099999999999999,1.275,773.0
0.08,37055,98.03169396015767,-0.36374983133180405,-13478.75,79.98650654432599,-2.21706472007852,-1.5126280495836488,-22312.688342585254,-14068.150000000003,-17.4369340232859,0.6325944562411583,-35.349999999999966,1.925,-7.099999999999999,1.275,773.0
0.09,36926,97.6904150903463,-0.3606530628825218,-13317.475,80.09803390564913,-2.1957815265583225,-1.495456736030504,-22135.923869944498,-13956.700000000004,-17.228298835705044,0.6352196218931637,-35.349999999999966,1.925,-7.0874999999999995,1.2750000000000001,773.0
