entry_time,n,tp10,tp25,tp50,pnl_tp10_sl_3pm,pnl_tp25_sl_3pm,pnl_tp50_sl_3pm,pnl_sl_3pm,pnl_3pm_raw
09:35,741,0.707152,0.565452,0.448043,-0.036144,-0.030471,-0.001664,-0.02414,0.031677
09:40,745,0.697987,0.555705,0.425503,-0.036922,-0.031351,-0.022467,0.00281,0.025859
09:45,746,0.702413,0.558981,0.447721,-0.028699,-0.031192,0.001975,0.011371,0.028531
09:50,743,0.66891,0.532974,0.432032,-0.050638,-0.053538,-0.017319,0.013505,0.031358
09:55,746,0.660858,0.497319,0.403485,-0.055178,-0.082939,-0.049569,-0.012181,0.025735
10:00,746,0.671582,0.540214,0.398123,-0.038179,-0.044414,-0.054147,-0.022293,0.00622
10:05,747,0.647925,0.508701,0.386881,-0.067592,-0.069474,-0.065553,-0.018033,0.016571
10:10,746,0.632708,0.50134,0.400804,-0.07645,-0.07484,-0.052545,-0.010568,0.009317
10:15,747,0.633199,0.506024,0.372155,-0.073829,-0.076999,-0.081016,-0.077237,0.003688
10:20,746,0.675603,0.518767,0.391421,-0.047699,-0.059017,-0.061914,-0.060914,0.016406
10:25,745,0.645638,0.496644,0.387919,-0.069424,-0.07759,-0.061235,-0.047014,-0.007252
10:30,742,0.6469,0.51752,0.37062,-0.061162,-0.060666,-0.089416,-0.065201,-0.015766
10:35,748,0.665775,0.505348,0.379679,-0.054776,-0.064633,-0.068983,-0.076097,-0.032238
10:40,748,0.65508,0.497326,0.377005,-0.053638,-0.077965,-0.079035,-0.085569,-0.026231
10:45,747,0.641232,0.476573,0.378849,-0.0685,-0.096377,-0.068749,-0.061601,-0.043211
10:50,746,0.655496,0.516086,0.407507,-0.053598,-0.058735,-0.03697,-0.074019,-0.033602
10:55,745,0.677852,0.512752,0.386577,-0.04034,-0.059231,-0.056124,-0.053396,0.006723
11:00,746,0.662198,0.516086,0.399464,-0.049237,-0.059266,-0.048685,-0.036464,-0.005843
11:05,746,0.646113,0.508043,0.391421,-0.063156,-0.065728,-0.063312,-0.031076,-0.017803
11:10,746,0.656836,0.540214,0.400804,-0.053767,-0.041809,-0.045401,-0.001983,-0.002822
11:15,744,0.666667,0.534946,0.395161,-0.045738,-0.039552,-0.053898,-0.034501,0.030331
11:20,747,0.672021,0.524766,0.416332,-0.044298,-0.042497,-0.029886,-0.00732,0.01552
11:25,746,0.650134,0.518767,0.387399,-0.054589,-0.056721,-0.06437,-0.006364,0.017553
11:30,746,0.678284,0.536193,0.399464,-0.033434,-0.03521,-0.040318,-0.005926,0.006372
11:35,745,0.714094,0.562416,0.416107,-0.004419,-0.012989,-0.022141,0.050145,0.051988
11:40,746,0.707775,0.541555,0.427614,-0.01384,-0.025023,-0.009039,0.05069,0.064043
11:45,744,0.672043,0.538978,0.399194,-0.038527,-0.025413,-0.039214,0.049698,0.056165
11:50,746,0.697051,0.550938,0.404826,-0.024207,-0.023149,-0.033746,0.057364,0.05805
11:55,746,0.679625,0.525469,0.384718,-0.030203,-0.04209,-0.056036,0.033105,0.060454
12:00,743,0.689098,0.538358,0.398385,-0.021439,-0.031775,-0.037989,0.074503,0.080167
12:05,743,0.659489,0.522207,0.394347,-0.047023,-0.041452,-0.049585,0.046346,0.075874
12:10,745,0.655034,0.524832,0.378523,-0.045123,-0.041811,-0.065465,0.045492,0.082032
12:15,748,0.675134,0.541444,0.390374,-0.029666,-0.018132,-0.044226,0.072458,0.105165
12:20,747,0.700134,0.54083,0.406961,-0.01184,-0.029345,-0.025852,0.079892,0.105148
12:25,748,0.684492,0.536096,0.406417,-0.024397,-0.031127,-0.017096,0.110474,0.117146
12:30,743,0.711978,0.53432,0.40646,-0.00806,-0.026042,-0.025204,0.118107,0.131579
12:35,743,0.702557,0.535666,0.411844,-0.018243,-0.027636,-0.01793,0.11115,0.116624
12:40,744,0.702957,0.544355,0.399194,-0.018039,-0.02036,-0.042841,0.09544,0.108116
12:45,744,0.694892,0.549731,0.407258,-0.019123,-0.017448,-0.02726,0.127869,0.109464
12:50,744,0.669355,0.520161,0.391129,-0.040702,-0.044521,-0.038591,0.09588,0.11947
12:55,743,0.619112,0.472409,0.351279,-0.067394,-0.085505,-0.095249,0.058344,0.063471
13:00,738,0.624661,0.463415,0.353659,-0.061208,-0.08822,-0.091467,0.054914,0.085618
13:05,739,0.614344,0.488498,0.359946,-0.065838,-0.070734,-0.068973,0.070242,0.062638
13:10,740,0.625676,0.489189,0.374324,-0.050439,-0.056471,-0.059226,0.105276,0.111194
13:15,737,0.647218,0.483039,0.373134,-0.037464,-0.064068,-0.036671,0.118586,0.106165
13:20,736,0.646739,0.505435,0.388587,-0.028923,-0.035441,-0.037772,0.073894,0.061999
13:25,738,0.638211,0.501355,0.395664,-0.038326,-0.044905,-0.022411,0.069945,0.067424
13:30,739,0.626522,0.488498,0.37889,-0.049292,-0.044993,-0.029004,0.05163,0.052231
13:35,741,0.647773,0.503374,0.375169,-0.027332,-0.028707,-0.031553,0.020299,0.023923
13:40,737,0.635007,0.488467,0.358209,-0.028941,-0.04219,-0.03901,0.003668,0.011709
13:45,736,0.641304,0.51087,0.360054,-0.029796,-0.021747,-0.041494,-0.004887,-0.021044
13:50,738,0.644986,0.50271,0.364499,-0.022268,-0.025702,-0.033043,-0.006206,-0.000347
13:55,737,0.609227,0.489824,0.371777,-0.037742,-0.032455,-0.027734,9.4e-05,0.003203
14:00,738,0.569106,0.45122,0.353659,-0.064571,-0.07267,-0.0418,0.013997,0.017035
ALL,40151,0.661627,0.517322,0.39202,-0.041885,-0.047459,-0.044794,0.019622,0.040224
