entry_time,n,tp10,tp25,tp50,pnl_tp10_sl_3pm,pnl_tp25_sl_3pm,pnl_tp50_sl_3pm,pnl_sl_3pm,pnl_3pm_raw
09:35,741,0.626181,0.510121,0.40081,-0.079432,-0.073183,-0.05324,-0.094799,-0.026532
09:40,745,0.590604,0.477852,0.385235,-0.104409,-0.100476,-0.069791,-0.065117,-0.032286
09:45,746,0.60992,0.5,0.392761,-0.089708,-0.084289,-0.066038,-0.059461,-0.035473
09:50,743,0.589502,0.487214,0.387618,-0.101425,-0.090643,-0.071051,-0.040459,-0.030173
09:55,746,0.568365,0.453083,0.359249,-0.112927,-0.119559,-0.10053,-0.047808,-0.031966
10:00,746,0.576408,0.466488,0.337802,-0.104748,-0.104625,-0.12193,-0.082698,-0.061426
10:05,747,0.559572,0.431058,0.337349,-0.120153,-0.134709,-0.126347,-0.078477,-0.043999
10:10,746,0.557641,0.442359,0.351206,-0.122422,-0.123227,-0.110196,-0.05845,-0.052074
10:15,747,0.550201,0.436412,0.331995,-0.127801,-0.135759,-0.130462,-0.111515,-0.054299
10:20,746,0.575067,0.442359,0.340483,-0.113667,-0.131036,-0.122999,-0.134727,-0.043753
10:25,745,0.532886,0.444295,0.332886,-0.139455,-0.12217,-0.127648,-0.110725,-0.067374
10:30,742,0.559299,0.443396,0.326146,-0.119607,-0.127909,-0.137821,-0.109223,-0.075833
10:35,748,0.578877,0.42246,0.340909,-0.106717,-0.138708,-0.11974,-0.148616,-0.094893
10:40,748,0.550802,0.434492,0.322193,-0.124324,-0.129859,-0.138842,-0.132806,-0.086351
10:45,747,0.543507,0.437751,0.329317,-0.128747,-0.128059,-0.125843,-0.13905,-0.101661
10:50,746,0.561662,0.461126,0.36193,-0.113697,-0.102179,-0.079545,-0.129227,-0.091526
10:55,745,0.565101,0.44698,0.343624,-0.113155,-0.114373,-0.107211,-0.089493,-0.060639
11:00,746,0.576408,0.453083,0.355228,-0.110113,-0.11024,-0.103835,-0.114462,-0.069752
11:05,746,0.55496,0.439678,0.337802,-0.120561,-0.120102,-0.118867,-0.127303,-0.080408
11:10,746,0.564343,0.447721,0.344504,-0.11709,-0.11861,-0.11746,-0.109795,-0.0663
11:15,744,0.576613,0.473118,0.349462,-0.10285,-0.094264,-0.109834,-0.079486,-0.035946
11:20,747,0.564926,0.45917,0.348059,-0.111515,-0.10783,-0.110879,-0.085958,-0.047502
