entry_time,n,tp10,tp25,tp50,pnl_tp10_sl_3pm,pnl_tp25_sl_3pm,pnl_tp50_sl_3pm,pnl_sl_3pm,pnl_3pm_raw
09:35,741,0.855601,0.758435,0.638327,-0.058031,-0.071909,-0.090683,-0.072808,-0.103666
09:40,745,0.852349,0.758389,0.64698,-0.063995,-0.076006,-0.080123,-0.06077,-0.099464
09:45,746,0.836461,0.74933,0.623324,-0.08344,-0.089398,-0.115412,-0.078598,-0.103469
09:50,743,0.838493,0.779273,0.654105,-0.085593,-0.047072,-0.066375,-0.030187,-0.10731
09:55,746,0.867292,0.798928,0.670241,-0.051734,-0.024447,-0.044021,0.002437,-0.099871
10:00,746,0.864611,0.802949,0.679625,-0.04985,-0.010846,-0.021157,0.02203,-0.08103
10:05,747,0.894244,0.820616,0.672021,-0.013381,0.01202,-0.033931,0.007592,-0.094181
10:10,746,0.892761,0.80563,0.682306,-0.018722,-0.012092,-0.020498,-0.005052,-0.087003
10:15,747,0.890228,0.804552,0.697456,-0.022167,-0.015392,0.005532,0.009959,-0.08261
10:20,746,0.886059,0.796247,0.679625,-0.022906,-0.023039,-0.025448,-0.000785,-0.098763
10:25,745,0.879195,0.8,0.683221,-0.031845,-0.016506,-0.020591,-0.031437,-0.070925
10:30,742,0.890836,0.809973,0.695418,-0.018166,-0.005713,0.003462,0.00853,-0.066075
10:35,748,0.890374,0.811497,0.69385,-0.018856,-0.003647,0.00299,-0.001913,-0.047552
10:40,748,0.891711,0.80615,0.695187,-0.020245,-0.009373,0.008164,0.000235,-0.053001
10:45,747,0.895582,0.809906,0.69344,-0.020541,-0.013024,-0.003701,0.007787,-0.037956
10:50,746,0.882038,0.789544,0.66756,-0.032912,-0.039603,-0.050186,-0.0573,-0.045976
10:55,745,0.877852,0.775839,0.663087,-0.034533,-0.053701,-0.048642,-0.045996,-0.090863
11:00,746,0.873995,0.782842,0.662198,-0.041103,-0.044364,-0.052099,-0.048671,-0.079111
11:05,746,0.868633,0.793566,0.656836,-0.049647,-0.031181,-0.056092,-0.060129,-0.067755
11:10,746,0.879357,0.797587,0.662198,-0.032761,-0.023502,-0.043997,-0.033489,-0.083267
11:15,744,0.864247,0.780914,0.666667,-0.054115,-0.052226,-0.043632,-0.029177,-0.125279
11:20,747,0.863454,0.783133,0.67336,-0.05653,-0.046249,-0.033477,-0.053929,-0.107047
11:25,746,0.852547,0.781501,0.674263,-0.068798,-0.043084,-0.023874,-0.016375,-0.108544
11:30,746,0.864611,0.793566,0.689008,-0.053033,-0.029249,-0.010853,-0.009964,-0.09849
11:35,745,0.869799,0.78255,0.668456,-0.048329,-0.047934,-0.046432,-0.025631,-0.149401
11:40,746,0.855228,0.774799,0.670241,-0.066143,-0.054583,-0.038018,-0.032795,-0.163596
11:45,744,0.876344,0.787634,0.680108,-0.043215,-0.04468,-0.036242,-0.030358,-0.156061
11:50,746,0.872654,0.796247,0.670241,-0.047649,-0.031303,-0.046383,-0.020769,-0.161105
11:55,746,0.865952,0.776139,0.672922,-0.058542,-0.059835,-0.034611,-0.032057,-0.160063
12:00,743,0.873486,0.791386,0.675639,-0.040423,-0.033198,-0.037127,-0.005975,-0.188044
12:05,743,0.866756,0.783311,0.670256,-0.059305,-0.059112,-0.054292,-0.037986,-0.182598
12:10,745,0.865772,0.783893,0.668456,-0.055394,-0.045019,-0.055469,-0.037842,-0.188083
12:15,748,0.870321,0.780749,0.653743,-0.046224,-0.051906,-0.063234,-0.046315,-0.21435
12:20,747,0.871314,0.782842,0.651475,-0.045148,-0.049888,-0.063259,-0.061695,-0.217256
12:25,748,0.868984,0.763369,0.643048,-0.051458,-0.085088,-0.093697,-0.062126,-0.234115
12:30,743,0.850606,0.771198,0.641992,-0.076722,-0.072249,-0.094685,-0.073753,-0.25055
12:35,743,0.836927,0.761456,0.642857,-0.091434,-0.086112,-0.074738,-0.074812,-0.238338
12:40,744,0.834455,0.756393,0.637954,-0.098138,-0.088691,-0.077217,-0.073502,-0.228296
12:45,744,0.839838,0.768506,0.633917,-0.086036,-0.066976,-0.08821,-0.060229,-0.229084
12:50,744,0.83558,0.768194,0.642857,-0.094436,-0.075215,-0.057091,-0.066726,-0.24511
12:55,743,0.859459,0.789189,0.681081,-0.064779,-0.043802,-0.011017,0.007397,-0.184891
13:00,738,0.882993,0.812245,0.678912,-0.026377,-0.001324,0.004748,0.001572,-0.206425
13:05,739,0.858696,0.779891,0.648098,-0.061307,-0.054651,-0.042575,-0.041231,-0.1849
13:10,740,0.865672,0.777476,0.645862,-0.051064,-0.059369,-0.037247,-0.050437,-0.241088
13:15,737,0.848774,0.773842,0.614441,-0.074511,-0.069592,-0.094382,-0.085531,-0.239971
13:20,736,0.870396,0.784447,0.612551,-0.047957,-0.052354,-0.077367,-0.073517,-0.185899
13:25,738,0.855782,0.757823,0.601361,-0.07145,-0.090723,-0.110457,-0.120671,-0.200523
13:30,739,0.873641,0.782609,0.620924,-0.056938,-0.062675,-0.057354,-0.060231,-0.185359
13:35,741,0.841463,0.752033,0.590786,-0.099595,-0.102787,-0.104631,-0.108709,-0.152958
13:40,737,0.854223,0.780654,0.585831,-0.082753,-0.07374,-0.081357,-0.079278,-0.141102
13:45,736,0.85266,0.774898,0.581173,-0.090792,-0.073868,-0.081916,-0.086596,-0.104187
13:50,738,0.840816,0.752381,0.540136,-0.102321,-0.096143,-0.096501,-0.109935,-0.130348
13:55,737,0.832425,0.750681,0.520436,-0.108609,-0.084148,-0.110155,-0.1178,-0.141174
14:00,738,0.812245,0.736054,0.493878,-0.138909,-0.113075,-0.099984,-0.112536,-0.156944
ALL,40151,0.86405,0.781961,0.649453,-0.057109,-0.049903,-0.052228,-0.043533,-0.14246
