entry_time,n,tp10,tp25,tp50,pnl_tp10_sl_3pm,pnl_tp25_sl_3pm,pnl_tp50_sl_3pm,pnl_sl_3pm,pnl_3pm_raw
09:35,741,0.905533,0.790823,0.673414,0.006699,-0.021218,-0.025344,-0.029422,-0.046978
09:40,745,0.903356,0.793289,0.675168,0.003541,-0.021715,-0.02501,-0.017099,-0.043428
09:45,746,0.883378,0.77748,0.651475,-0.023288,-0.046297,-0.064107,-0.03701,-0.04623
09:50,743,0.886945,0.806191,0.682369,-0.023555,-0.01018,-0.019733,0.011043,-0.048111
09:55,746,0.906166,0.829759,0.702413,0.002644,0.02555,0.010254,0.054452,-0.042187
10:00,746,0.912869,0.836461,0.711796,0.010856,0.034089,0.030997,0.061623,-0.023891
10:05,747,0.925033,0.850067,0.710843,0.026664,0.058108,0.036754,0.073777,-0.033494
10:10,746,0.94504,0.843164,0.702413,0.05105,0.047458,0.016586,0.048993,-0.026099
10:15,747,0.92905,0.839357,0.728246,0.029638,0.036225,0.053024,0.06335,-0.022694
10:20,746,0.924933,0.848525,0.711796,0.022744,0.050371,0.030419,0.033008,-0.035785
10:25,745,0.927517,0.834899,0.718121,0.028611,0.030723,0.037019,0.038968,-0.009613
10:30,742,0.931267,0.846361,0.729111,0.030317,0.047228,0.064794,0.053062,-0.002926
10:35,748,0.935829,0.847594,0.737968,0.036609,0.046783,0.070877,0.068399,0.016252
10:40,748,0.925134,0.846257,0.724599,0.01874,0.043929,0.05338,0.058938,0.007697
10:45,747,0.923695,0.848728,0.716198,0.022803,0.051127,0.044838,0.062865,0.024144
10:50,746,0.907507,0.829759,0.69571,0.002034,0.025825,0.00299,-0.005271,0.016963
10:55,745,0.924832,0.814765,0.70604,0.025016,0.006098,0.031008,0.027138,-0.02545
11:00,746,0.926273,0.823056,0.702413,0.026363,0.013778,0.009761,0.005134,-0.015091
11:05,746,0.91555,0.827078,0.698391,0.012437,0.020994,0.013977,0.012155,-0.001442
11:10,746,0.91689,0.841823,0.703753,0.012634,0.040368,0.019317,0.045926,-0.015632
11:15,744,0.907258,0.829301,0.702957,-0.001995,0.019573,0.018142,0.030017,-0.053128
11:20,747,0.910308,0.827309,0.714859,0.004019,0.018725,0.039618,0.019629,-0.038588
11:25,746,0.911528,0.835121,0.72252,0.005683,0.032169,0.058026,0.066797,-0.038056
11:30,746,0.923592,0.831099,0.719839,0.022101,0.028203,0.042141,0.048522,-0.027123
11:35,745,0.920805,0.830872,0.703356,0.018044,0.023051,0.008136,0.041043,-0.073593
11:40,746,0.907507,0.824397,0.701072,-0.002096,0.01606,0.019833,0.037287,-0.087148
11:45,744,0.916667,0.833333,0.716398,0.01165,0.022826,0.030643,0.054239,-0.075957
11:50,746,0.919571,0.829759,0.711796,0.013574,0.02244,0.028622,0.051721,-0.078983
11:55,746,0.914209,0.812332,0.707775,0.005936,0.000345,0.027344,0.024534,-0.080871
12:00,743,0.925976,0.830417,0.705249,0.022719,0.024103,0.011093,0.041156,-0.104743
12:05,743,0.928668,0.839838,0.722746,0.025628,0.027524,0.046636,0.058877,-0.099582
12:10,745,0.916779,0.830872,0.720805,0.012508,0.02299,0.043876,0.044421,-0.105694
12:15,748,0.917112,0.826203,0.692513,0.008783,0.011216,-0.002989,0.019392,-0.12928
12:20,747,0.914324,0.834003,0.686747,0.007912,0.026135,0.003348,0.015524,-0.128799
12:25,748,0.918449,0.822193,0.677807,0.013987,0.01331,-0.018374,0.018105,-0.144834
12:30,743,0.905787,0.81965,0.681023,-0.003966,0.001112,-0.024582,0.003967,-0.158452
12:35,743,0.899058,0.807537,0.687752,-0.00519,-0.014289,-0.00825,0.004067,-0.141952
12:40,744,0.900538,0.814516,0.688172,-0.007778,-0.004685,0.001583,0.010953,-0.13283
12:45,744,0.897849,0.821237,0.686828,-0.008462,0.005393,0.007756,0.028884,-0.135192
12:50,744,0.888441,0.814516,0.686828,-0.022913,-0.001594,0.015081,0.015732,-0.142134
12:55,743,0.921938,0.843876,0.729475,0.023839,0.036096,0.07431,0.086502,-0.08959
13:00,738,0.925474,0.849593,0.714092,0.0209,0.04853,0.050985,0.05869,-0.111057
13:05,739,0.903924,0.82138,0.699594,-0.000854,0.014819,0.041179,0.038085,-0.089185
13:10,740,0.905405,0.812162,0.678378,0.005854,-0.007658,0.00633,0.010853,-0.139471
13:15,737,0.898236,0.810041,0.656716,-0.005706,-0.008074,-0.0093,0.000285,-0.137538
13:20,736,0.914402,0.83288,0.652174,0.019752,0.028611,0.005174,0.015921,-0.087623
13:25,738,0.910569,0.831978,0.644986,0.011605,0.029113,-0.003737,-0.011129,-0.096984
13:30,739,0.921516,0.837618,0.669824,0.020918,0.033384,0.0205,0.020473,-0.08015
13:35,741,0.909582,0.817814,0.645074,0.003056,-0.002144,-0.012467,-0.008531,-0.05325
13:40,737,0.911805,0.824966,0.65536,0.011254,0.013384,0.016004,0.008717,-0.040548
13:45,736,0.922554,0.826087,0.64538,0.022145,0.014224,0.010712,0.011309,-0.008362
13:50,738,0.898374,0.813008,0.619241,-0.003038,0.004014,0.009121,-0.001744,-0.02909
13:55,737,0.907734,0.807327,0.601085,0.012442,-0.00204,0.00219,-0.016915,-0.033837
14:00,738,0.884824,0.795393,0.566396,-0.030966,-0.035534,-0.016849,-0.036639,-0.048361
ALL,40151,0.913676,0.826206,0.690792,0.010271,0.017448,0.017317,0.026739,-0.062842
