entry_time,n,tp10,tp25,tp50,pnl_tp10_sl_3pm,pnl_tp25_sl_3pm,pnl_tp50_sl_3pm,pnl_sl_3pm,pnl_3pm_raw
09:35,741,0.852901,0.748988,0.62888,-0.08014,-0.102609,-0.12357,-0.113671,-0.116557
09:40,745,0.836242,0.748993,0.642953,-0.08498,-0.089978,-0.091355,-0.074478,-0.11185
09:45,746,0.825737,0.742627,0.615282,-0.099991,-0.101687,-0.133711,-0.091532,-0.123031
09:50,743,0.830417,0.763122,0.650067,-0.093608,-0.068584,-0.07011,-0.045704,-0.120863
09:55,746,0.867292,0.794906,0.678284,-0.051428,-0.029018,-0.027883,0.010782,-0.112231
10:00,746,0.843164,0.77748,0.66622,-0.080009,-0.050944,-0.048514,-0.014467,-0.108496
10:05,747,0.886212,0.809906,0.661312,-0.024163,-0.001506,-0.05256,-0.014937,-0.107907
10:10,746,0.882038,0.798928,0.672922,-0.032281,-0.024008,-0.038931,-0.018825,-0.0986
10:15,747,0.882195,0.795181,0.692102,-0.031026,-0.028055,-0.002458,0.008307,-0.096501
10:20,746,0.876676,0.781501,0.668901,-0.038203,-0.04477,-0.043029,-0.015245,-0.110178
10:25,745,0.872483,0.789262,0.67651,-0.040562,-0.033571,-0.033683,-0.040683,-0.085045
10:30,742,0.876011,0.792453,0.681941,-0.037691,-0.030641,-0.020731,-0.012857,-0.076736
10:35,748,0.881016,0.808824,0.687166,-0.028741,-0.005023,-0.007541,-0.01488,-0.059658
10:40,748,0.886364,0.798128,0.685829,-0.026945,-0.021529,-0.010011,-0.008896,-0.061897
10:45,747,0.88755,0.803213,0.690763,-0.028153,-0.021576,-0.009841,-0.008726,-0.04813
10:50,746,0.863271,0.77882,0.656836,-0.055696,-0.055558,-0.06836,-0.072148,-0.056073
10:55,745,0.873826,0.775839,0.661745,-0.042005,-0.057686,-0.057887,-0.054744,-0.10542
11:00,746,0.856568,0.773458,0.656836,-0.063174,-0.060754,-0.064104,-0.066551,-0.091407
11:05,746,0.86193,0.785523,0.650134,-0.05688,-0.041809,-0.067307,-0.07285,-0.079318
11:10,746,0.871314,0.794906,0.660858,-0.047635,-0.027067,-0.044778,-0.039483,-0.091954
11:15,744,0.856183,0.778226,0.663978,-0.064,-0.056379,-0.051899,-0.034923,-0.140557
11:20,747,0.855422,0.780455,0.668005,-0.064984,-0.048616,-0.041704,-0.060185,-0.118016
11:25,746,0.851206,0.784182,0.668901,-0.070368,-0.039567,-0.03176,-0.022545,-0.11577
11:30,746,0.855228,0.788204,0.679625,-0.064234,-0.038049,-0.031885,-0.021704,-0.109746
11:35,745,0.863087,0.775839,0.661745,-0.055942,-0.057777,-0.060337,-0.037596,-0.163295
11:40,746,0.847185,0.772118,0.656836,-0.079988,-0.061102,-0.06216,-0.06239,-0.17795
11:45,744,0.86828,0.77957,0.670699,-0.050542,-0.061387,-0.049773,-0.042472,-0.163961
11:50,746,0.872654,0.793566,0.664879,-0.042411,-0.03108,-0.052321,-0.023693,-0.164802
11:55,746,0.86059,0.772118,0.664879,-0.062011,-0.06491,-0.047124,-0.039653,-0.173515
12:00,743,0.864065,0.780619,0.66891,-0.055972,-0.054919,-0.049609,-0.013486,-0.201237
12:05,743,0.858681,0.786003,0.670256,-0.070375,-0.049399,-0.050965,-0.029517,-0.195091
12:10,745,0.865772,0.783893,0.663087,-0.057777,-0.048402,-0.064857,-0.046913,-0.199408
12:15,748,0.864973,0.772727,0.643048,-0.051509,-0.061991,-0.080592,-0.062325,-0.222379
12:20,747,0.863454,0.776439,0.649264,-0.056076,-0.059519,-0.066538,-0.067985,-0.231419
12:25,748,0.854278,0.758021,0.63369,-0.069857,-0.093772,-0.103237,-0.069099,-0.243214
12:30,743,0.84926,0.76716,0.641992,-0.078058,-0.077089,-0.089607,-0.071939,-0.260907
12:35,743,0.829071,0.757739,0.637954,-0.100994,-0.088279,-0.078676,-0.078534,-0.242935
12:40,744,0.823925,0.755376,0.634409,-0.11316,-0.092491,-0.088408,-0.086096,-0.241471
12:45,744,0.836022,0.760753,0.634409,-0.09029,-0.080788,-0.086078,-0.064514,-0.238319
12:50,744,0.827725,0.763122,0.637954,-0.099155,-0.075061,-0.064391,-0.065253,-0.250906
12:55,743,0.848649,0.783784,0.674324,-0.07539,-0.050328,-0.018287,0.001744,-0.193122
13:00,738,0.873641,0.809783,0.675272,-0.038138,-0.005599,-0.00299,-0.004301,-0.214449
13:05,739,0.847826,0.775815,0.650815,-0.080107,-0.060626,-0.044907,-0.044755,-0.190533
13:10,740,0.862958,0.773406,0.636364,-0.054457,-0.061098,-0.049511,-0.063649,-0.242977
13:15,737,0.843324,0.765668,0.604905,-0.081515,-0.077124,-0.106149,-0.083559,-0.246109
13:20,736,0.859482,0.781719,0.612551,-0.063771,-0.053235,-0.074031,-0.07292,-0.196376
13:25,738,0.853061,0.755102,0.597279,-0.076044,-0.093721,-0.117331,-0.129779,-0.201197
13:30,739,0.869565,0.779891,0.612772,-0.060975,-0.067575,-0.063108,-0.065984,-0.184152
